item_type,holding_cost,asl,item_code,orig_item,penalty_cost
Raw Material,0.0,100,2153,2153,0.0
Raw Material,0.0,100,1773,1773,0.0
Raw Material,0.0,100,1773,1773,0.0
Order Only,0.0,30,116,116,0.0
Raw Material,0.0,100,2154,2154,0.0
Raw Material,0.0,102,2061,2061,0.0
Raw Material,0.0,102,2061,2061,0.0
Raw Material,0.0,102,2061,2061,0.0
Raw Material,0.0,102,2061,2061,0.0
Raw Material,0.0,92,1396,1396,0.0
Raw Material,0.0,92,1396,1396,0.0
Raw Material,0.0,122,2236,2236,0.0
Raw Material,0.0,52,3072,3072,0.0
Raw Material,0.0,92,2363,2363,0.0
Raw Material,0.0,122,4149,4149,0.0
Order Only,0.0,30,3938,3938,0.0
Raw Material,0.0,92,1236,1236,0.0
Raw Material,0.0,62,2746,2746,0.0
Raw Material,0.0,44,677,677,0.0
Raw Material,0.0,87,975,975,0.0
Raw Material,0.0,37,2351,2351,0.0
Raw Material,0.0,44,2421,2421,0.0
Raw Material,0.0,114,1791,1791,0.0
Raw Material,0.0,114,1791,1791,0.0
Raw Material,0.0,114,1791,1791,0.0
Raw Material,0.0,32,3063,3063,0.0
Raw Material,0.0,182,3809,3809,0.0
Raw Material,0.0,86,2030,2030,0.0
Raw Material,0.0,82,705,705,0.0
Raw Material,0.0,122,3461,3461,0.0
Raw Material,0.0,122,3461,3461,0.0
Raw Material,0.0,122,3461,3461,0.0
Raw Material,0.0,58,2522,2522,0.0
Raw Material,0.0,58,2522,2522,0.0
Order Only,0.001,30,4054,4054,1.0
Order Only,0.001,30,4056,4056,1.0
Order Only,0.001,30,4058,4058,1.0
Raw Material,0.0,72,2317,2317,0.0
Raw Material,0.0,87,1405,1405,0.0
Raw Material,0.0,87,1405,1405,0.0
Raw Material,0.0,87,1405,1405,0.0
Raw Material,0.0,87,1405,1405,0.0
Raw Material,0.0,72,2568,2568,0.0
Raw Material,0.0,72,2568,2568,0.0
Raw Material,0.0,72,2568,2568,0.0
Raw Material,0.0,91,1725,1725,0.0
Raw Material,0.0,91,1725,1725,0.0
Raw Material,0.0,91,1725,1725,0.0
Raw Material,0.0,58,2318,2318,0.0
Raw Material,0.0,91,1825,1825,0.0
Raw Material,0.0,91,1825,1825,0.0
Raw Material,0.0,91,1825,1825,0.0
Raw Material,0.0,92,2014,2014,0.0
Raw Material,0.0,92,2014,2014,0.0
Raw Material,0.0,152,1631,1631,0.0
Raw Material,0.0,120,1876,1876,0.0
Raw Material,0.0,120,1876,1876,0.0
Raw Material,0.0,120,1876,1876,0.0
Raw Material,0.0,120,1876,1876,0.0
Raw Material,0.0,92,1640,1640,0.0
Raw Material,0.0,120,1728,1728,0.0
Raw Material,0.0,120,1728,1728,0.0
Raw Material,0.0,120,1728,1728,0.0
Raw Material,0.0,32,2365,2365,0.0
Raw Material,0.0,32,2365,2365,0.0
Raw Material,0.0,32,2365,2365,0.0
Raw Material,0.0,122,2197,2197,0.0
Raw Material,0.0,72,2558,2558,0.0
Raw Material,0.0,120,1764,1764,0.0
Raw Material,0.0,86,1501,1501,0.0
Raw Material,0.0,86,1501,1501,0.0
Raw Material,0.0,86,1501,1501,0.0
Raw Material,0.0,37,3205,3205,0.0
Raw Material,0.0,92,3886,3886,0.0
Order Only,0.001,30,3940,3940,1.0
Raw Material,0.0,92,1575,1575,0.0
Raw Material,0.0,58,1770,1770,0.0
Raw Material,0.0,58,1770,1770,0.0
Raw Material,0.0,58,1770,1770,0.0
Raw Material,0.0,122,3594,3594,0.0
Raw Material,0.0,92,1246,1246,0.0
Raw Material,0.0,114,2852,2852,0.0
Raw Material,0.0,114,2852,2852,0.0
Raw Material,0.0,32,3992,3992,0.0
Raw Material,0.0,32,3120,3120,0.0
Order Only,0.003,30,194,194,3.0
Type4 Component,0.001,30,98,98,1.0
Raw Material,0.0,87,1446,1446,0.0
Raw Material,0.0,87,1446,1446,0.0
Raw Material,0.0,87,1446,1446,0.0
Raw Material,0.0,58,2456,2456,0.0
Raw Material,0.0,58,2456,2456,0.0
Raw Material,0.0,58,2456,2456,0.0
Raw Material,0.0,58,2456,2456,0.0
Order Only,0.003,30,195,195,3.0
Raw Material,0.0,170,1043,1043,0.0
Raw Material,0.0,58,2457,2457,0.0
Raw Material,0.0,58,2457,2457,0.0
Raw Material,0.0,58,2457,2457,0.0
Raw Material,0.0,182,2288,2288,0.0
Raw Material,0.0,182,2288,2288,0.0
Raw Material,0.0,360,747,747,0.0
Raw Material,0.0,32,2,2,0.0
Order Only,0.001,30,4060,4060,1.0
Raw Material,0.0,32,1,1,0.0
Raw Material,0.0,114,3529,3529,0.0
Order Only,0.001,30,4062,4062,1.0
Order Only,0.0,30,4064,4064,0.0
Raw Material,0.0,92,1005,1005,0.0
Raw Material,0.0,77,3344,3344,0.0
Raw Material,0.0,74,1944,1944,0.0
Raw Material,0.0,86,1151,1151,0.0
Raw Material,0.0,86,1151,1151,0.0
Raw Material,0.0,86,1151,1151,0.0
Raw Material,0.0,86,1151,1151,0.0
Raw Material,0.0,42,3157,3157,0.0
Raw Material,0.0,180,3688,3688,0.0
Order Only,0.001,30,3964,3964,1.0
Raw Material,0.0,152,3315,3315,0.0
Raw Material,0.0,152,3315,3315,0.0
Raw Material,0.0,152,3315,3315,0.0
Raw Material,0.0,152,3315,3315,0.0
Raw Material,0.0,58,2471,2471,0.0
Raw Material,0.0,122,2051,2051,0.0
Raw Material,0.0,58,2510,2510,0.0
Raw Material,0.0,58,2511,2511,0.0
Raw Material,0.0,86,1176,1176,0.0
Raw Material,0.0,86,1176,1176,0.0
Raw Material,0.0,182,3780,3780,0.0
Raw Material,0.0,37,3206,3206,0.0
Raw Material,0.0,92,1182,1182,0.0
Raw Material,0.0,92,1182,1182,0.0
Raw Material,0.0,92,1182,1182,0.0
Raw Material,0.0,86,1829,1829,0.0
Raw Material,0.0,86,1829,1829,0.0
Raw Material,0.0,86,1829,1829,0.0
Raw Material,0.0,86,1829,1829,0.0
Raw Material,0.0,32,814,814,0.0
Raw Material,0.0,152,1642,1642,0.0
Raw Material,0.0,121,1732,1732,0.0
Raw Material,0.0,121,1732,1732,0.0
Raw Material,0.0,121,1732,1732,0.0
Raw Material,0.0,121,1732,1732,0.0
Raw Material,0.0,32,3125,3125,0.0
Raw Material,0.0,120,1737,1737,0.0
Raw Material,0.0,120,1737,1737,0.0
Raw Material,0.0,120,1737,1737,0.0
Raw Material,0.0,120,1737,1737,0.0
Raw Material,0.0,32,3142,3142,0.0
Raw Material,0.0,86,1803,1803,0.0
Raw Material,0.0,86,1803,1803,0.0
Raw Material,0.0,92,2277,2277,0.0
Raw Material,0.0,92,2277,2277,0.0
Raw Material,0.0,42,2938,2938,0.0
Raw Material,0.0,121,3896,3896,0.0
Raw Material,0.0,121,3896,3896,0.0
Order Only,0.001,30,3974,3974,1.0
Raw Material,0.0,92,2282,2282,0.0
Raw Material,0.0,92,2282,2282,0.0
Raw Material,0.0,247,3602,3602,0.0
Raw Material,0.0,142,2799,2799,0.0
Raw Material,0.0,142,2799,2799,0.0
Raw Material,0.0,55,2444,2444,0.0
Raw Material,0.0,37,2352,2352,0.0
Raw Material,0.0,92,1255,1255,0.0
Raw Material,0.0,360,3839,3839,0.0
Raw Material,0.0,51,2354,2354,0.0
Raw Material,0.0,92,1111,1111,0.0
Raw Material,0.0,92,1111,1111,0.0
Raw Material,0.0,92,1111,1111,0.0
Raw Material,0.0,92,1548,1548,0.0
Raw Material,0.0,79,1594,1594,0.0
Raw Material,0.0,182,3690,3690,0.0
Raw Material,0.0,182,3690,3690,0.0
Raw Material,0.0,182,3690,3690,0.0
Raw Material,0.0,182,3690,3690,0.0
Raw Material,0.0,58,2451,2451,0.0
Raw Material,0.0,180,3692,3692,0.0
Raw Material,0.0,360,3763,3763,0.0
Raw Material,0.0,360,3763,3763,0.0
Raw Material,0.0,360,3572,3572,0.0
Raw Material,0.0,182,3494,3494,0.0
Raw Material,0.0,122,2772,2772,0.0
Raw Material,0.0,92,903,903,0.0
Raw Material,0.0,92,903,903,0.0
Raw Material,0.0,92,903,903,0.0
Raw Material,0.0,360,3544,3544,0.0
Raw Material,0.0,360,3544,3544,0.0
Raw Material,0.0,360,3544,3544,0.0
Type4 Component,0.002,30,63,63,2.0
Raw Material,0.0,302,815,815,0.0
Raw Material,0.0,62,2376,2376,0.0
Raw Material,0.0,62,2376,2376,0.0
Raw Material,0.0,32,816,816,0.0
Raw Material,0.0,122,2159,2159,0.0
Raw Material,0.0,122,2159,2159,0.0
Raw Material,0.0,122,2159,2159,0.0
Raw Material,0.0,30,2377,2377,0.0
Raw Material,0.0,87,1245,1245,0.0
Raw Material,0.0,87,1245,1245,0.0
Raw Material,0.0,87,1245,1245,0.0
Raw Material,0.0,87,1245,1245,0.0
Raw Material,0.0,122,2906,2906,0.0
Raw Material,0.0,142,1855,1855,0.0
Raw Material,0.0,142,1855,1855,0.0
Raw Material,0.0,142,1855,1855,0.0
Raw Material,0.0,142,1855,1855,0.0
Raw Material,0.0,82,4162,4162,0.0
Raw Material,0.0,77,845,845,0.0
Raw Material,0.0,62,2863,2863,0.0
Raw Material,0.0,62,2863,2863,0.0
Raw Material,0.0,62,2863,2863,0.0
Raw Material,0.0,92,2911,2911,0.0
Raw Material,0.0,360,2758,2758,0.0
Raw Material,0.0,360,2758,2758,0.0
Raw Material,0.0,360,2758,2758,0.0
Raw Material,0.0,120,1971,1971,0.0
Raw Material,0.0,120,1971,1971,0.0
Raw Material,0.0,37,2422,2422,0.0
Raw Material,0.0,122,3605,3605,0.0
Raw Material,0.0,360,779,779,0.0
Raw Material,0.0,58,647,647,0.0
Raw Material,0.0,122,1297,1297,0.0
Raw Material,0.0,122,1297,1297,0.0
Raw Material,0.0,122,1297,1297,0.0
Raw Material,0.0,92,1337,1337,0.0
Raw Material,0.0,92,1337,1337,0.0
Raw Material,0.0,92,1337,1337,0.0
Raw Material,0.0,92,1337,1337,0.0
Raw Material,0.0,58,2423,2423,0.0
Raw Material,0.0,92,916,916,0.0
Raw Material,0.0,92,916,916,0.0
Raw Material,0.0,92,1339,1339,0.0
Raw Material,0.0,92,2286,2286,0.0
Raw Material,0.0,120,2070,2070,0.0
Raw Material,0.0,142,2741,2741,0.0
Raw Material,0.0,142,2741,2741,0.0
Raw Material,0.0,142,2741,2741,0.0
Raw Material,0.0,142,2741,2741,0.0
Raw Material,0.0,32,3221,3221,0.0
Raw Material,0.0,212,3640,3640,0.0
Raw Material,0.0,92,2622,2622,0.0
Raw Material,0.0,92,2622,2622,0.0
Raw Material,0.0,92,2622,2622,0.0
Raw Material,0.0,100,3480,3480,0.0
Raw Material,0.0,212,3641,3641,0.0
Raw Material,0.0,212,3641,3641,0.0
Raw Material,0.0,360,3609,3609,0.0
Raw Material,0.0,51,2341,2341,0.0
Raw Material,0.0,51,2341,2341,0.0
Raw Material,0.0,51,2341,2341,0.0
Raw Material,0.0,51,2341,2341,0.0
Raw Material,0.0,114,2250,2250,0.0
Raw Material,0.0,114,2250,2250,0.0
Raw Material,0.0,42,3027,3027,0.0
Raw Material,0.0,92,1237,1237,0.0
Raw Material,0.0,92,1237,1237,0.0
Raw Material,0.0,92,1237,1237,0.0
Raw Material,0.0,42,3028,3028,0.0
Raw Material,0.0,122,3610,3610,0.0
Raw Material,0.0,122,2198,2198,0.0
Raw Material,0.0,122,2198,2198,0.0
Raw Material,0.0,122,2198,2198,0.0
Raw Material,0.0,122,2199,2199,0.0
Raw Material,0.0,122,2199,2199,0.0
Raw Material,0.0,366,2840,2840,0.0
Raw Material,0.0,366,2840,2840,0.0
Raw Material,0.0,366,2840,2840,0.0
Raw Material,0.0,37,2378,2378,0.0
Raw Material,0.0,32,3989,3989,0.0
Raw Material,0.0,47,2859,2859,0.0
Raw Material,0.0,47,2859,2859,0.0
Raw Material,0.0,47,2859,2859,0.0
Raw Material,0.0,47,2859,2859,0.0
Raw Material,0.0,44,2293,2293,0.0
Raw Material,0.0,44,2294,2294,0.0
Raw Material,0.0,86,1669,1669,0.0
Raw Material,0.0,86,1669,1669,0.0
Raw Material,0.0,86,1669,1669,0.0
Raw Material,0.0,44,2383,2383,0.0
Raw Material,0.0,182,2249,2249,0.0
Raw Material,0.0,182,2249,2249,0.0
Raw Material,0.0,182,2249,2249,0.0
Raw Material,0.0,182,2249,2249,0.0
Raw Material,0.0,92,904,904,0.0
Raw Material,0.0,92,904,904,0.0
Raw Material,0.0,92,904,904,0.0
Raw Material,0.0,92,904,904,0.0
Raw Material,0.0,32,2991,2991,0.0
Raw Material,0.0,86,1276,1276,0.0
Raw Material,0.0,86,1276,1276,0.0
Raw Material,0.0,86,1276,1276,0.0
Raw Material,0.0,86,1276,1276,0.0
Raw Material,0.0,360,3531,3531,0.0
Raw Material,0.0,122,3510,3510,0.0
Raw Material,0.0,122,3510,3510,0.0
Raw Material,0.0,92,846,846,0.0
Raw Material,0.0,92,846,846,0.0
Raw Material,0.0,92,846,846,0.0
Raw Material,0.0,92,1351,1351,0.0
Raw Material,0.0,92,1351,1351,0.0
Raw Material,0.0,92,1351,1351,0.0
Raw Material,0.0,92,2692,2692,0.0
Raw Material,0.0,92,2692,2692,0.0
Raw Material,0.0,92,2692,2692,0.0
Raw Material,0.0,92,2692,2692,0.0
Raw Material,0.0,44,2771,2771,0.0
Raw Material,0.0,92,1354,1354,0.0
Raw Material,0.0,92,1354,1354,0.0
Raw Material,0.0,92,1354,1354,0.0
Raw Material,0.0,360,3642,3642,0.0
Raw Material,0.0,37,3124,3124,0.0
Raw Material,0.0,37,3124,3124,0.0
Order Only,0.003,30,4066,4066,3.0
Raw Material,0.0,247,3398,3398,0.0
Raw Material,0.0,247,3398,3398,0.0
Raw Material,0.0,247,3398,3398,0.0
Raw Material,0.0,92,1366,1366,0.0
Raw Material,0.0,92,1366,1366,0.0
Raw Material,0.0,92,1366,1366,0.0
Raw Material,0.0,92,1366,1366,0.0
Raw Material,0.0,62,2630,2630,0.0
Raw Material,0.0,47,2561,2561,0.0
Raw Material,0.0,47,2561,2561,0.0
Raw Material,0.0,62,681,681,0.0
Raw Material,0.0,32,2992,2992,0.0
Raw Material,0.0,32,2992,2992,0.0
Raw Material,0.0,360,3766,3766,0.0
Raw Material,0.0,32,2957,2957,0.0
Raw Material,0.0,32,2957,2957,0.0
Raw Material,0.0,32,2957,2957,0.0
Raw Material,0.0,122,3624,3624,0.0
Raw Material,0.0,122,3624,3624,0.0
Raw Material,0.0,122,3624,3624,0.0
Raw Material,0.0,86,3882,3882,0.0
Raw Material,0.0,86,3882,3882,0.0
Raw Material,0.0,360,2583,2583,0.0
Raw Material,0.0,360,3441,3441,0.0
Raw Material,0.0,360,2572,2572,0.0
Raw Material,0.0,360,2572,2572,0.0
Raw Material,0.0,360,2572,2572,0.0
Raw Material,0.0,37,690,690,0.0
Normal,0.001,30,121,121,1.0
Raw Material,0.0,32,2952,2952,0.0
Raw Material,0.0,360,3672,3672,0.0
Raw Material,0.0,360,3672,3672,0.0
Raw Material,0.0,360,3672,3672,0.0
Raw Material,0.0,122,4137,4137,0.0
Order Only,0.001,30,3902,3902,1.0
Raw Material,0.0,44,2424,2424,0.0
Raw Material,0.0,92,1517,1517,0.0
Raw Material,0.0,92,1517,1517,0.0
Raw Material,0.0,120,1945,1945,0.0
Raw Material,0.0,120,1945,1945,0.0
Raw Material,0.0,120,1945,1945,0.0
Raw Material,0.0,120,1945,1945,0.0
Order Only,0.0,30,573,573,0.0
Order Only,0.0,30,574,574,0.0
Raw Material,0.0,92,2425,2425,0.0
Raw Material,0.0,100,2164,2164,0.0
Raw Material,0.0,100,2164,2164,0.0
Raw Material,0.0,100,2164,2164,0.0
Raw Material,0.0,120,1673,1673,0.0
Raw Material,0.0,120,1673,1673,0.0
Raw Material,0.0,120,1673,1673,0.0
Raw Material,0.0,102,2064,2064,0.0
Raw Material,0.0,92,1361,1361,0.0
Raw Material,0.0,92,1361,1361,0.0
Raw Material,0.0,92,1361,1361,0.0
Raw Material,0.0,92,1361,1361,0.0
Raw Material,0.0,114,2065,2065,0.0
Raw Material,0.0,114,2065,2065,0.0
Raw Material,0.0,170,3841,3841,0.0
Raw Material,0.0,73,2663,2663,0.0
Raw Material,0.0,62,3078,3078,0.0
Raw Material,0.0,122,4109,4109,0.0
Raw Material,0.0,86,1289,1289,0.0
Raw Material,0.0,86,1289,1289,0.0
Raw Material,0.0,86,1289,1289,0.0
Raw Material,0.0,86,1289,1289,0.0
Raw Material,0.0,92,1365,1365,0.0
Raw Material,0.0,92,1365,1365,0.0
Raw Material,0.0,92,1365,1365,0.0
Raw Material,0.0,92,1365,1365,0.0
Raw Material,0.0,360,2631,2631,0.0
Raw Material,0.0,92,1369,1369,0.0
Raw Material,0.0,92,1369,1369,0.0
Raw Material,0.0,92,1369,1369,0.0
Raw Material,0.0,92,1369,1369,0.0
Raw Material,0.0,86,865,865,0.0
Raw Material,0.0,86,2565,2565,0.0
Raw Material,0.0,169,2855,2855,0.0
Type4 Component,0.001,30,122,122,1.0
Raw Material,0.0,86,3761,3761,0.0
Raw Material,0.0,366,2856,2856,0.0
Raw Material,0.0,366,2856,2856,0.0
Raw Material,0.0,87,1425,1425,0.0
Raw Material,0.0,87,1425,1425,0.0
Raw Material,0.0,87,1425,1425,0.0
