capacity_type,unit_capacity,item_code
Point,0.0,210
Dl,0.0,212
Rate,0.0,212
Pcs,1.0,212
Point,0.0,212
Dl,0.0,214
Rate,0.0,214
Pcs,1.0,214
Point,0.0,214
Dl,0.0,4033
Rate,0.0,4033
Pcs,1.0,4033
Point,0.0,4033
Dl,0.0,4031
Rate,0.0,4031
Pcs,1.0,4031
Point,0.0,4031
Dl,0.0,4035
Rate,0.0,4035
Pcs,1.0,4035
Point,0.0,4035
Dl,0.0,126
Rate,0.0,126
Pcs,1.0,126
Point,0.0,126
Dl,0.0,4038
Rate,0.0,4038
Pcs,1.0,4038
Point,0.0,4038
Dl,0.0,743
Rate,0.0,743
Pcs,1.0,743
Point,0.0,743
Dl,0.0,170
Rate,0.0,170
Pcs,1.0,170
Point,0.0,170
Dl,0.0,172
Rate,0.0,172
Pcs,1.0,172
Point,0.0,172
Dl,0.0,174
Rate,0.0,174
Pcs,1.0,174
Point,0.0,174
Dl,0.0,216
Rate,0.0,216
Pcs,1.0,216
Point,0.0,216
Dl,0.0,183
Rate,0.0,183
Pcs,1.0,183
Point,0.0,183
Dl,0.0,153
Rate,0.0,153
Pcs,1.0,153
Point,0.0,153
Dl,0.0,237
Rate,0.0,237
Pcs,1.0,237
Point,0.0,237
Dl,0.0,239
Rate,0.0,239
Pcs,1.0,239
Point,0.0,239
Dl,0.0,715
Rate,0.0,715
Pcs,1.0,715
Point,0.0,715
Dl,0.0,619
Rate,0.0,619
Pcs,1.0,619
Point,0.0,619
Dl,0.0,231
Rate,0.0,231
Pcs,1.0,231
Point,0.0,231
Dl,0.0,128
Rate,0.0,128
Pcs,1.0,128
Point,0.0,128
Dl,0.0,578
Rate,0.0,578
Pcs,1.0,578
Point,3795.0,578
Dl,0.0,198
Rate,0.0,198
Pcs,1.0,198
Point,0.0,198
Dl,0.0,725
Rate,0.0,725
Pcs,1.0,725
Point,0.0,725
Dl,0.0,727
Rate,0.0,727
Pcs,1.0,727
Point,0.0,727
Dl,0.0,286
Rate,0.0,286
Pcs,1.0,286
Point,0.0,286
Dl,0.0,290
Rate,0.0,290
Pcs,1.0,290
Point,0.0,290
Dl,0.0,294
Rate,0.0,294
Pcs,1.0,294
Point,0.0,294
Dl,0.0,296
Rate,0.0,296
Pcs,1.0,296
Point,0.0,296
Dl,0.0,4084
Rate,0.0,4084
Pcs,1.0,4084
Point,0.0,4084
Dl,0.0,260
Rate,0.0,260
Pcs,1.0,260
Point,0.0,260
Dl,0.0,266
Rate,0.0,266
Pcs,1.0,266
Point,0.0,266
Dl,0.0,790
Rate,0.0,790
Pcs,1.0,790
Point,0.0,790
Dl,0.0,226
Rate,0.0,226
Pcs,1.0,226
Point,0.0,226
Dl,0.0,250
Rate,0.0,250
Pcs,1.0,250
Point,0.0,250
Dl,0.0,245
Rate,0.0,245
Pcs,1.0,245
Point,0.0,245
Dl,0.0,4041
Rate,0.0,4041
Pcs,1.0,4041
Point,0.0,4041
Dl,0.0,130
Rate,0.0,130
Pcs,1.0,130
Point,0.0,130
Dl,0.0,132
Rate,0.0,132
Pcs,1.0,132
Point,0.0,132
Dl,0.0,233
Rate,0.0,233
Pcs,1.0,233
Point,0.0,233
Dl,0.0,235
Rate,0.0,235
Pcs,1.0,235
Point,0.0,235
Dl,0.0,151
Rate,0.0,151
Pcs,1.0,151
Point,0.0,151
Dl,0.0,136
Rate,0.0,136
Pcs,1.0,136
Point,0.0,136
Dl,0.0,4043
Rate,0.0,4043
Pcs,1.0,4043
Point,0.0,4043
Dl,0.0,4045
Rate,0.0,4045
Pcs,1.0,4045
Point,0.0,4045
Dl,0.0,598
Rate,0.0,598
Pcs,1.0,598
Point,0.0,598
Dl,0.0,719
Rate,0.0,719
Pcs,1.0,719
Point,0.0,719
Dl,0.0,4047
Rate,0.0,4047
Pcs,1.0,4047
Point,0.0,4047
Dl,0.0,79
Rate,0.0,79
Pcs,1.0,79
Point,0.0,79
Dl,0.0,205
Rate,0.0,205
Pcs,1.0,205
Point,0.0,205
Dl,0.0,627
Rate,0.0,627
Pcs,1.0,627
Point,0.0,627
Dl,0.0,262
Rate,0.0,262
Pcs,1.0,262
Point,0.0,262
Dl,0.0,252
Rate,0.0,252
Pcs,1.0,252
Point,0.0,252
Dl,0.0,4015
Rate,0.0,4015
Pcs,1.0,4015
Point,0.0,4015
Dl,0.0,4017
Rate,0.0,4017
Pcs,1.0,4017
Point,0.0,4017
Dl,0.0,264
Rate,0.0,264
Pcs,1.0,264
Point,0.0,264
Dl,0.0,268
Rate,0.0,268
Pcs,1.0,268
Point,0.0,268
Dl,0.0,4019
Rate,0.0,4019
Pcs,1.0,4019
Point,0.0,4019
Dl,0.0,4021
Rate,0.0,4021
Pcs,1.0,4021
Point,0.0,4021
Dl,0.0,298
Rate,0.0,298
Pcs,1.0,298
Point,0.0,298
Dl,0.0,270
Rate,0.0,270
Pcs,1.0,270
Point,0.0,270
Dl,0.0,826
Rate,0.0,826
Pcs,1.0,826
Point,0.0,826
Dl,0.0,717
Rate,0.0,717
Pcs,1.0,717
Point,0.0,717
Dl,0.0,4023
Rate,0.0,4023
Pcs,1.0,4023
Point,0.0,4023
Dl,0.0,241
Rate,0.0,241
Pcs,1.0,241
Point,0.0,241
Dl,0.0,243
Rate,0.0,243
Pcs,1.0,243
Point,0.0,243
Dl,0.0,630
Rate,0.0,630
Pcs,1.0,630
Point,0.0,630
Dl,0.0,623
Rate,0.0,623
Pcs,1.0,623
Point,0.0,623
Dl,0.0,139
Rate,0.0,139
Pcs,1.0,139
Point,0.0,139
Dl,0.0,100
Rate,0.0,100
Pcs,1.0,100
Point,0.0,100
Dl,0.0,800
Rate,0.0,800
Pcs,1.0,800
Point,0.0,800
Dl,0.0,609
Rate,0.0,609
Pcs,1.0,609
Point,0.0,609
Dl,0.0,612
Rate,0.0,612
Pcs,1.0,612
Point,0.0,612
Dl,0.0,615
Rate,0.0,615
Pcs,1.0,615
Point,0.0,615
Dl,0.0,272
Rate,0.0,272
Pcs,1.0,272
Point,0.0,272
Dl,0.0,274
Rate,0.0,274
Pcs,1.0,274
Point,0.0,274
Dl,0.0,276
Rate,0.0,276
Pcs,1.0,276
Point,0.0,276
Dl,0.0,160
Rate,0.0,160
Pcs,1.0,160
Point,0.0,160
Dl,0.0,164
Rate,0.0,164
Pcs,1.0,164
Point,0.0,164
Dl,0.0,168
Rate,0.0,168
Pcs,1.0,168
Point,0.0,168
Dl,0.0,118
Rate,0.0,118
Pcs,1.0,118
Point,0.0,118
Dl,0.0,3811
Rate,0.0,3811
Pcs,1.0,3811
Point,0.0,3811
Dl,0.0,3727
Rate,0.0,3727
Pcs,1.0,3727
Point,0.0,3727
Dl,0.0,3589
Rate,0.0,3589
Pcs,1.0,3589
Point,0.0,3589
Dl,0.0,780
Rate,0.0,780
Pcs,1.0,780
Point,0.0,780
Dl,0.0,3714
Rate,0.0,3714
Pcs,1.0,3714
Point,0.0,3714
Dl,0.0,3470
Rate,0.0,3470
Pcs,1.0,3470
Point,0.0,3470
Dl,0.0,3829
Rate,0.0,3829
Pcs,1.0,3829
Point,0.0,3829
Dl,0.0,750
Rate,0.0,750
Pcs,1.0,750
Point,0.0,750
Dl,0.0,3743
Rate,0.0,3743
Pcs,1.0,3743
Point,0.0,3743
Dl,0.0,3784
Rate,0.0,3784
Pcs,1.0,3784
Point,0.0,3784
Dl,0.0,3710
Rate,0.0,3710
Pcs,1.0,3710
Point,0.0,3710
Dl,0.0,771
Rate,0.0,771
Pcs,1.0,771
Point,0.0,771
Dl,0.0,4072
Rate,0.0,4072
Pcs,1.0,4072
Point,0.0,4072
Dl,0.0,3669
Rate,0.0,3669
Pcs,1.0,3669
Point,0.0,3669
Dl,0.0,116
Rate,0.0,116
Pcs,1.0,116
Point,0.0,116
Dl,0.0,809
Rate,0.0,809
Pcs,1.0,809
Point,0.0,809
Dl,0.0,3938
Rate,0.0,3938
Pcs,1.0,3938
Point,0.0,3938
Dl,0.0,4054
Rate,0.0,4054
Pcs,1.0,4054
Point,0.0,4054
Dl,0.0,4056
Rate,0.0,4056
Pcs,1.0,4056
Point,0.0,4056
Dl,0.0,4058
Rate,0.0,4058
Pcs,1.0,4058
Point,0.0,4058
Dl,0.0,3940
Rate,0.0,3940
Pcs,1.0,3940
Point,0.0,3940
Dl,0.0,194
Rate,0.0,194
Pcs,1.0,194
Point,0.0,194
Dl,0.0,98
Rate,0.0,98
Pcs,1.0,98
Point,590.0,98
Dl,0.0,195
Rate,0.0,195
Pcs,1.0,195
Point,0.0,195
Dl,0.0,4060
Rate,0.0,4060
Pcs,1.0,4060
Point,0.0,4060
Dl,0.0,57
Rate,0.0,57
Pcs,1.0,57
Point,0.0,57
Dl,0.0,4062
Rate,0.0,4062
Pcs,1.0,4062
Point,0.0,4062
Dl,0.0,58
Rate,0.0,58
Pcs,1.0,58
Point,0.0,58
Dl,0.0,4064
Rate,0.0,4064
Pcs,1.0,4064
Point,0.0,4064
Dl,0.0,59
Rate,0.0,59
Pcs,1.0,59
Point,0.0,59
Dl,0.0,60
Rate,0.0,60
Pcs,1.0,60
Point,0.0,60
Dl,0.0,62
Rate,0.0,62
Pcs,1.0,62
Point,0.0,62
Dl,0.0,3964
Rate,0.0,3964
Pcs,1.0,3964
Point,0.0,3964
Dl,0.0,3974
Rate,0.0,3974
Pcs,1.0,3974
Point,0.0,3974
Dl,0.0,63
Rate,0.0,63
Pcs,1.0,63
Point,0.0,63
Dl,0.0,819
Rate,0.0,819
Pcs,1.0,819
Point,0.0,819
Dl,0.0,4066
Rate,0.0,4066
Pcs,1.0,4066
Point,0.0,4066
Dl,0.0,121
Rate,0.0,121
Pcs,1.0,121
Point,0.0,121
Dl,0.0,3902
Rate,0.0,3902
Pcs,1.0,3902
Point,0.0,3902
Dl,0.0,573
Rate,0.0,573
Pcs,1.0,573
Point,0.0,573
Dl,0.0,574
Rate,0.0,574
Pcs,1.0,574
Point,0.0,574
Dl,0.0,122
Rate,0.0,122
Pcs,1.0,122
Point,0.0,122
Dl,0.0,42
Rate,0.0,42
Pcs,1.0,42
Point,0.0,42
Dl,0.0,140
Rate,0.0,140
Pcs,1.0,140
Point,0.0,140
Dl,0.0,44
Rate,0.0,44
Pcs,1.0,44
Point,0.0,44
Dl,0.0,142
Rate,0.0,142
Pcs,1.0,142
Point,0.0,142
Dl,0.0,3943
Rate,0.0,3943
Pcs,1.0,3943
Point,0.0,3943
Dl,0.0,102
Rate,0.0,102
Pcs,1.0,102
Point,0.0,102
Dl,0.0,586
Rate,0.0,586
Pcs,1.0,586
Point,7987.0,586
Dl,0.0,831
Rate,0.0,831
Pcs,1.0,831
Point,0.0,831
Dl,0.0,277
Rate,0.0,277
Pcs,1.0,277
Point,0.0,277
Dl,0.0,257
Rate,0.0,257
Pcs,1.0,257
Point,0.0,257
Dl,0.0,279
Rate,0.0,279
Pcs,1.0,279
Point,0.0,279
Dl,0.0,283
Rate,0.0,283
Pcs,1.0,283
Point,0.0,283
Dl,0.0,184
Rate,0.0,184
Pcs,1.0,184
Point,0.0,184
Dl,0.0,186
Rate,0.0,186
Pcs,1.0,186
Point,0.0,186
Dl,0.0,188
Rate,0.0,188
Pcs,1.0,188
Point,0.0,188
Dl,0.0,190
Rate,0.0,190
Pcs,1.0,190
Point,0.0,190
Dl,0.0,4024
Rate,0.0,4024
Pcs,1.0,4024
Point,0.0,4024
Dl,0.0,4026
Rate,0.0,4026
Pcs,1.0,4026
Point,0.0,4026
Dl,0.0,3904
Rate,0.0,3904
Pcs,1.0,3904
Point,0.0,3904
Dl,0.0,112
Rate,0.0,112
Pcs,1.0,112
Point,0.0,112
Dl,0.0,91
Rate,0.0,91
Pcs,1.0,91
Point,0.0,91
Dl,0.0,4028
Rate,0.0,4028
Pcs,1.0,4028
Point,0.0,4028
Dl,0.0,634
Rate,0.0,634
Pcs,1.0,634
Point,0.0,634
Dl,0.0,92
Rate,0.0,92
Pcs,1.0,92
Point,0.0,92
Dl,0.0,4076
Rate,0.0,4076
Pcs,1.0,4076
Point,0.0,4076
Dl,0.0,46
Rate,0.0,46
Pcs,1.0,46
Point,0.0,46
Dl,0.0,93
Rate,0.0,93
Pcs,1.0,93
Point,0.0,93
Dl,0.0,156
Rate,0.0,156
Pcs,1.0,156
Point,0.0,156
Dl,0.0,4036
Rate,0.0,4036
Pcs,1.0,4036
Point,0.0,4036
Dl,0.0,206
Rate,0.0,206
Pcs,1.0,206
Point,0.0,206
Dl,0.0,3970
Rate,0.0,3970
Pcs,1.0,3970
Point,0.0,3970
Dl,0.0,200
Rate,0.0,200
Pcs,1.0,200
Point,0.0,200
Dl,0.0,207
Rate,0.0,207
Pcs,1.0,207
Point,0.0,207
Dl,0.0,209
Rate,0.0,209
Pcs,1.0,209
Point,0.0,209
Dl,0.0,211
Rate,0.0,211
Pcs,1.0,211
Point,0.0,211
Dl,0.0,111
Rate,0.0,111
Pcs,1.0,111
Point,1633.04,111
Dl,0.0,213
Rate,0.0,213
Pcs,1.0,213
Point,0.0,213
Dl,0.0,4032
Rate,0.0,4032
Pcs,1.0,4032
Point,0.0,4032
Dl,0.0,4030
Rate,0.0,4030
Pcs,1.0,4030
Point,0.0,4030
Dl,0.0,4034
Rate,0.0,4034
Pcs,1.0,4034
Point,0.0,4034
Dl,0.0,3963
Rate,0.0,3963
Pcs,1.0,3963
Point,0.0,3963
Dl,0.0,125
Rate,0.0,125
Pcs,1.0,125
Point,0.0,125
Dl,0.0,3965
Rate,0.0,3965
Pcs,1.0,3965
Point,0.0,3965
Dl,0.0,4037
Rate,0.0,4037
Pcs,1.0,4037
Point,0.0,4037
Dl,0.0,144
Rate,0.0,144
Pcs,1.0,144
Point,921.0,144
Dl,0.0,308
Rate,0.0,308
Pcs,1.0,308
Point,0.0,308
Dl,0.0,177
Rate,0.0,177
Pcs,1.0,177
Point,0.0,177
Dl,0.0,742
Rate,0.0,742
Pcs,1.0,742
Point,0.0,742
Dl,0.0,169
Rate,0.0,169
Pcs,1.0,169
Point,0.0,169
Dl,0.0,171
Rate,0.0,171
Pcs,1.0,171
Point,0.0,171
Dl,0.0,173
Rate,0.0,173
Pcs,1.0,173
Point,0.0,173
Dl,0.0,193
Rate,0.0,193
Pcs,1.0,193
Point,0.0,193
Dl,0.0,639
Rate,0.0,639
Pcs,1.0,639
Point,0.0,639
Dl,0.0,463
Rate,0.0,463
Pcs,1.0,463
Point,4191.0,463
Dl,0.0,157
Rate,0.0,157
Pcs,1.0,157
Point,0.0,157
Dl,0.0,158
Rate,0.0,158
Pcs,1.0,158
Point,0.0,158
Dl,0.0,215
Rate,0.0,215
Pcs,1.0,215
Point,0.0,215
Dl,0.0,74
Rate,23.01,74
Pcs,1.0,74
Point,0.0,74
Dl,0.0,40
Rate,0.0,40
Pcs,1.0,40
Point,0.0,40
Dl,0.0,182
Rate,0.0,182
Pcs,1.0,182
Point,0.0,182
Dl,0.0,152
Rate,0.0,152
Pcs,1.0,152
Point,0.0,152
Dl,0.0,3957
Rate,0.0,3957
Pcs,1.0,3957
Point,0.0,3957
Dl,0.0,236
Rate,0.0,236
Pcs,1.0,236
Point,0.0,236
Dl,0.0,238
Rate,0.0,238
Pcs,1.0,238
Point,0.0,238
Dl,0.0,714
Rate,0.0,714
Pcs,1.0,714
Point,0.0,714
Dl,0.0,618
Rate,0.0,618
Pcs,1.0,618
Point,0.0,618
Dl,0.0,620
Rate,0.0,620
Pcs,1.0,620
Point,0.0,620
Dl,0.0,446
Rate,0.0,446
Pcs,1.0,446
Point,2394.0,446
Dl,0.0,448
Rate,0.0,448
Pcs,1.0,448
Point,191.0,448
Dl,0.0,3967
Rate,0.0,3967
Pcs,1.0,3967
Point,0.0,3967
Dl,0.0,230
Rate,0.0,230
Pcs,1.0,230
Point,0.0,230
Dl,0.0,145
Rate,0.0,145
Pcs,1.0,145
Point,0.0,145
Dl,0.0,449
Rate,0.0,449
Pcs,1.0,449
Point,1445.0,449
Dl,0.0,137
Rate,0.0,137
Pcs,1.0,137
Point,0.0,137
Dl,0.0,3960
Rate,0.0,3960
Pcs,1.0,3960
Point,0.0,3960
Dl,0.0,127
Rate,0.0,127
Pcs,1.0,127
Point,0.0,127
Dl,0.0,596
Rate,0.0,596
Pcs,1.0,596
Point,0.0,596
Dl,0.0,77
Rate,0.0,77
Pcs,1.0,77
Point,0.0,77
Dl,0.0,96
Rate,0.0,96
Pcs,1.0,96
Point,0.0,96
Dl,0.0,575
Rate,0.0,575
Pcs,1.0,575
Point,3819.0,575
Dl,0.0,557
Rate,0.0,557
Pcs,1.0,557
Point,0.0,557
Dl,0.0,577
Rate,0.0,577
Pcs,1.0,577
Point,3795.0,577
Dl,0.0,90
Rate,0.0,90
Pcs,1.0,90
Point,0.0,90
Dl,0.0,3952
Rate,0.0,3952
Pcs,1.0,3952
Point,0.0,3952
Dl,0.0,197
Rate,0.0,197
Pcs,1.0,197
Point,0.0,197
Dl,0.0,61
Rate,0.0,61
Pcs,1.0,61
Point,0.0,61
Dl,0.0,3953
Rate,0.0,3953
Pcs,1.0,3953
Point,0.0,3953
Dl,0.0,97
Rate,0.0,97
Pcs,1.0,97
Point,1823.04,97
Dl,0.0,724
Rate,0.0,724
Pcs,1.0,724
Point,0.0,724
Dl,0.0,726
Rate,0.0,726
Pcs,1.0,726
Point,0.0,726
Dl,0.0,256
Rate,0.0,256
Pcs,1.0,256
Point,0.0,256
Dl,0.0,579
Rate,0.0,579
Pcs,1.0,579
Point,160.0,579
Dl,0.0,192
Rate,0.0,192
Pcs,1.0,192
Point,0.0,192
Dl,0.0,4080
Rate,0.0,4080
Pcs,1.0,4080
Point,0.0,4080
Dl,0.0,4081
Rate,0.0,4081
Pcs,1.0,4081
Point,0.0,4081
Dl,0.0,3910
Rate,0.0,3910
Pcs,1.0,3910
Point,0.0,3910
Dl,0.0,285
Rate,0.0,285
Pcs,1.0,285
Point,0.0,285
Dl,0.0,3954
Rate,0.0,3954
Pcs,1.0,3954
Point,0.0,3954
Dl,0.0,289
Rate,0.0,289
Pcs,1.0,289
Point,0.0,289
Dl,0.0,293
Rate,0.0,293
Pcs,1.0,293
Point,0.0,293
Dl,0.0,555
Rate,0.0,555
Pcs,1.0,555
Point,0.0,555
Dl,0.0,295
Rate,0.0,295
Pcs,1.0,295
Point,0.0,295
Dl,0.0,4083
Rate,0.0,4083
Pcs,1.0,4083
Point,0.0,4083
Dl,0.0,259
Rate,0.0,259
Pcs,1.0,259
Point,0.0,259
Dl,0.0,571
Rate,0.0,571
Pcs,1.0,571
Point,1158.0,571
Dl,0.0,3905
Rate,0.0,3905
Pcs,1.0,3905
Point,0.0,3905
Dl,0.0,455
Rate,0.0,455
Pcs,1.0,455
Point,136.0,455
Dl,0.0,3946
Rate,0.0,3946
Pcs,1.0,3946
Point,0.0,3946
Dl,0.0,265
Rate,0.0,265
Pcs,1.0,265
Point,0.0,265
Dl,0.0,468
Rate,0.0,468
Pcs,1.0,468
Point,3938.0,468
Dl,0.0,789
Rate,0.0,789
Pcs,1.0,789
Point,0.0,789
Dl,0.0,229
Rate,0.0,229
Pcs,1.0,229
Point,0.0,229
Dl,0.0,825
Rate,0.0,825
Pcs,1.0,825
Point,0.0,825
Dl,0.0,3947
Rate,0.0,3947
Pcs,1.0,3947
Point,0.0,3947
Dl,0.0,581
Rate,0.0,581
Pcs,1.0,581
Point,0.0,581
Dl,0.0,225
Rate,0.0,225
Pcs,1.0,225
Point,0.0,225
Dl,0.0,249
Rate,0.0,249
Pcs,1.0,249
Point,0.0,249
Dl,0.0,472
Rate,0.0,472
Pcs,1.0,472
Point,3938.0,472
Dl,0.0,3979
Rate,0.0,3979
Pcs,1.0,3979
Point,0.0,3979
Dl,0.0,3948
Rate,0.0,3948
Pcs,1.0,3948
Point,0.0,3948
Dl,0.0,244
Rate,0.0,244
Pcs,1.0,244
Point,0.0,244
Dl,0.0,4040
Rate,0.0,4040
Pcs,1.0,4040
Point,0.0,4040
Dl,0.0,467
Rate,0.0,467
Pcs,1.0,467
Point,136.0,467
Dl,0.0,246
Rate,0.0,246
Pcs,1.0,246
Point,0.0,246
Dl,0.0,3932
Rate,0.0,3932
Pcs,1.0,3932
Point,0.0,3932
Dl,0.0,3906
Rate,0.0,3906
Pcs,1.0,3906
Point,0.0,3906
Dl,0.0,3900
Rate,0.0,3900
Pcs,1.0,3900
Point,0.0,3900
Dl,0.0,129
Rate,0.0,129
Pcs,1.0,129
Point,0.0,129
Dl,0.0,131
Rate,0.0,131
Pcs,1.0,131
Point,0.0,131
Dl,0.0,232
Rate,0.0,232
Pcs,1.0,232
Point,0.0,232
Dl,0.0,234
Rate,0.0,234
Pcs,1.0,234
Point,0.0,234
Dl,0.0,4039
Rate,0.0,4039
Pcs,1.0,4039
Point,0.0,4039
Dl,0.0,3933
Rate,0.0,3933
Pcs,1.0,3933
Point,0.0,3933
Dl,0.0,150
Rate,0.0,150
Pcs,1.0,150
Point,0.0,150
Dl,0.0,3934
Rate,0.0,3934
Pcs,1.0,3934
Point,0.0,3934
Dl,0.0,81
Rate,0.0,81
Pcs,1.0,81
Point,227.1,81
Dl,0.0,135
Rate,0.0,135
Pcs,1.0,135
Point,0.0,135
Dl,0.0,4042
Rate,0.0,4042
Pcs,1.0,4042
Point,0.0,4042
Dl,0.0,4044
Rate,0.0,4044
Pcs,1.0,4044
Point,0.0,4044
Dl,0.0,45
Rate,0.0,45
Pcs,1.0,45
Point,0.0,45
Dl,0.0,3935
Rate,0.0,3935
Pcs,1.0,3935
Point,0.0,3935
Dl,0.0,3920
Rate,0.0,3920
Pcs,1.0,3920
Point,0.0,3920
Dl,0.0,3968
Rate,0.0,3968
Pcs,1.0,3968
Point,0.0,3968
Dl,0.0,109
Rate,0.0,109
Pcs,1.0,109
Point,0.0,109
Dl,0.0,597
Rate,0.0,597
Pcs,1.0,597
Point,0.0,597
Dl,0.0,599
Rate,0.0,599
Pcs,1.0,599
Point,0.0,599
Dl,0.0,600
Rate,0.0,600
Pcs,1.0,600
Point,0.0,600
Dl,0.0,718
Rate,0.0,718
Pcs,1.0,718
Point,0.0,718
Dl,0.0,4046
Rate,0.0,4046
Pcs,1.0,4046
Point,0.0,4046
Dl,0.0,603
Rate,0.0,603
Pcs,1.0,603
Point,0.0,603
Dl,0.0,78
Rate,0.0,78
Pcs,1.0,78
Point,0.0,78
Dl,0.0,3921
Rate,0.0,3921
Pcs,1.0,3921
Point,0.0,3921
Dl,0.0,94
Rate,0.0,94
Pcs,1.0,94
Point,0.0,94
Dl,0.0,106
Rate,0.0,106
Pcs,1.0,106
Point,939.0,106
Dl,0.0,95
Rate,0.0,95
Pcs,1.0,95
Point,0.0,95
Dl,0.0,3937
Rate,0.0,3937
Pcs,1.0,3937
Point,0.0,3937
Dl,0.0,582
Rate,0.0,582
Pcs,1.0,582
Point,0.0,582
Dl,0.0,3924
Rate,0.0,3924
Pcs,1.0,3924
Point,0.0,3924
Dl,0.0,638
Rate,0.0,638
Pcs,1.0,638
Point,0.0,638
Dl,0.0,594
Rate,0.0,594
Pcs,1.0,594
Point,0.0,594
Dl,0.0,75
Rate,23.01,75
Pcs,1.0,75
Point,0.0,75
Dl,0.0,3925
Rate,0.0,3925
Pcs,1.0,3925
Point,0.0,3925
Dl,0.0,6
Rate,0.0,6
Pcs,1.0,6
Point,0.0,6
Dl,0.0,204
Rate,0.0,204
Pcs,1.0,204
Point,0.0,204
Dl,0.0,3285
Rate,0.0,3285
Pcs,1.0,3285
Point,0.0,3285
Dl,0.0,624
Rate,0.0,624
Pcs,1.0,624
Point,0.0,624
Dl,0.0,626
Rate,0.0,626
Pcs,1.0,626
Point,0.0,626
Dl,0.0,3922
Rate,0.0,3922
Pcs,1.0,3922
Point,0.0,3922
Dl,0.0,3926
Rate,0.0,3926
Pcs,1.0,3926
Point,0.0,3926
Dl,0.0,261
Rate,0.0,261
Pcs,1.0,261
Point,0.0,261
Dl,0.0,253
Rate,0.0,253
Pcs,1.0,253
Point,0.0,253
Dl,0.0,254
Rate,0.0,254
Pcs,1.0,254
Point,0.0,254
Dl,0.0,251
Rate,0.0,251
Pcs,1.0,251
Point,0.0,251
Dl,0.0,4014
Rate,0.0,4014
Pcs,1.0,4014
Point,0.0,4014
Dl,0.0,4016
Rate,0.0,4016
Pcs,1.0,4016
Point,0.0,4016
Dl,0.0,263
Rate,0.0,263
Pcs,1.0,263
Point,0.0,263
Dl,0.0,101
Rate,0.0,101
Pcs,1.0,101
Point,1361.13,101
Dl,0.0,267
Rate,0.0,267
Pcs,1.0,267
Point,0.0,267
Dl,0.0,4018
Rate,0.0,4018
Pcs,1.0,4018
Point,0.0,4018
Dl,0.0,4020
Rate,0.0,4020
Pcs,1.0,4020
Point,0.0,4020
Dl,0.0,297
Rate,0.0,297
Pcs,1.0,297
Point,0.0,297
Dl,0.0,3927
Rate,0.0,3927
Pcs,1.0,3927
Point,0.0,3927
Dl,0.0,269
Rate,0.0,269
Pcs,1.0,269
Point,0.0,269
Dl,0.0,716
Rate,0.0,716
Pcs,1.0,716
Point,0.0,716
Dl,0.0,4022
Rate,0.0,4022
Pcs,1.0,4022
Point,0.0,4022
Dl,0.0,202
Rate,0.0,202
Pcs,1.0,202
Point,0.0,202
Dl,0.0,3962
Rate,0.0,3962
Pcs,1.0,3962
Point,0.0,3962
Dl,0.0,240
Rate,0.0,240
Pcs,1.0,240
Point,0.0,240
Dl,0.0,242
Rate,0.0,242
Pcs,1.0,242
Point,0.0,242
Dl,0.0,558
