avail_period,plant,qty,item_code
36,72,62.0,480
65,72,9.0,480
36,72,48.0,490
43,72,40.0,490
70,64,1.0,490
36,4,12.0,505
91,4,6.0,505
98,4,6.0,505
36,254,93.0,518
36,4,7.0,520
65,64,1.0,520
67,64,1.0,520
70,64,10.0,520
36,254,96.0,524
36,4,3.0,541
42,254,50.0,541
36,181,12.0,544
37,181,854.0,544
39,181,40.0,544
44,181,400.0,544
45,181,400.0,544
46,181,400.0,544
47,181,400.0,544
49,181,400.0,544
50,181,400.0,544
51,181,800.0,544
52,181,400.0,544
53,181,400.0,544
54,181,400.0,544
56,181,400.0,544
57,181,400.0,544
58,181,400.0,544
36,11,1.0,547
38,11,612.0,547
39,11,153.0,547
84,11,42.0,547
98,11,20.0,547
105,11,9.0,547
36,46,1524.0,551
36,80,600.0,551
37,80,1372.0,551
38,80,1200.0,551
40,46,3000.0,551
42,46,3000.0,551
42,80,1200.0,551
43,46,6000.0,551
43,80,1200.0,551
44,46,3021.0,551
44,80,1200.0,551
50,46,3160.0,551
51,46,3160.0,551
52,46,3160.0,551
53,46,3160.0,551
53,168,120.0,551
54,46,3160.0,551
60,80,1000.0,551
36,4,2.0,565
36,133,3.0,565
38,133,1211.0,565
39,133,1300.0,565
40,133,800.0,565
41,72,800.0,565
41,133,500.0,565
41,254,100.0,565
42,4,800.0,565
42,133,1272.0,565
43,4,200.0,565
43,72,528.0,565
45,72,800.0,565
46,72,300.0,565
36,245,87.0,636
37,245,690186.0,636
63,245,570000.0,636
66,245,160312.0,636
67,245,290000.0,636
36,245,45.0,638
37,245,202266.0,638
63,245,330000.0,638
66,245,105878.0,638
36,245,2700000.0,639
36,246,257304.0,639
37,245,97075.0,639
66,246,1313.0,639
36,64,5.0,707
36,235,3453.0,799
56,235,56.0,799
36,61,2000.0,3904
59,60,100.0,3904
36,61,20.0,3932
36,153,80.0,3948
40,150,1200.0,3948
41,150,840.0,3948
42,153,100.0,3948
59,150,100.0,3948
59,153,1180.0,3948
36,60,20.0,3952
36,210,8100.0,3964
36,61,13.0,4019
55,61,462.0,4019
36,61,908.0,4023
36,61,417.0,4027
36,210,100.0,4031
36,211,1008.0,4031
36,210,152.0,4032
61,210,3990.0,4032
64,210,3990.0,4032
36,210,210.0,4033
36,210,398.0,4034
39,210,882.0,4034
44,210,2100.0,4034
57,210,420.0,4034
58,210,6300.0,4034
61,210,1134.0,4034
65,210,2100.0,4034
36,210,145.0,4035
36,210,300.0,4039
39,210,5000.0,4039
43,210,10000.0,4039
62,210,10000.0,4039
64,210,2264.0,4039
65,210,10000.0,4039
36,61,100.0,4045
40,61,100.0,4045
36,61,1544.0,4059
36,210,42.0,4063
37,210,7.0,4063
44,210,126.0,4063
51,210,126.0,4063
57,210,168.0,4063
37,72,62.0,121
38,72,450.0,121
37,72,70.0,122
38,72,1249.0,122
39,72,900.0,122
40,72,1294.0,122
37,14,1770.0,206
37,18,2000.0,229
39,18,10000.0,229
40,14,3000.0,229
40,18,4000.0,229
43,18,4000.0,229
44,14,3000.0,229
67,64,929.0,229
70,64,113.0,229
37,72,5.0,279
42,72,2.0,279
37,72,2.0,283
38,72,6.0,283
41,72,6.0,283
37,69,46.0,459
40,69,80.0,459
41,69,80.0,459
37,72,920.0,523
38,72,800.0,523
38,133,1601.0,523
39,72,1232.0,523
39,133,920.0,523
40,72,504.0,523
40,133,920.0,523
41,72,800.0,523
42,72,800.0,523
43,72,1008.0,523
43,254,328.0,523
44,72,920.0,523
45,72,920.0,523
46,72,800.0,523
46,133,920.0,523
47,72,1720.0,523
47,133,920.0,523
48,72,800.0,523
48,133,920.0,523
49,72,504.0,523
49,133,920.0,523
50,72,1304.0,523
50,133,920.0,523
51,133,920.0,523
52,72,504.0,523
53,72,504.0,523
53,133,920.0,523
54,72,504.0,523
54,133,920.0,523
55,72,504.0,523
55,133,920.0,523
56,72,504.0,523
56,133,920.0,523
84,133,13.0,523
91,133,16.0,523
98,133,29.0,523
37,11,282.0,549
40,11,300.0,549
49,11,600.0,549
84,11,28.0,549
98,11,4.0,549
105,11,48.0,549
37,72,220.0,579
41,72,172.0,579
48,72,220.0,579
67,64,1.0,579
70,64,4.0,579
37,11,1250.0,582
38,11,375.0,582
39,11,1250.0,582
40,11,1250.0,582
42,11,1250.0,582
43,11,1250.0,582
44,11,1250.0,582
45,11,1250.0,582
46,11,1125.0,582
37,68,1.0,594
38,70,4.0,594
41,70,3.0,594
37,69,10.0,603
40,69,10.0,603
41,69,10.0,603
45,69,10.0,603
47,69,5.0,603
37,72,10.0,622
42,72,5.0,622
48,72,10.0,622
37,210,400.0,3912
40,210,300.0,3912
37,61,700.0,3917
38,138,56581.0,51
38,56,296055.0,52
54,56,353148.0,52
61,56,37421.0,52
38,56,290706.0,53
45,56,83043.0,53
56,56,233434.0,53
57,56,300000.0,53
38,138,91117.0,57
42,138,87552.0,57
45,138,43776.0,57
47,138,21888.0,57
62,138,21888.0,57
63,138,153216.0,57
65,138,43776.0,57
66,138,43776.0,57
68,138,21888.0,57
69,138,21888.0,57
70,138,87552.0,57
77,138,122922.0,57
38,56,235200.0,58
38,138,208.0,58
40,56,188160.0,58
53,56,23520.0,58
56,138,94080.0,58
63,138,263424.0,58
64,138,56448.0,58
65,138,75264.0,58
66,138,37632.0,58
69,56,47040.0,58
70,56,329280.0,58
70,138,206976.0,58
77,138,68734.0,58
38,56,260845.0,60
38,138,4952.0,60
47,56,375051.0,60
50,138,66399.0,60
51,138,26931.0,60
53,138,35589.0,60
54,56,98604.0,60
54,138,58964.0,60
56,138,10000.0,60
57,138,30000.0,60
58,138,30000.0,60
61,56,98546.0,60
38,56,363291.0,62
38,138,89.0,62
42,138,165081.0,62
47,56,386488.0,62
54,56,329254.0,62
62,138,100000.0,62
63,56,80000.0,62
63,138,25000.0,62
64,138,25000.0,62
65,138,25000.0,62
66,138,25000.0,62
68,138,25000.0,62
38,138,66225.0,64
63,138,43776.0,64
69,138,87552.0,64
70,138,153216.0,64
77,138,109440.0,64
38,72,3.0,128
38,14,550.0,193
39,14,550.0,193
40,14,550.0,193
42,14,550.0,193
38,69,16.0,201
43,69,16.0,201
44,69,32.0,201
38,72,10.0,259
38,72,450.0,464
38,46,3000.0,487
42,46,3000.0,487
38,133,780.0,500
43,133,792.0,500
44,133,792.0,500
45,133,792.0,500
46,133,792.0,500
70,64,4.0,500
38,133,2.0,517
39,133,876.0,517
42,133,1822.0,517
42,254,200.0,517
45,133,952.0,517
46,133,600.0,517
47,133,600.0,517
48,133,600.0,517
50,133,700.0,517
98,133,26.0,517
38,72,4.0,540
63,4,12.0,540
70,64,3.0,540
84,4,11.0,540
38,133,723.0,567
40,133,114.0,567
42,133,350.0,567
38,60,40.0,3900
38,210,2800.0,3902
45,210,9600.0,3902
47,60,8300.0,3902
50,60,9600.0,3902
38,60,2256.0,3980
40,210,2300.0,3980
39,69,80.0,463
39,60,19049.0,3336
61,60,4000.0,3336
40,72,20.0,216
43,72,20.0,216
44,72,23.0,216
40,72,1.0,269
40,133,100.0,556
40,235,4960.0,800
70,235,10000.0,800
77,235,5000.0,800
40,210,110.0,3906
40,61,21.0,4025
41,72,7.0,254
47,72,2.0,254
42,14,273.0,99
43,14,97.0,99
42,72,200.0,257
42,4,1584.0,492
70,64,4.0,492
42,72,130.0,512
65,64,13.0,512
67,64,9.0,512
69,64,26.0,512
70,64,25.0,512
43,72,50.0,45
43,69,21.0,156
44,69,63.0,156
48,69,56.0,156
53,69,63.0,156
43,72,220.0,451
44,72,180.0,451
43,70,30.0,454
45,70,30.0,454
43,69,1.0,619
44,64,2.0,155
44,11,150.0,514
84,11,22.0,514
91,11,8.0,514
98,11,89.0,514
45,72,38.0,586
45,69,5.0,606
45,69,10.0,620
47,56,588296.0,59
54,56,121849.0,59
56,138,185319.0,59
60,56,120704.0,59
61,56,121631.0,59
63,56,150000.0,59
63,138,122042.0,59
47,72,5.0,285
49,61,150.0,3949
60,61,2400.0,3949
51,72,20.0,457
54,72,6.0,457
52,69,2.0,610
52,61,800.0,4056
53,261,42.0,81
57,72,200.0,256
57,69,5.0,608
59,72,2.0,275
62,61,5000.0,4046
63,61,20000.0,4046
62,61,5000.0,4076
65,61,2000.0,4014
65,61,42.0,4021
65,61,2000.0,4058
67,64,18.0,486
70,64,1.0,486
67,64,2.0,521
70,64,11.0,521
68,64,8.0,525
69,64,10.0,525
70,64,10.0,525
70,80,61.0,98
77,72,1.0,78
77,72,3.0,479
84,72,27.0,479
77,64,60.0,774
84,4,11.0,504
98,4,1.0,504
98,133,2.0,504
84,4,16.0,543
98,4,7.0,543
84,11,12.0,550
98,11,6.0,550
105,11,8.0,550
84,64,597.0,747
84,64,588.0,749
84,64,2.0,3766
91,72,18.0,72
91,11,10.0,581
98,11,16.0,581
105,11,6.0,581
98,18,1.0,1
98,4,3.0,497
105,11,3.0,545
105,11,5.0,546
