proportion,cumulate_production,inclusive,item_code,plant,start_date,end_date
100.0,0,1,7040,22,143,164
100.0,0,1,7010,22,143,164
100.0,0,1,6947,22,143,164
30.0,0,1,1639,22,143,164
100.0,0,1,962,22,143,164
100.0,0,1,6789,22,143,164
100.0,0,1,6936,22,143,164
100.0,0,1,1305,22,143,164
100.0,0,1,6794,22,143,164
100.0,0,1,6790,22,143,164
100.0,0,1,6788,22,143,164
100.0,0,1,6805,22,143,164
100.0,0,1,6996,22,143,164
100.0,0,1,6844,22,143,164
100.0,0,1,1026,22,143,164
100.0,0,1,6952,22,143,164
100.0,0,1,7017,22,143,164
100.0,0,1,6955,22,143,164
100.0,0,1,6845,22,143,164
100.0,0,1,6954,22,143,164
30.0,0,1,1636,22,143,164
30.0,0,1,745,22,143,164
30.0,0,1,1673,22,143,164
65.0,0,1,6948,22,143,164
30.0,0,1,6995,22,143,164
100.0,0,1,7039,22,143,164
100.0,0,1,7025,22,143,164
100.0,0,1,725,46,143,164
100.0,0,1,5049,46,143,164
100.0,0,1,5048,46,143,164
100.0,0,1,5047,46,143,164
100.0,0,1,7009,46,143,164
100.0,0,1,4952,46,143,164
100.0,0,1,7008,46,143,164
100.0,0,1,6872,46,143,164
100.0,0,1,6871,46,143,164
100.0,0,1,6687,46,143,164
100.0,0,1,6699,46,143,164
100.0,0,1,6700,46,143,164
100.0,0,1,6701,46,143,164
100.0,0,1,6726,46,143,164
100.0,0,1,2840,46,143,164
100.0,0,1,2841,46,143,164
100.0,0,1,676,46,143,164
100.0,0,1,3496,46,143,164
100.0,0,1,6645,46,143,164
100.0,0,1,6652,46,143,164
100.0,0,1,6653,46,143,164
100.0,0,1,3093,46,143,164
100.0,0,1,3100,46,143,164
100.0,0,1,3104,46,143,164
100.0,0,1,4801,46,143,164
100.0,0,1,2823,46,143,164
100.0,0,1,6879,46,143,164
100.0,0,1,7173,46,143,164
100.0,0,1,7185,46,143,164
100.0,0,1,3622,46,143,164
100.0,0,1,5218,46,143,164
100.0,0,1,6608,46,143,164
100.0,0,1,6636,46,143,164
100.0,0,1,6649,46,143,164
100.0,0,1,6749,46,143,164
100.0,0,1,7295,46,143,164
100.0,0,1,7313,46,143,164
100.0,0,1,7315,46,143,164
100.0,0,1,7316,46,143,164
0.0,0,1,4502,46,143,164
100.0,0,1,5760,46,143,164
100.0,0,1,7073,46,143,164
100.0,0,1,7072,46,143,164
100.0,0,1,7066,46,143,164
100.0,0,1,3839,46,143,164
100.0,0,1,3838,46,143,164
100.0,0,1,7083,46,143,164
100.0,0,1,5711,46,143,164
100.0,0,1,5721,46,143,164
0.0,0,1,3318,46,143,164
0.0,0,1,3542,46,143,164
100.0,0,1,3846,46,143,164
100.0,0,1,6727,46,143,164
100.0,0,1,6725,46,143,164
0.0,0,1,6624,46,143,164
0.0,0,1,6675,46,143,164
100.0,0,1,6585,46,143,164
0.0,0,1,6609,46,143,164
100.0,0,1,7348,46,143,164
100.0,0,1,7349,46,143,164
100.0,0,1,3882,46,143,164
100.0,0,1,2785,46,143,164
100.0,0,1,5189,46,143,164
0.0,0,1,3545,46,143,164
30.0,0,1,4508,46,143,164
100.0,0,1,6769,46,143,164
100.0,0,1,7202,46,143,164
100.0,0,1,7215,46,143,164
100.0,0,1,7216,46,143,164
100.0,0,1,7218,46,143,164
100.0,0,1,3459,46,143,164
100.0,0,1,6886,46,143,164
100.0,0,1,6885,46,143,164
100.0,0,1,6832,46,143,164
100.0,0,1,6831,46,143,164
100.0,0,1,6827,46,143,164
100.0,0,1,3331,46,143,164
100.0,0,1,3398,46,143,164
100.0,0,1,3400,46,143,164
100.0,0,1,6555,46,143,164
100.0,0,1,5560,46,143,164
100.0,0,1,5561,46,143,164
100.0,0,1,3083,46,143,164
100.0,0,1,6635,46,143,164
100.0,0,1,6627,46,143,164
100.0,0,1,6708,46,143,164
100.0,0,1,6907,46,143,164
100.0,0,1,6766,46,143,164
0.0,0,1,6991,46,143,164
100.0,0,1,7148,46,143,164
100.0,0,1,6755,46,143,164
100.0,0,1,7263,46,143,164
100.0,0,1,7264,46,143,164
100.0,0,1,6759,46,143,164
100.0,0,1,2717,46,143,164
100.0,0,1,2837,46,143,164
100.0,0,1,760,46,143,164
100.0,0,1,768,46,143,164
100.0,0,1,6841,46,143,164
100.0,0,1,12689,46,143,164
100.0,0,1,5476,46,143,164
100.0,0,1,5475,46,143,164
100.0,0,1,3017,46,143,164
100.0,0,1,6632,46,143,164
100.0,0,1,6633,46,143,164
100.0,0,1,6634,46,143,164
100.0,0,1,6657,46,143,164
100.0,0,1,6724,46,143,164
100.0,0,1,6723,46,143,164
100.0,0,1,3041,46,143,164
100.0,0,1,871,46,143,164
100.0,0,1,6676,46,143,164
100.0,0,1,6677,46,143,164
50.0,0,1,4788,46,143,164
50.0,0,1,7084,46,143,164
100.0,0,1,6856,46,143,164
100.0,0,1,7004,46,143,164
100.0,0,1,3842,46,143,164
100.0,0,1,698,46,143,164
100.0,0,1,6642,46,143,164
100.0,0,1,3049,46,143,164
100.0,0,1,6899,46,143,164
100.0,0,1,6898,46,143,164
100.0,0,1,6896,46,143,164
100.0,0,1,2801,46,143,164
100.0,0,1,6567,46,143,164
100.0,0,1,6571,46,143,164
100.0,0,1,6812,46,143,164
100.0,0,1,6811,46,143,164
100.0,0,1,6810,46,143,164
100.0,0,1,6785,46,143,164
100.0,0,1,3668,46,143,164
100.0,0,1,4213,46,143,164
100.0,0,1,7065,46,143,164
100.0,0,1,3441,46,143,164
100.0,0,1,3422,46,143,164
100.0,0,1,7089,46,143,164
100.0,0,1,7088,46,143,164
100.0,0,1,6774,46,143,164
100.0,0,1,6589,46,143,164
100.0,0,1,6865,46,143,164
100.0,0,1,2695,46,143,164
100.0,0,1,699,46,143,164
100.0,0,1,2827,46,143,164
100.0,0,1,2694,46,143,164
100.0,0,1,2718,46,143,164
100.0,0,1,6743,46,143,164
100.0,0,1,7005,46,143,164
100.0,0,1,6998,46,143,164
100.0,0,1,7085,46,143,164
100.0,0,1,7092,46,143,164
100.0,0,1,7239,46,143,164
30.0,0,1,2682,46,143,164
30.0,0,1,3066,46,143,164
100.0,0,1,6581,46,143,164
100.0,0,1,6710,46,143,164
100.0,0,1,6751,46,143,164
100.0,0,1,6752,46,143,164
100.0,0,1,6679,46,143,164
100.0,0,1,6680,46,143,164
100.0,0,1,6681,46,143,164
100.0,0,1,6556,46,143,164
100.0,0,1,2934,46,143,164
0.0,0,1,2967,46,143,164
100.0,0,1,2857,46,143,164
100.0,0,1,6654,46,143,164
100.0,0,1,6744,46,143,164
100.0,0,1,3845,46,143,164
100.0,0,1,3844,46,143,164
100.0,0,1,3843,46,143,164
100.0,0,1,3841,46,143,164
100.0,0,1,3840,46,143,164
100.0,0,1,3837,46,143,164
100.0,0,1,6840,46,143,164
100.0,0,1,4964,46,143,164
100.0,0,1,5000,46,143,164
100.0,0,1,4998,46,143,164
100.0,0,1,4997,46,143,164
100.0,0,1,4996,46,143,164
100.0,0,1,4995,46,143,164
100.0,0,1,4994,46,143,164
100.0,0,1,4993,46,143,164
100.0,0,1,6616,46,143,164
100.0,0,1,6623,46,143,164
100.0,0,1,6826,46,143,164
100.0,0,1,2918,46,143,164
100.0,0,1,4734,46,143,164
100.0,0,1,4733,46,143,164
100.0,0,1,6658,46,143,164
100.0,0,1,12691,46,143,164
100.0,0,1,700,46,143,164
100.0,0,1,6775,46,143,164
100.0,0,1,6822,46,143,164
100.0,0,1,6688,46,143,164
100.0,0,1,6783,46,143,164
100.0,0,1,6782,46,143,164
100.0,0,1,3590,46,143,164
100.0,0,1,3589,46,143,164
100.0,0,1,7052,46,143,164
100.0,0,1,6833,46,143,164
100.0,0,1,4877,46,143,164
100.0,0,1,6768,46,143,164
100.0,0,1,5620,46,143,164
100.0,0,1,5648,46,143,164
100.0,0,1,5649,46,143,164
100.0,0,1,7036,46,143,164
100.0,0,1,7035,46,143,164
100.0,0,1,7034,46,143,164
100.0,0,1,7033,46,143,164
100.0,0,1,5950,46,143,164
100.0,0,1,5413,46,143,164
100.0,0,1,6108,46,143,164
100.0,0,1,3018,46,143,164
100.0,0,1,3847,46,143,164
100.0,0,1,6570,46,143,164
100.0,0,1,6611,46,143,164
100.0,0,1,3051,46,143,164
100.0,0,1,6736,46,143,164
100.0,0,1,6733,46,143,164
100.0,0,1,3518,46,143,164
100.0,0,1,6572,46,143,164
100.0,0,1,3669,46,143,164
100.0,0,1,3667,46,143,164
100.0,0,1,3666,46,143,164
100.0,0,1,3662,46,143,164
100.0,0,1,7043,46,143,164
100.0,0,1,7042,46,143,164
100.0,0,1,7041,46,143,164
0.0,0,1,6686,46,143,164
0.0,0,1,7000,46,143,164
0.0,0,1,3757,46,143,164
100.0,0,1,6740,46,143,164
100.0,0,1,6717,46,143,164
100.0,0,1,6818,46,143,164
100.0,0,1,7078,46,143,164
100.0,0,1,7077,46,143,164
100.0,0,1,7076,46,143,164
100.0,0,1,7075,46,143,164
100.0,0,1,7074,46,143,164
100.0,0,1,6750,46,143,164
100.0,0,1,3487,46,143,164
100.0,0,1,3460,46,143,164
100.0,0,1,12688,46,143,164
100.0,0,1,7106,46,143,164
100.0,0,1,7105,46,143,164
100.0,0,1,7104,46,143,164
0.0,0,1,3053,46,143,164
0.0,0,1,3054,46,143,164
100.0,0,1,3088,46,143,164
100.0,0,1,3317,46,143,164
100.0,0,1,6835,46,143,164
100.0,0,1,6836,46,143,164
100.0,0,1,7037,46,143,164
100.0,0,1,4506,46,143,164
100.0,0,1,3052,46,143,164
100.0,0,1,3074,46,143,164
100.0,0,1,3075,46,143,164
100.0,0,1,6753,46,143,164
100.0,0,1,6742,46,143,164
100.0,0,1,6738,46,143,164
100.0,0,1,6732,46,143,164
100.0,0,1,3584,46,143,164
100.0,0,1,3895,46,143,164
100.0,0,1,4178,46,143,164
100.0,0,1,6932,46,143,164
100.0,0,1,6923,46,143,164
100.0,0,1,4735,46,143,164
100.0,0,1,4503,46,143,164
100.0,0,1,2988,46,143,164
100.0,0,1,3098,46,143,164
100.0,0,1,6748,46,143,164
100.0,0,1,6637,46,143,164
100.0,0,1,6646,46,143,164
100.0,0,1,6703,46,143,164
100.0,0,1,6867,46,143,164
100.0,0,1,6858,46,143,164
100.0,0,1,4181,46,143,164
100.0,0,1,6664,46,143,164
100.0,0,1,6592,46,143,164
100.0,0,1,4177,46,143,164
100.0,0,1,6913,46,143,164
100.0,0,1,6557,46,143,164
0.0,0,1,749,48,143,164
0.0,0,1,747,48,143,164
0.0,0,1,743,48,143,164
0.0,0,1,742,48,143,164
0.0,0,1,1766,48,143,164
0.0,0,1,1759,48,143,164
100.0,0,1,1956,48,143,164
100.0,0,1,1909,48,143,164
100.0,0,1,1589,48,143,164
100.0,0,1,1598,48,143,164
0.0,0,1,1640,48,143,164
0.0,0,1,1635,48,143,164
0.0,0,1,1634,48,143,164
100.0,0,1,7018,48,143,164
100.0,0,1,1873,48,143,164
0.0,0,1,1055,48,143,164
0.0,0,1,1054,48,143,164
0.0,0,1,856,48,143,164
0.0,0,1,838,48,143,164
0.0,0,1,836,48,143,164
0.0,0,1,772,48,143,164
0.0,0,1,757,48,143,164
0.0,0,1,1756,48,143,164
0.0,0,1,1672,48,143,164
100.0,0,1,1741,48,143,164
100.0,0,1,1996,48,143,164
100.0,0,1,1703,48,143,164
0.0,0,1,1300,48,143,164
0.0,0,1,1294,48,143,164
0.0,0,1,1295,48,143,164
0.0,0,1,1296,48,143,164
0.0,0,1,6808,48,143,164
100.0,0,1,1708,48,143,164
100.0,0,1,7159,48,143,164
100.0,0,1,6849,48,143,164
100.0,0,1,1998,48,143,164
100.0,0,1,2035,48,143,164
100.0,0,1,2034,48,143,164
100.0,0,1,1692,48,143,164
100.0,0,1,1676,48,143,164
100.0,0,1,1690,48,143,164
100.0,0,1,1693,48,143,164
100.0,0,1,1751,48,143,164
100.0,0,1,1646,48,143,164
100.0,0,1,1652,48,143,164
100.0,0,1,2157,48,143,164
100.0,0,1,1916,48,143,164
100.0,0,1,1917,48,143,164
100.0,0,1,2081,48,143,164
100.0,0,1,2082,48,143,164
100.0,0,1,1744,48,143,164
100.0,0,1,1887,48,143,164
100.0,0,1,1669,48,143,164
100.0,0,1,1650,48,143,164
100.0,0,1,6863,48,143,164
60.0,0,1,7062,48,143,164
100.0,0,1,1248,48,143,164
40.0,0,1,7303,48,143,164
0.0,0,1,1599,48,143,164
0.0,0,1,1633,48,143,164
100.0,0,1,1858,48,143,164
0.0,0,1,1600,48,143,164
100.0,0,1,1745,48,143,164
100.0,0,1,1704,48,143,164
100.0,0,1,827,48,143,164
100.0,0,1,1869,48,143,164
100.0,0,1,1872,48,143,164
0.0,0,1,1901,48,143,164
0.0,0,1,1908,48,143,164
0.0,0,1,1900,48,143,164
0.0,0,1,1899,48,143,164
0.0,0,1,1885,48,143,164
0.0,0,1,1705,48,143,164
0.0,0,1,1648,48,143,164
0.0,0,1,1643,48,143,164
100.0,0,1,910,48,143,164
100.0,0,1,1925,48,143,164
100.0,0,1,1874,48,143,164
100.0,0,1,1587,48,143,164
100.0,0,1,1886,48,143,164
100.0,0,1,1871,48,143,164
0.0,0,1,7157,48,143,164
0.0,0,1,7167,48,143,164
0.0,0,1,7170,48,143,164
0.0,0,1,7228,48,143,164
100.0,0,1,1960,48,143,164
100.0,0,1,7128,48,143,164
100.0,0,1,7283,48,143,164
100.0,0,1,1691,48,143,164
100.0,0,1,782,48,143,164
100.0,0,1,788,48,143,164
0.0,0,1,7230,48,143,164
0.0,0,1,7229,48,143,164
0.0,0,1,6862,48,143,164
100.0,0,1,1709,48,143,164
100.0,0,1,1725,48,143,164
100.0,0,1,1711,48,143,164
0.0,0,1,1073,48,143,164
0.0,0,1,1071,48,143,164
0.0,0,1,1596,48,143,164
0.0,0,1,1072,48,143,164
0.0,0,1,1075,48,143,164
100.0,0,1,6795,48,143,164
100.0,0,1,1976,48,143,164
100.0,0,1,2037,48,143,164
0.0,0,1,1074,48,143,164
100.0,0,1,1286,48,143,164
100.0,0,1,1718,48,143,164
0.0,0,1,1902,48,143,164
100.0,0,1,1897,48,143,164
100.0,0,1,6803,48,143,164
100.0,0,1,2005,48,143,164
100.0,0,1,1386,48,143,164
100.0,0,1,1392,48,143,164
100.0,0,1,1928,48,143,164
100.0,0,1,1297,48,143,164
100.0,0,1,1299,48,143,164
100.0,0,1,1997,48,143,164
100.0,0,1,1999,48,143,164
100.0,0,1,2003,48,143,164
100.0,0,1,2004,48,143,164
0.0,0,1,1912,48,143,164
70.0,0,1,7227,48,143,164
35.0,0,1,7007,48,143,164
35.0,0,1,6934,48,143,164
0.0,0,1,1651,48,143,164
100.0,0,1,1738,48,143,164
40.0,0,1,6994,48,143,164
0.0,0,1,7011,48,143,164
60.0,0,1,7012,48,143,164
0.0,0,1,7067,48,143,164
100.0,0,1,1731,48,143,164
100.0,0,1,6851,48,143,164
100.0,0,1,1076,48,143,164
100.0,0,1,7081,48,143,164
100.0,0,1,1185,48,143,164
100.0,0,1,2243,48,143,164
100.0,0,1,1800,48,143,164
0.0,0,1,1070,48,143,164
100.0,0,1,2079,48,143,164
100.0,0,1,960,48,143,164
100.0,0,1,1959,48,143,164
100.0,0,1,1958,48,143,164
100.0,0,1,1922,48,143,164
100.0,0,1,1920,48,143,164
100.0,0,1,1906,48,143,164
100.0,0,1,1867,48,143,164
100.0,0,1,1888,48,143,164
100.0,0,1,1914,48,143,164
100.0,0,1,1582,48,143,164
100.0,0,1,1907,48,143,164
100.0,0,1,1904,48,143,164
100.0,0,1,1698,48,143,164
100.0,0,1,1855,48,143,164
100.0,0,1,1856,48,143,164
100.0,0,1,6848,48,143,164
100.0,0,1,1647,48,143,164
100.0,0,1,1675,48,143,164
100.0,0,1,1583,48,143,164
100.0,0,1,2103,48,143,164
100.0,0,1,2114,48,143,164
100.0,0,1,2116,48,143,164
100.0,0,1,2117,48,143,164
100.0,0,1,2119,48,143,164
100.0,0,1,2120,48,143,164
100.0,0,1,3257,48,143,164
100.0,0,1,1712,48,143,164
100.0,0,1,1784,48,143,164
100.0,0,1,1777,48,143,164
100.0,0,1,1785,48,143,164
0.0,0,1,6844,48,143,164
100.0,0,1,1717,48,143,164
100.0,0,1,1764,48,143,164
100.0,0,1,6689,48,143,164
100.0,0,1,6692,48,143,164
100.0,0,1,6694,48,143,164
100.0,0,1,6696,48,143,164
100.0,0,1,6697,48,143,164
100.0,0,1,6698,48,143,164
100.0,0,1,6705,48,143,164
100.0,0,1,6706,48,143,164
100.0,0,1,6720,48,143,164
100.0,0,1,6721,48,143,164
100.0,0,1,6722,48,143,164
100.0,0,1,6745,48,143,164
100.0,0,1,6746,48,143,164
100.0,0,1,6756,48,143,164
0.0,0,1,1026,48,143,164
100.0,0,1,1702,48,143,164
100.0,0,1,1962,48,143,164
100.0,0,1,793,48,143,164
100.0,0,1,1428,48,143,164
100.0,0,1,6792,48,143,164
100.0,0,1,7127,48,143,164
35.0,0,1,6948,48,143,164
70.0,0,1,6995,48,143,164
100.0,0,1,1763,48,143,164
100.0,0,1,1746,48,143,164
100.0,0,1,837,48,143,164
100.0,0,1,2047,48,143,164
100.0,0,1,851,48,143,164
70.0,0,1,749,34,143,164
70.0,0,1,747,34,143,164
70.0,0,1,743,34,143,164
70.0,0,1,742,34,143,164
100.0,0,1,1913,34,143,164
100.0,0,1,1911,34,143,164
70.0,0,1,1640,34,143,164
70.0,0,1,1635,34,143,164
70.0,0,1,1634,34,143,164
70.0,0,1,1055,34,143,164
70.0,0,1,1054,34,143,164
70.0,0,1,856,34,143,164
70.0,0,1,838,34,143,164
70.0,0,1,836,34,143,164
70.0,0,1,772,34,143,164
70.0,0,1,757,34,143,164
100.0,0,1,1581,34,143,164
100.0,0,1,1653,34,143,164
100.0,0,1,1555,34,143,164
100.0,0,1,1556,34,143,164
70.0,0,1,1599,34,143,164
70.0,0,1,1633,34,143,164
100.0,0,1,3472,34,143,164
70.0,0,1,1600,34,143,164
70.0,0,1,1901,34,143,164
100.0,0,1,1908,34,143,164
70.0,0,1,1900,34,143,164
70.0,0,1,1899,34,143,164
100.0,0,1,1885,34,143,164
70.0,0,1,1705,34,143,164
70.0,0,1,1648,34,143,164
70.0,0,1,1643,34,143,164
70.0,0,1,1073,34,143,164
70.0,0,1,1071,34,143,164
70.0,0,1,1596,34,143,164
70.0,0,1,1072,34,143,164
70.0,0,1,1075,34,143,164
70.0,0,1,1074,34,143,164
100.0,0,1,1632,34,143,164
100.0,0,1,1655,34,143,164
100.0,0,1,739,34,143,164
100.0,0,1,1624,34,143,164
100.0,0,1,1902,34,143,164
100.0,0,1,1912,34,143,164
100.0,0,1,1651,34,143,164
70.0,0,1,1070,34,143,164
100.0,0,1,748,34,143,164
70.0,0,1,1639,34,143,164
0.0,0,1,1698,34,143,164
100.0,0,1,3122,34,143,164
100.0,0,1,1749,34,143,164
70.0,0,1,1636,34,143,164
70.0,0,1,745,34,143,164
70.0,0,1,1766,8,143,164
70.0,0,1,1759,8,143,164
70.0,0,1,1756,8,143,164
70.0,0,1,1672,8,143,164
100.0,0,1,1780,8,143,164
100.0,0,1,1774,8,143,164
100.0,0,1,1659,8,143,164
100.0,0,1,1661,8,143,164
100.0,0,1,2026,8,143,164
100.0,0,1,2027,8,143,164
100.0,0,1,2033,8,143,164
100.0,0,1,2032,8,143,164
100.0,0,1,2031,8,143,164
100.0,0,1,2030,8,143,164
100.0,0,1,2029,8,143,164
100.0,0,1,2028,8,143,164
100.0,0,1,2025,8,143,164
100.0,0,1,1838,8,143,164
100.0,0,1,1955,8,143,164
100.0,0,1,2174,8,143,164
100.0,0,1,1765,8,143,164
100.0,0,1,1839,8,143,164
100.0,0,1,1660,8,143,164
100.0,0,1,1663,8,143,164
100.0,0,1,1671,8,143,164
100.0,0,1,1686,8,143,164
100.0,0,1,1664,8,143,164
100.0,0,1,1657,8,143,164
100.0,0,1,1685,8,143,164
100.0,0,1,1687,8,143,164
70.0,0,1,1673,8,143,164
100.0,0,1,2172,8,143,164
100.0,0,1,2978,31,143,164
70.0,0,1,3232,31,143,164
70.0,0,1,3233,31,143,164
100.0,0,1,6599,31,143,164
100.0,0,1,6565,31,143,164
100.0,0,1,6566,31,143,164
100.0,0,1,2807,31,143,164
0.0,0,1,2939,31,143,164
100.0,0,1,2977,31,143,164
100.0,0,1,6624,31,143,164
100.0,0,1,6675,31,143,164
100.0,0,1,6586,31,143,164
100.0,0,1,6598,31,143,164
100.0,0,1,2904,31,143,164
100.0,0,1,6591,31,143,164
100.0,0,1,3059,31,143,164
100.0,0,1,6628,31,143,164
100.0,0,1,3058,31,143,164
100.0,0,1,3231,31,143,164
100.0,0,1,6538,31,143,164
100.0,0,1,6539,31,143,164
100.0,0,1,2849,31,143,164
100.0,0,1,6587,31,143,164
100.0,0,1,6617,31,143,164
100.0,0,1,6618,31,143,164
100.0,0,1,6625,31,143,164
100.0,0,1,6626,31,143,164
100.0,0,1,2917,31,143,164
100.0,0,1,3001,31,143,164
35.0,0,1,4114,31,143,164
100.0,0,1,6552,31,143,164
100.0,0,1,2929,31,143,164
0.0,0,1,2688,31,143,164
100.0,0,1,3142,31,143,164
100.0,0,1,6549,31,143,164
100.0,0,1,2736,31,143,164
100.0,0,1,2949,31,143,164
0.0,0,1,2715,31,143,164
100.0,0,1,2914,31,143,164
100.0,0,1,6588,31,143,164
100.0,0,1,6582,31,143,164
100.0,0,1,2873,31,143,164
100.0,0,1,3401,31,143,164
100.0,0,1,3544,31,143,164
100.0,0,1,3757,31,143,164
100.0,0,1,6553,31,143,164
100.0,0,1,3000,31,143,164
100.0,0,1,2782,31,143,164
100.0,0,1,2860,31,143,164
100.0,0,1,2874,31,143,164
10.0,0,1,2802,117,143,164
30.0,0,1,3232,117,143,164
30.0,0,1,3233,117,143,164
100.0,0,1,652,117,143,164
90.0,0,1,2802,111,143,164
100.0,0,1,2791,111,143,164
100.0,0,1,2792,111,143,164
100.0,0,1,2794,111,143,164
100.0,0,1,2795,111,143,164
100.0,0,1,2797,111,143,164
100.0,0,1,4575,111,143,164
100.0,0,1,4498,111,143,164
100.0,0,1,2939,111,143,164
100.0,0,1,3542,111,143,164
0.0,0,1,3846,111,143,164
100.0,0,1,3545,111,143,164
100.0,0,1,3133,111,143,164
5.0,0,1,4114,111,143,164
100.0,0,1,2940,111,143,164
100.0,0,1,2941,111,143,164
100.0,0,1,2688,111,143,164
100.0,0,1,3664,111,143,164
100.0,0,1,4365,111,143,164
0.0,0,1,2934,111,143,164
100.0,0,1,2967,111,143,164
100.0,0,1,4363,111,143,164
100.0,0,1,3598,111,143,164
0.0,0,1,2701,111,143,164
100.0,0,1,2715,111,143,164
100.0,0,1,2992,111,143,164
100.0,0,1,2993,111,143,164
100.0,0,1,3053,111,143,164
100.0,0,1,3054,111,143,164
100.0,0,1,3375,111,143,164
100.0,0,1,2964,111,143,164
100.0,0,1,3896,111,143,164
100.0,0,1,3899,111,143,164
100.0,0,1,6564,3,143,164
100.0,0,1,6579,3,143,164
100.0,0,1,4502,3,143,164
100.0,0,1,3318,3,143,164
0.0,0,1,6585,3,143,164
100.0,0,1,6609,3,143,164
100.0,0,1,2871,3,143,164
100.0,0,1,6563,3,143,164
100.0,0,1,2720,3,143,164
100.0,0,1,6991,3,143,164
100.0,0,1,6562,3,143,164
25.0,0,1,4788,3,143,164
25.0,0,1,7084,3,143,164
0.0,0,1,6581,3,143,164
0.0,0,1,6710,3,143,164
0.0,0,1,6751,3,143,164
0.0,0,1,6752,3,143,164
100.0,0,1,2933,3,143,164
100.0,0,1,2932,3,143,164
100.0,0,1,6686,3,143,164
100.0,0,1,7000,3,143,164
0.0,0,1,3088,3,143,164
100.0,0,1,12683,12,143,164
100.0,0,1,12684,12,143,164
100.0,0,1,12681,12,143,164
100.0,0,1,684,12,143,164
100.0,0,1,691,12,143,164
100.0,0,1,701,12,143,164
100.0,0,1,672,12,143,164
100.0,0,1,12687,12,143,164
100.0,0,1,673,12,143,164
100.0,0,1,590,40,143,164
100.0,0,1,604,40,143,164
100.0,0,1,597,40,143,164
100.0,0,1,599,40,143,164
100.0,0,1,588,40,143,164
20.0,0,1,589,40,143,164
10.0,0,1,595,40,143,164
100.0,0,1,591,40,143,164
90.0,0,1,602,40,143,164
100.0,0,1,2700,118,143,164
100.0,0,1,2719,118,143,164
100.0,0,1,2723,118,143,164
100.0,0,1,3103,118,143,164
100.0,0,1,3034,118,143,164
100.0,0,1,2931,118,143,164
100.0,0,1,2674,118,143,164
100.0,0,1,2879,118,143,164
70.0,0,1,4508,27,143,164
70.0,0,1,2682,27,143,164
70.0,0,1,3066,27,143,164
100.0,0,1,2701,27,143,164
60.0,0,1,4114,50,143,164
100.0,0,1,7409,50,143,164
100.0,0,1,7411,50,143,164
100.0,0,1,7416,50,143,164
25.0,0,1,4788,84,143,164
25.0,0,1,7084,84,143,164
