alter_cost,multiplier,priority_col,type,assembly,item_code1,item_code2,period,plant
0.0,1,1,interchange,,2939,2939,87,111
0.0,1,1,interchange,,2940,2940,87,111
0.0,1,1,interchange,,2795,2795,87,111
0.0,1,1,interchange,,2792,2792,87,111
0.0,1,1,interchange,,2794,2794,87,111
-1.0,1,2,alternate,3375,11081,11092,87,111
-1.0,1,2,alternate,3545,11435,11438,87,111
-1.0,1,2,alternate,4114,9960,12659,87,111
0.0,1,1,interchange,,2939,2939,88,111
0.0,1,1,interchange,,2940,2940,88,111
0.0,1,1,interchange,,2795,2795,88,111
0.0,1,1,interchange,,2792,2792,88,111
0.0,1,1,interchange,,2794,2794,88,111
-1.0,1,2,alternate,3375,11081,11092,88,111
-1.0,1,2,alternate,3545,11435,11438,88,111
-1.0,1,2,alternate,4114,9960,12659,88,111
0.0,1,1,interchange,,2939,2939,89,111
0.0,1,1,interchange,,2940,2940,89,111
0.0,1,1,interchange,,2795,2795,89,111
0.0,1,1,interchange,,2792,2792,89,111
0.0,1,1,interchange,,2794,2794,89,111
-1.0,1,2,alternate,3375,11081,11092,89,111
-1.0,1,2,alternate,3545,11435,11438,89,111
-1.0,1,2,alternate,4114,9960,12659,89,111
0.0,1,1,interchange,,2939,2939,90,111
0.0,1,1,interchange,,2940,2940,90,111
0.0,1,1,interchange,,2795,2795,90,111
0.0,1,1,interchange,,2792,2792,90,111
0.0,1,1,interchange,,2794,2794,90,111
-1.0,1,2,alternate,3375,11081,11092,90,111
-1.0,1,2,alternate,3545,11435,11438,90,111
-1.0,1,2,alternate,4114,9960,12659,90,111
0.0,1,1,interchange,,2939,2939,91,111
0.0,1,1,interchange,,2940,2940,91,111
0.0,1,1,interchange,,2795,2795,91,111
0.0,1,1,interchange,,2792,2792,91,111
0.0,1,1,interchange,,2794,2794,91,111
-1.0,1,2,alternate,3375,11081,11092,91,111
-1.0,1,2,alternate,3545,11435,11438,91,111
-1.0,1,2,alternate,4114,9960,12659,91,111
0.0,1,1,interchange,,2939,2939,92,111
0.0,1,1,interchange,,2940,2940,92,111
0.0,1,1,interchange,,2795,2795,92,111
0.0,1,1,interchange,,2792,2792,92,111
0.0,1,1,interchange,,2794,2794,92,111
-1.0,1,2,alternate,3375,11081,11092,92,111
-1.0,1,2,alternate,3545,11435,11438,92,111
-1.0,1,2,alternate,4114,9960,12659,92,111
0.0,1,1,interchange,,2939,2939,93,111
0.0,1,1,interchange,,2940,2940,93,111
0.0,1,1,interchange,,2795,2795,93,111
0.0,1,1,interchange,,2792,2792,93,111
0.0,1,1,interchange,,2794,2794,93,111
-1.0,1,2,alternate,3375,11081,11092,93,111
-1.0,1,2,alternate,3545,11435,11438,93,111
-1.0,1,2,alternate,4114,9960,12659,93,111
0.0,1,1,interchange,,2939,2939,94,111
0.0,1,1,interchange,,2940,2940,94,111
0.0,1,1,interchange,,2795,2795,94,111
0.0,1,1,interchange,,2792,2792,94,111
0.0,1,1,interchange,,2794,2794,94,111
-1.0,1,2,alternate,3375,11081,11092,94,111
-1.0,1,2,alternate,3545,11435,11438,94,111
-1.0,1,2,alternate,4114,9960,12659,94,111
0.0,1,1,interchange,,2939,2939,95,111
0.0,1,1,interchange,,2940,2940,95,111
0.0,1,1,interchange,,2795,2795,95,111
0.0,1,1,interchange,,2792,2792,95,111
0.0,1,1,interchange,,2794,2794,95,111
-1.0,1,2,alternate,3375,11081,11092,95,111
-1.0,1,2,alternate,3545,11435,11438,95,111
-1.0,1,2,alternate,4114,9960,12659,95,111
0.0,1,1,interchange,,2939,2939,96,111
0.0,1,1,interchange,,2940,2940,96,111
0.0,1,1,interchange,,2795,2795,96,111
0.0,1,1,interchange,,2792,2792,96,111
0.0,1,1,interchange,,2794,2794,96,111
-1.0,1,2,alternate,3375,11081,11092,96,111
-1.0,1,2,alternate,3545,11435,11438,96,111
-1.0,1,2,alternate,4114,9960,12659,96,111
0.0,1,1,interchange,,2939,2939,97,111
0.0,1,1,interchange,,2940,2940,97,111
0.0,1,1,interchange,,2795,2795,97,111
0.0,1,1,interchange,,2792,2792,97,111
0.0,1,1,interchange,,2794,2794,97,111
-1.0,1,2,alternate,3375,11081,11092,97,111
-1.0,1,2,alternate,3545,11435,11438,97,111
-1.0,1,2,alternate,4114,9960,12659,97,111
0.0,1,1,interchange,,2939,2939,98,111
0.0,1,1,interchange,,2940,2940,98,111
0.0,1,1,interchange,,2795,2795,98,111
0.0,1,1,interchange,,2792,2792,98,111
0.0,1,1,interchange,,2794,2794,98,111
-1.0,1,2,alternate,3375,11081,11092,98,111
-1.0,1,2,alternate,3545,11435,11438,98,111
-1.0,1,2,alternate,4114,9960,12659,98,111
0.0,1,1,interchange,,2939,2939,99,111
0.0,1,1,interchange,,2940,2940,99,111
0.0,1,1,interchange,,2795,2795,99,111
0.0,1,1,interchange,,2792,2792,99,111
0.0,1,1,interchange,,2794,2794,99,111
-1.0,1,2,alternate,3375,11081,11092,99,111
-1.0,1,2,alternate,3545,11435,11438,99,111
-1.0,1,2,alternate,4114,9960,12659,99,111
0.0,1,1,interchange,,2939,2939,100,111
0.0,1,1,interchange,,2940,2940,100,111
0.0,1,1,interchange,,2795,2795,100,111
0.0,1,1,interchange,,2792,2792,100,111
0.0,1,1,interchange,,2794,2794,100,111
-1.0,1,2,alternate,3375,11081,11092,100,111
-1.0,1,2,alternate,3545,11435,11438,100,111
-1.0,1,2,alternate,4114,9960,12659,100,111
0.0,1,1,interchange,,2939,2939,101,111
0.0,1,1,interchange,,2940,2940,101,111
0.0,1,1,interchange,,2795,2795,101,111
0.0,1,1,interchange,,2792,2792,101,111
0.0,1,1,interchange,,2794,2794,101,111
-1.0,1,2,alternate,3375,11081,11092,101,111
-1.0,1,2,alternate,3545,11435,11438,101,111
-1.0,1,2,alternate,4114,9960,12659,101,111
0.0,1,1,interchange,,2939,2939,108,111
0.0,1,1,interchange,,2940,2940,108,111
0.0,1,1,interchange,,2795,2795,108,111
0.0,1,1,interchange,,2792,2792,108,111
0.0,1,1,interchange,,2794,2794,108,111
-1.0,1,2,alternate,3375,11081,11092,108,111
-1.0,1,2,alternate,3545,11435,11438,108,111
-1.0,1,2,alternate,4114,9960,12659,108,111
0.0,1,1,interchange,,2939,2939,115,111
0.0,1,1,interchange,,2940,2940,115,111
0.0,1,1,interchange,,2795,2795,115,111
0.0,1,1,interchange,,2792,2792,115,111
0.0,1,1,interchange,,2794,2794,115,111
-1.0,1,2,alternate,3375,11081,11092,115,111
-1.0,1,2,alternate,3545,11435,11438,115,111
-1.0,1,2,alternate,4114,9960,12659,115,111
0.0,1,1,interchange,,2939,2939,122,111
0.0,1,1,interchange,,2940,2940,122,111
0.0,1,1,interchange,,2795,2795,122,111
0.0,1,1,interchange,,2792,2792,122,111
0.0,1,1,interchange,,2794,2794,122,111
-1.0,1,2,alternate,3375,11081,11092,122,111
-1.0,1,2,alternate,3545,11435,11438,122,111
-1.0,1,2,alternate,4114,9960,12659,122,111
0.0,1,1,interchange,,2939,2939,129,111
0.0,1,1,interchange,,2940,2940,129,111
0.0,1,1,interchange,,2795,2795,129,111
0.0,1,1,interchange,,2792,2792,129,111
0.0,1,1,interchange,,2794,2794,129,111
-1.0,1,2,alternate,3375,11081,11092,129,111
-1.0,1,2,alternate,3545,11435,11438,129,111
-1.0,1,2,alternate,4114,9960,12659,129,111
0.0,1,1,interchange,,2939,2939,136,111
0.0,1,1,interchange,,2940,2940,136,111
0.0,1,1,interchange,,2795,2795,136,111
0.0,1,1,interchange,,2792,2792,136,111
0.0,1,1,interchange,,2794,2794,136,111
-1.0,1,2,alternate,3375,11081,11092,136,111
-1.0,1,2,alternate,3545,11435,11438,136,111
-1.0,1,2,alternate,4114,9960,12659,136,111
0.0,1,1,interchange,,2939,2939,143,111
0.0,1,1,interchange,,2940,2940,143,111
0.0,1,1,interchange,,2795,2795,143,111
0.0,1,1,interchange,,2792,2792,143,111
0.0,1,1,interchange,,2794,2794,143,111
-1.0,1,2,alternate,3375,11081,11092,143,111
-1.0,1,2,alternate,3545,11435,11438,143,111
-1.0,1,2,alternate,4114,9960,12659,143,111
0.0,1,1,interchange,,2939,2939,150,111
0.0,1,1,interchange,,2940,2940,150,111
0.0,1,1,interchange,,2795,2795,150,111
0.0,1,1,interchange,,2792,2792,150,111
0.0,1,1,interchange,,2794,2794,150,111
-1.0,1,2,alternate,3545,11435,11438,150,111
0.0,1,1,interchange,,2939,2939,157,111
0.0,1,1,interchange,,2940,2940,157,111
0.0,1,1,interchange,,2795,2795,157,111
0.0,1,1,interchange,,2792,2792,157,111
0.0,1,1,interchange,,2794,2794,157,111
-1.0,1,2,alternate,3545,11435,11438,157,111
0.0,1,1,interchange,,2939,2939,164,111
0.0,1,1,interchange,,2940,2940,164,111
0.0,1,1,interchange,,2795,2795,164,111
0.0,1,1,interchange,,2792,2792,164,111
0.0,1,1,interchange,,2794,2794,164,111
0.0,1,1,interchange,,2939,2939,171,111
0.0,1,1,interchange,,2940,2940,171,111
0.0,1,1,interchange,,2795,2795,171,111
0.0,1,1,interchange,,2792,2792,171,111
0.0,1,1,interchange,,2794,2794,171,111
0.0,1,1,interchange,,2939,2939,72,3
0.0,1,1,alternate,3050,2939,2939,72,3
0.0,1,1,alternate,3051,2939,2939,72,3
0.0,1,1,alternate,3318,2939,2939,72,3
0.0,1,1,alternate,3491,2939,2939,72,3
0.0,1,1,alternate,3492,2939,2939,72,3
0.0,1,1,alternate,6634,2939,2939,72,3
0.0,1,1,alternate,6710,2939,2939,72,3
0.0,1,1,alternate,6751,2939,2939,72,3
0.0,1,1,alternate,6752,2939,2939,72,3
0.0,1,1,interchange,,2940,2940,72,3
0.0,1,1,interchange,,2795,2795,72,3
0.0,1,1,alternate,3088,2795,2795,72,3
0.0,1,1,interchange,,2792,2792,72,3
0.0,1,1,alternate,3088,2792,2792,72,3
0.0,1,1,interchange,,2794,2794,72,3
0.0,1,1,alternate,3088,2794,2794,72,3
0.0,1,1,interchange,,3232,3232,72,3
-1.0,1,2,alternate,3088,9797,9798,72,3
-1.0,1,2,alternate,2871,11151,11152,72,3
-1.0,1,2,alternate,3318,11151,11180,72,3
-1.0,1,2,alternate,3318,9174,9175,72,3
-1.0,1,2,alternate,4502,9174,9175,72,3
-1.0,1,2,alternate,2916,11078,12663,72,3
-1.0,1,2,alternate,6585,11078,12663,72,3
5.0,1,1,alternate,2916,602,591,72,3
5.0,1,1,alternate,4502,602,591,72,3
5.0,1,1,alternate,6585,602,591,72,3
5.0,1,1,alternate,2915,602,591,72,3
5.0,1,1,alternate,2987,602,591,72,3
5.0,1,1,alternate,6581,602,591,72,3
5.0,1,1,alternate,6609,602,591,72,3
-1.0,1,2,alternate,4788,599,603,72,3
-1.0,1,2,alternate,3318,11167,11176,72,3
-1.0,1,2,alternate,3050,8957,8703,72,3
-1.0,1,2,alternate,3051,8957,8703,72,3
-1.0,1,2,alternate,6634,8957,8703,72,3
-1.0,1,2,alternate,6710,8957,8703,72,3
-1.0,1,2,alternate,3050,11169,11179,72,3
-1.0,1,2,alternate,3051,11169,11179,72,3
-1.0,1,2,alternate,3491,11169,11179,72,3
-1.0,1,2,alternate,3492,11169,11179,72,3
-1.0,1,2,alternate,6634,11169,11179,72,3
-1.0,1,2,alternate,6710,11169,11179,72,3
-1.0,1,2,alternate,6751,11169,11179,72,3
-1.0,1,2,alternate,6752,11169,11179,72,3
-1.0,1,2,alternate,4502,11435,11438,72,3
-1.0,1,2,alternate,4788,7887,7886,72,3
-1.0,1,2,alternate,4788,9095,9045,72,3
-1.0,1,2,alternate,4788,11736,11738,72,3
5.0,1,1,alternate,6585,10418,10150,72,3
0.0,1,1,interchange,,2939,2939,73,3
0.0,1,1,alternate,3050,2939,2939,73,3
0.0,1,1,alternate,3051,2939,2939,73,3
0.0,1,1,alternate,3318,2939,2939,73,3
0.0,1,1,alternate,3491,2939,2939,73,3
0.0,1,1,alternate,3492,2939,2939,73,3
0.0,1,1,alternate,6634,2939,2939,73,3
0.0,1,1,alternate,6710,2939,2939,73,3
0.0,1,1,alternate,6751,2939,2939,73,3
0.0,1,1,alternate,6752,2939,2939,73,3
0.0,1,1,interchange,,2940,2940,73,3
0.0,1,1,interchange,,2795,2795,73,3
0.0,1,1,alternate,3088,2795,2795,73,3
0.0,1,1,interchange,,2792,2792,73,3
0.0,1,1,alternate,3088,2792,2792,73,3
0.0,1,1,interchange,,2794,2794,73,3
0.0,1,1,alternate,3088,2794,2794,73,3
0.0,1,1,interchange,,3232,3232,73,3
-1.0,1,2,alternate,3088,9797,9798,73,3
-1.0,1,2,alternate,2871,11151,11152,73,3
-1.0,1,2,alternate,3318,9174,9175,73,3
-1.0,1,2,alternate,4502,9174,9175,73,3
-1.0,1,2,alternate,2916,11078,12663,73,3
-1.0,1,2,alternate,6585,11078,12663,73,3
5.0,1,1,alternate,2916,602,591,73,3
5.0,1,1,alternate,4502,602,591,73,3
5.0,1,1,alternate,6585,602,591,73,3
5.0,1,1,alternate,2915,602,591,73,3
5.0,1,1,alternate,2987,602,591,73,3
5.0,1,1,alternate,6581,602,591,73,3
5.0,1,1,alternate,6609,602,591,73,3
-1.0,1,2,alternate,4788,599,603,73,3
-1.0,1,2,alternate,3318,11167,11176,73,3
-1.0,1,2,alternate,3050,8957,8703,73,3
-1.0,1,2,alternate,3051,8957,8703,73,3
-1.0,1,2,alternate,6634,8957,8703,73,3
-1.0,1,2,alternate,6710,8957,8703,73,3
-1.0,1,2,alternate,3050,11169,11179,73,3
-1.0,1,2,alternate,3051,11169,11179,73,3
-1.0,1,2,alternate,3491,11169,11179,73,3
-1.0,1,2,alternate,3492,11169,11179,73,3
-1.0,1,2,alternate,6634,11169,11179,73,3
-1.0,1,2,alternate,6710,11169,11179,73,3
-1.0,1,2,alternate,6751,11169,11179,73,3
-1.0,1,2,alternate,6752,11169,11179,73,3
-1.0,1,2,alternate,4502,11435,11438,73,3
-1.0,1,2,alternate,4788,7887,7886,73,3
-1.0,1,2,alternate,4788,9095,9045,73,3
-1.0,1,2,alternate,4788,11736,11738,73,3
5.0,1,1,alternate,6585,10418,10150,73,3
0.0,1,1,interchange,,2939,2939,74,3
0.0,1,1,alternate,3050,2939,2939,74,3
0.0,1,1,alternate,3051,2939,2939,74,3
0.0,1,1,alternate,3318,2939,2939,74,3
0.0,1,1,alternate,3491,2939,2939,74,3
0.0,1,1,alternate,3492,2939,2939,74,3
0.0,1,1,alternate,6634,2939,2939,74,3
0.0,1,1,alternate,6710,2939,2939,74,3
0.0,1,1,alternate,6751,2939,2939,74,3
0.0,1,1,alternate,6752,2939,2939,74,3
0.0,1,1,interchange,,2940,2940,74,3
0.0,1,1,interchange,,2795,2795,74,3
0.0,1,1,alternate,3088,2795,2795,74,3
0.0,1,1,interchange,,2792,2792,74,3
0.0,1,1,alternate,3088,2792,2792,74,3
0.0,1,1,interchange,,2794,2794,74,3
0.0,1,1,alternate,3088,2794,2794,74,3
0.0,1,1,interchange,,3232,3232,74,3
-1.0,1,2,alternate,3088,9797,9798,74,3
-1.0,1,2,alternate,2871,11151,11152,74,3
-1.0,1,2,alternate,3318,9174,9175,74,3
-1.0,1,2,alternate,4502,9174,9175,74,3
-1.0,1,2,alternate,2916,11078,12663,74,3
-1.0,1,2,alternate,6585,11078,12663,74,3
5.0,1,1,alternate,2916,602,591,74,3
5.0,1,1,alternate,4502,602,591,74,3
5.0,1,1,alternate,6585,602,591,74,3
5.0,1,1,alternate,2915,602,591,74,3
5.0,1,1,alternate,2987,602,591,74,3
5.0,1,1,alternate,6581,602,591,74,3
5.0,1,1,alternate,6609,602,591,74,3
-1.0,1,2,alternate,4788,599,603,74,3
-1.0,1,2,alternate,3318,11167,11176,74,3
-1.0,1,2,alternate,3050,8957,8703,74,3
-1.0,1,2,alternate,3051,8957,8703,74,3
-1.0,1,2,alternate,6634,8957,8703,74,3
-1.0,1,2,alternate,6710,8957,8703,74,3
-1.0,1,2,alternate,3050,11169,11179,74,3
-1.0,1,2,alternate,3051,11169,11179,74,3
-1.0,1,2,alternate,3491,11169,11179,74,3
-1.0,1,2,alternate,3492,11169,11179,74,3
-1.0,1,2,alternate,6634,11169,11179,74,3
-1.0,1,2,alternate,6710,11169,11179,74,3
-1.0,1,2,alternate,6751,11169,11179,74,3
-1.0,1,2,alternate,6752,11169,11179,74,3
-1.0,1,2,alternate,4502,11435,11438,74,3
-1.0,1,2,alternate,4788,7887,7886,74,3
-1.0,1,2,alternate,4788,9095,9045,74,3
5.0,1,1,alternate,6585,10418,10150,74,3
0.0,1,1,interchange,,2939,2939,75,3
0.0,1,1,alternate,3050,2939,2939,75,3
0.0,1,1,alternate,3051,2939,2939,75,3
0.0,1,1,alternate,3318,2939,2939,75,3
0.0,1,1,alternate,3491,2939,2939,75,3
0.0,1,1,alternate,3492,2939,2939,75,3
0.0,1,1,alternate,6634,2939,2939,75,3
0.0,1,1,alternate,6710,2939,2939,75,3
0.0,1,1,alternate,6751,2939,2939,75,3
0.0,1,1,alternate,6752,2939,2939,75,3
0.0,1,1,interchange,,2940,2940,75,3
0.0,1,1,interchange,,2795,2795,75,3
0.0,1,1,alternate,3088,2795,2795,75,3
0.0,1,1,interchange,,2792,2792,75,3
0.0,1,1,alternate,3088,2792,2792,75,3
0.0,1,1,interchange,,2794,2794,75,3
0.0,1,1,alternate,3088,2794,2794,75,3
0.0,1,1,interchange,,3232,3232,75,3
-1.0,1,2,alternate,3088,9797,9798,75,3
-1.0,1,2,alternate,2871,11151,11152,75,3
-1.0,1,2,alternate,3318,9174,9175,75,3
-1.0,1,2,alternate,4502,9174,9175,75,3
-1.0,1,2,alternate,2916,11078,12663,75,3
-1.0,1,2,alternate,6585,11078,12663,75,3
5.0,1,1,alternate,2916,602,591,75,3
5.0,1,1,alternate,4502,602,591,75,3
5.0,1,1,alternate,6585,602,591,75,3
5.0,1,1,alternate,2915,602,591,75,3
5.0,1,1,alternate,2987,602,591,75,3
5.0,1,1,alternate,6581,602,591,75,3
5.0,1,1,alternate,6609,602,591,75,3
-1.0,1,2,alternate,4788,599,603,75,3
-1.0,1,2,alternate,3318,11167,11176,75,3
-1.0,1,2,alternate,3050,8957,8703,75,3
-1.0,1,2,alternate,3051,8957,8703,75,3
-1.0,1,2,alternate,6634,8957,8703,75,3
-1.0,1,2,alternate,6710,8957,8703,75,3
-1.0,1,2,alternate,3050,11169,11179,75,3
-1.0,1,2,alternate,3051,11169,11179,75,3
-1.0,1,2,alternate,3491,11169,11179,75,3
-1.0,1,2,alternate,3492,11169,11179,75,3
-1.0,1,2,alternate,6634,11169,11179,75,3
-1.0,1,2,alternate,6710,11169,11179,75,3
-1.0,1,2,alternate,6751,11169,11179,75,3
-1.0,1,2,alternate,6752,11169,11179,75,3
-1.0,1,2,alternate,4502,11435,11438,75,3
-1.0,1,2,alternate,4788,7887,7886,75,3
-1.0,1,2,alternate,4788,9095,9045,75,3
5.0,1,1,alternate,6585,10418,10150,75,3
0.0,1,1,interchange,,2939,2939,76,3
0.0,1,1,alternate,3050,2939,2939,76,3
0.0,1,1,alternate,3051,2939,2939,76,3
0.0,1,1,alternate,3318,2939,2939,76,3
0.0,1,1,alternate,3491,2939,2939,76,3
0.0,1,1,alternate,3492,2939,2939,76,3
0.0,1,1,alternate,6634,2939,2939,76,3
0.0,1,1,alternate,6710,2939,2939,76,3
0.0,1,1,alternate,6751,2939,2939,76,3
0.0,1,1,alternate,6752,2939,2939,76,3
0.0,1,1,interchange,,2940,2940,76,3
0.0,1,1,interchange,,2795,2795,76,3
0.0,1,1,alternate,3088,2795,2795,76,3
0.0,1,1,interchange,,2792,2792,76,3
0.0,1,1,alternate,3088,2792,2792,76,3
0.0,1,1,interchange,,2794,2794,76,3
0.0,1,1,alternate,3088,2794,2794,76,3
0.0,1,1,interchange,,3232,3232,76,3
-1.0,1,2,alternate,3088,9797,9798,76,3
-1.0,1,2,alternate,2871,11151,11152,76,3
-1.0,1,2,alternate,3318,9174,9175,76,3
-1.0,1,2,alternate,4502,9174,9175,76,3
-1.0,1,2,alternate,2916,11078,12663,76,3
-1.0,1,2,alternate,6585,11078,12663,76,3
5.0,1,1,alternate,2916,602,591,76,3
5.0,1,1,alternate,4502,602,591,76,3
5.0,1,1,alternate,6585,602,591,76,3
5.0,1,1,alternate,2915,602,591,76,3
5.0,1,1,alternate,2987,602,591,76,3
5.0,1,1,alternate,6581,602,591,76,3
5.0,1,1,alternate,6609,602,591,76,3
-1.0,1,2,alternate,4788,599,603,76,3
-1.0,1,2,alternate,3318,11167,11176,76,3
-1.0,1,2,alternate,3050,8957,8703,76,3
-1.0,1,2,alternate,3051,8957,8703,76,3
-1.0,1,2,alternate,6634,8957,8703,76,3
-1.0,1,2,alternate,6710,8957,8703,76,3
-1.0,1,2,alternate,3050,11169,11179,76,3
-1.0,1,2,alternate,3051,11169,11179,76,3
-1.0,1,2,alternate,3491,11169,11179,76,3
-1.0,1,2,alternate,3492,11169,11179,76,3
-1.0,1,2,alternate,6634,11169,11179,76,3
-1.0,1,2,alternate,6710,11169,11179,76,3
-1.0,1,2,alternate,6751,11169,11179,76,3
-1.0,1,2,alternate,6752,11169,11179,76,3
-1.0,1,2,alternate,4502,11435,11438,76,3
-1.0,1,2,alternate,4788,7887,7886,76,3
-1.0,1,2,alternate,4788,9095,9045,76,3
5.0,1,1,alternate,6585,10418,10150,76,3
0.0,1,1,interchange,,2939,2939,77,3
