line,shift,i_shift,capacity_type,work_day,max_capacity,set,period,plant
,1.0,1,Pcs,1.0,60.0,76,75,46
,1.0,1,Pcs,1.0,500.0,77,75,46
,1.0,1,Pcs,1.0,45.0,78,75,46
,1.0,1,Pcs,1.0,30.0,79,75,46
,1.0,1,Pcs,1.0,500.0,80,75,46
,1.0,1,Pcs,1.0,80.0,82,75,46
,1.0,1,Pcs,1.0,15.0,83,75,46
,1.0,1,Pcs,1.0,500.0,84,75,46
,1.0,1,Pcs,1.0,300.0,89,75,46
,1.0,1,Pcs,1.0,500.0,90,75,46
,1.0,1,Pcs,1.0,120.0,91,75,46
,1.0,1,Pcs,1.0,500.0,92,75,46
,1.0,1,Pcs,1.0,100.0,93,75,46
,1.0,1,Pcs,1.0,475.0,94,75,46
,1.0,1,Pcs,1.0,125.0,95,75,46
,1.0,1,Pcs,1.0,500.0,97,75,46
,1.0,1,Pcs,1.0,0.0,98,75,46
,1.0,1,Pcs,1.0,100.0,101,75,46
,1.0,1,Pcs,1.0,500.0,102,75,46
,1.0,1,Pcs,1.0,65.0,104,75,46
,1.0,1,Pcs,1.0,80.0,106,75,46
,1.0,1,Pcs,1.0,400.0,111,75,46
,1.0,1,Pcs,1.0,194.0,114,75,46
,1.0,1,Pcs,1.0,335.0,119,75,46
,1.0,1,Pcs,1.0,500.0,123,75,46
,1.0,1,Pcs,1.0,50.0,124,75,46
,1.0,1,Pcs,1.0,59.0,170,75,46
,1.0,1,Pcs,1.0,135.0,171,75,46
,1.0,1,Point,1.0,42801747.0,176,75,46
,1.0,1,Point,1.0,13801747.0,179,75,46
,1.0,1,Pcs,1.0,400.0,203,75,46
,1.0,1,Pcs,1.0,800.0,0,76,46
,1.0,1,Pcs,1.0,50.0,20,76,46
,1.0,1,Pcs,1.0,200.0,22,76,46
,1.0,1,Pcs,1.0,150.0,29,76,46
,1.0,1,Pcs,1.0,2240.0,36,76,46
,1.0,1,Pcs,1.0,80.0,37,76,46
,1.0,1,Pcs,1.0,200.0,39,76,46
,1.0,1,Pcs,1.0,30.0,40,76,46
,1.0,1,Pcs,1.0,200.0,41,76,46
,1.0,1,Pcs,1.0,30.0,42,76,46
,1.0,1,Pcs,1.0,500.0,43,76,46
,1.0,1,Pcs,1.0,50.0,45,76,46
,1.0,1,Pcs,1.0,500.0,47,76,46
,1.0,1,Pcs,1.0,200.0,48,76,46
,1.0,1,Pcs,1.0,450.0,49,76,46
,1.0,1,Pcs,1.0,35.0,50,76,46
,1.0,1,Pcs,1.0,100.0,51,76,46
,1.0,1,Pcs,1.0,100.0,52,76,46
,1.0,1,Pcs,1.0,50.0,54,76,46
,1.0,1,Pcs,1.0,4.0,59,76,46
,1.0,1,Pcs,1.0,190.0,63,76,46
,1.0,1,Pcs,1.0,500.0,64,76,46
,1.0,1,Pcs,1.0,400.0,66,76,46
,1.0,1,Pcs,1.0,450.0,69,76,46
,1.0,1,Pcs,1.0,500.0,70,76,46
,1.0,1,Pcs,1.0,80.0,71,76,46
,1.0,1,Pcs,1.0,500.0,72,76,46
,1.0,1,Pcs,1.0,80.0,73,76,46
,1.0,1,Pcs,1.0,477.0,74,76,46
,1.0,1,Pcs,1.0,90.0,75,76,46
,1.0,1,Pcs,1.0,60.0,76,76,46
,1.0,1,Pcs,1.0,500.0,77,76,46
,1.0,1,Pcs,1.0,45.0,78,76,46
,1.0,1,Pcs,1.0,30.0,79,76,46
,1.0,1,Pcs,1.0,500.0,80,76,46
,1.0,1,Pcs,1.0,80.0,82,76,46
,1.0,1,Pcs,1.0,15.0,83,76,46
,1.0,1,Pcs,1.0,500.0,84,76,46
,1.0,1,Pcs,1.0,300.0,89,76,46
,1.0,1,Pcs,1.0,500.0,90,76,46
,1.0,1,Pcs,1.0,120.0,91,76,46
,1.0,1,Pcs,1.0,500.0,92,76,46
,1.0,1,Pcs,1.0,100.0,93,76,46
,1.0,1,Pcs,1.0,480.0,94,76,46
,1.0,1,Pcs,1.0,140.0,95,76,46
,1.0,1,Pcs,1.0,500.0,97,76,46
,1.0,1,Pcs,1.0,62.0,98,76,46
,1.0,1,Pcs,1.0,100.0,101,76,46
,1.0,1,Pcs,1.0,500.0,102,76,46
,1.0,1,Pcs,1.0,65.0,104,76,46
,1.0,1,Pcs,1.0,80.0,106,76,46
,1.0,1,Pcs,1.0,400.0,111,76,46
,1.0,1,Pcs,1.0,200.0,114,76,46
,1.0,1,Pcs,1.0,438.0,119,76,46
,1.0,1,Pcs,1.0,500.0,123,76,46
,1.0,1,Pcs,1.0,50.0,124,76,46
,1.0,1,Pcs,1.0,246.0,170,76,46
,1.0,1,Pcs,1.0,150.0,171,76,46
,1.0,1,Point,1.0,43466164.0,176,76,46
,1.0,1,Point,1.0,14466164.0,179,76,46
,1.0,1,Pcs,1.0,400.0,203,76,46
,1.0,1,Pcs,1.0,800.0,0,77,46
,1.0,1,Pcs,1.0,50.0,20,77,46
,1.0,1,Pcs,1.0,200.0,22,77,46
,1.0,1,Pcs,1.0,150.0,29,77,46
,1.0,1,Pcs,1.0,3500.0,36,77,46
,1.0,1,Pcs,1.0,80.0,37,77,46
,1.0,1,Pcs,1.0,200.0,39,77,46
,1.0,1,Pcs,1.0,30.0,40,77,46
,1.0,1,Pcs,1.0,200.0,41,77,46
,1.0,1,Pcs,1.0,30.0,42,77,46
,1.0,1,Pcs,1.0,500.0,43,77,46
,1.0,1,Pcs,1.0,50.0,45,77,46
,1.0,1,Pcs,1.0,500.0,47,77,46
,1.0,1,Pcs,1.0,200.0,48,77,46
,1.0,1,Pcs,1.0,500.0,49,77,46
,1.0,1,Pcs,1.0,35.0,50,77,46
,1.0,1,Pcs,1.0,100.0,51,77,46
,1.0,1,Pcs,1.0,100.0,52,77,46
,1.0,1,Pcs,1.0,50.0,54,77,46
,1.0,1,Pcs,1.0,100.0,59,77,46
,1.0,1,Pcs,1.0,217.0,63,77,46
,1.0,1,Pcs,1.0,500.0,64,77,46
,1.0,1,Pcs,1.0,400.0,66,77,46
,1.0,1,Pcs,1.0,500.0,69,77,46
,1.0,1,Pcs,1.0,500.0,70,77,46
,1.0,1,Pcs,1.0,80.0,71,77,46
,1.0,1,Pcs,1.0,500.0,72,77,46
,1.0,1,Pcs,1.0,80.0,73,77,46
,1.0,1,Pcs,1.0,480.0,74,77,46
,1.0,1,Pcs,1.0,69.0,75,77,46
,1.0,1,Pcs,1.0,60.0,76,77,46
,1.0,1,Pcs,1.0,500.0,77,77,46
,1.0,1,Pcs,1.0,45.0,78,77,46
,1.0,1,Pcs,1.0,30.0,79,77,46
,1.0,1,Pcs,1.0,500.0,80,77,46
,1.0,1,Pcs,1.0,50.0,82,77,46
,1.0,1,Pcs,1.0,15.0,83,77,46
,1.0,1,Pcs,1.0,500.0,84,77,46
,1.0,1,Pcs,1.0,300.0,89,77,46
,1.0,1,Pcs,1.0,500.0,90,77,46
,1.0,1,Pcs,1.0,120.0,91,77,46
,1.0,1,Pcs,1.0,500.0,92,77,46
,1.0,1,Pcs,1.0,2.0,93,77,46
,1.0,1,Pcs,1.0,422.0,94,77,46
,1.0,1,Pcs,1.0,140.0,95,77,46
,1.0,1,Pcs,1.0,263.0,97,77,46
,1.0,1,Pcs,1.0,136.0,98,77,46
,1.0,1,Pcs,1.0,100.0,101,77,46
,1.0,1,Pcs,1.0,500.0,102,77,46
,1.0,1,Pcs,1.0,55.0,104,77,46
,1.0,1,Pcs,1.0,80.0,106,77,46
,1.0,1,Pcs,1.0,400.0,111,77,46
,1.0,1,Pcs,1.0,200.0,114,77,46
,1.0,1,Pcs,1.0,480.0,119,77,46
,1.0,1,Pcs,1.0,500.0,123,77,46
,1.0,1,Pcs,1.0,50.0,124,77,46
,1.0,1,Pcs,1.0,161.0,170,77,46
,1.0,1,Pcs,1.0,150.0,171,77,46
,1.0,1,Point,1.0,42745601.0,176,77,46
,1.0,1,Point,1.0,13745601.0,179,77,46
,1.0,1,Pcs,1.0,400.0,203,77,46
,1.0,1,Pcs,1.0,800.0,0,78,46
,1.0,1,Pcs,1.0,50.0,20,78,46
,1.0,1,Pcs,1.0,200.0,22,78,46
,1.0,1,Pcs,1.0,150.0,29,78,46
,1.0,1,Pcs,1.0,2900.0,36,78,46
,1.0,1,Pcs,1.0,80.0,37,78,46
,1.0,1,Pcs,1.0,200.0,39,78,46
,1.0,1,Pcs,1.0,30.0,40,78,46
,1.0,1,Pcs,1.0,200.0,41,78,46
,1.0,1,Pcs,1.0,30.0,42,78,46
,1.0,1,Pcs,1.0,500.0,43,78,46
,1.0,1,Pcs,1.0,15.0,45,78,46
,1.0,1,Pcs,1.0,320.0,47,78,46
,1.0,1,Pcs,1.0,170.0,48,78,46
,1.0,1,Pcs,1.0,500.0,49,78,46
,1.0,1,Pcs,1.0,35.0,50,78,46
,1.0,1,Pcs,1.0,100.0,51,78,46
,1.0,1,Pcs,1.0,100.0,52,78,46
,1.0,1,Pcs,1.0,50.0,54,78,46
,1.0,1,Pcs,1.0,100.0,59,78,46
,1.0,1,Pcs,1.0,240.0,63,78,46
,1.0,1,Pcs,1.0,500.0,64,78,46
,1.0,1,Pcs,1.0,400.0,66,78,46
,1.0,1,Pcs,1.0,500.0,69,78,46
,1.0,1,Pcs,1.0,500.0,70,78,46
,1.0,1,Pcs,1.0,80.0,71,78,46
,1.0,1,Pcs,1.0,492.0,72,78,46
,1.0,1,Pcs,1.0,80.0,73,78,46
,1.0,1,Pcs,1.0,451.0,74,78,46
,1.0,1,Pcs,1.0,90.0,75,78,46
,1.0,1,Pcs,1.0,60.0,76,78,46
,1.0,1,Pcs,1.0,500.0,77,78,46
,1.0,1,Pcs,1.0,45.0,78,78,46
,1.0,1,Pcs,1.0,30.0,79,78,46
,1.0,1,Pcs,1.0,500.0,80,78,46
,1.0,1,Pcs,1.0,80.0,82,78,46
,1.0,1,Pcs,1.0,15.0,83,78,46
,1.0,1,Pcs,1.0,500.0,84,78,46
,1.0,1,Pcs,1.0,300.0,89,78,46
,1.0,1,Pcs,1.0,500.0,90,78,46
,1.0,1,Pcs,1.0,120.0,91,78,46
,1.0,1,Pcs,1.0,500.0,92,78,46
,1.0,1,Pcs,1.0,100.0,93,78,46
,1.0,1,Pcs,1.0,462.0,94,78,46
,1.0,1,Pcs,1.0,126.0,95,78,46
,1.0,1,Pcs,1.0,500.0,97,78,46
,1.0,1,Pcs,1.0,136.0,98,78,46
,1.0,1,Pcs,1.0,100.0,101,78,46
,1.0,1,Pcs,1.0,500.0,102,78,46
,1.0,1,Pcs,1.0,58.0,104,78,46
,1.0,1,Pcs,1.0,80.0,106,78,46
,1.0,1,Pcs,1.0,400.0,111,78,46
,1.0,1,Pcs,1.0,200.0,114,78,46
,1.0,1,Pcs,1.0,181.0,119,78,46
,1.0,1,Pcs,1.0,500.0,123,78,46
,1.0,1,Pcs,1.0,50.0,124,78,46
,1.0,1,Pcs,1.0,248.0,170,78,46
,1.0,1,Pcs,1.0,136.0,171,78,46
,1.0,1,Point,1.0,40724091.0,176,78,46
,1.0,1,Point,1.0,11724091.0,179,78,46
,1.0,1,Pcs,1.0,400.0,203,78,46
,1.0,1,Pcs,0.0,0.0,0,79,46
,1.0,1,Pcs,0.0,0.0,20,79,46
,1.0,1,Pcs,0.0,0.0,22,79,46
,1.0,1,Pcs,0.0,0.0,29,79,46
,1.0,1,Pcs,0.0,0.0,36,79,46
,1.0,1,Pcs,0.0,0.0,37,79,46
,1.0,1,Pcs,0.0,0.0,39,79,46
,1.0,1,Pcs,0.0,0.0,40,79,46
,1.0,1,Pcs,0.0,0.0,41,79,46
,1.0,1,Pcs,0.0,0.0,42,79,46
,1.0,1,Pcs,0.0,0.0,43,79,46
,1.0,1,Pcs,0.0,0.0,45,79,46
,1.0,1,Pcs,0.0,0.0,47,79,46
,1.0,1,Pcs,0.0,0.0,48,79,46
,1.0,1,Pcs,0.0,0.0,49,79,46
,1.0,1,Pcs,0.0,0.0,50,79,46
,1.0,1,Pcs,0.0,0.0,51,79,46
,1.0,1,Pcs,0.0,0.0,52,79,46
,1.0,1,Pcs,0.0,0.0,54,79,46
,1.0,1,Pcs,0.0,0.0,59,79,46
,1.0,1,Pcs,0.0,0.0,63,79,46
,1.0,1,Pcs,0.0,0.0,64,79,46
,1.0,1,Pcs,0.0,0.0,66,79,46
,1.0,1,Pcs,0.0,0.0,69,79,46
,1.0,1,Pcs,0.0,0.0,70,79,46
,1.0,1,Pcs,0.0,0.0,71,79,46
,1.0,1,Pcs,0.0,0.0,72,79,46
,1.0,1,Pcs,0.0,0.0,73,79,46
,1.0,1,Pcs,0.0,0.0,74,79,46
,1.0,1,Pcs,0.0,0.0,75,79,46
,1.0,1,Pcs,0.0,0.0,76,79,46
,1.0,1,Pcs,0.0,0.0,77,79,46
,1.0,1,Pcs,0.0,0.0,78,79,46
,1.0,1,Pcs,0.0,0.0,79,79,46
,1.0,1,Pcs,0.0,0.0,80,79,46
,1.0,1,Pcs,0.0,0.0,82,79,46
,1.0,1,Pcs,0.0,0.0,83,79,46
,1.0,1,Pcs,0.0,0.0,84,79,46
,1.0,1,Pcs,0.0,0.0,89,79,46
,1.0,1,Pcs,0.0,0.0,90,79,46
,1.0,1,Pcs,0.0,0.0,91,79,46
,1.0,1,Pcs,0.0,0.0,92,79,46
,1.0,1,Pcs,0.0,0.0,93,79,46
,1.0,1,Pcs,0.0,0.0,94,79,46
,1.0,1,Pcs,0.0,0.0,95,79,46
,1.0,1,Pcs,0.0,0.0,97,79,46
,1.0,1,Pcs,0.0,0.0,98,79,46
,1.0,1,Pcs,0.0,0.0,101,79,46
,1.0,1,Pcs,0.0,0.0,102,79,46
,1.0,1,Pcs,0.0,0.0,104,79,46
,1.0,1,Pcs,0.0,0.0,106,79,46
,1.0,1,Pcs,0.0,0.0,111,79,46
,1.0,1,Pcs,0.0,0.0,114,79,46
,1.0,1,Pcs,0.0,0.0,119,79,46
,1.0,1,Pcs,0.0,0.0,123,79,46
,1.0,1,Pcs,0.0,0.0,124,79,46
,1.0,1,Pcs,0.0,0.0,170,79,46
,1.0,1,Pcs,0.0,0.0,171,79,46
,1.0,1,Point,0.0,0.0,176,79,46
,1.0,1,Point,0.0,0.0,179,79,46
,1.0,1,Pcs,0.0,0.0,203,79,46
,1.0,1,Pcs,1.0,800.0,0,80,46
,1.0,1,Pcs,1.0,50.0,20,80,46
,1.0,1,Pcs,1.0,200.0,22,80,46
,1.0,1,Pcs,1.0,150.0,29,80,46
,1.0,1,Pcs,1.0,3500.0,36,80,46
,1.0,1,Pcs,1.0,80.0,37,80,46
,1.0,1,Pcs,1.0,200.0,39,80,46
,1.0,1,Pcs,1.0,30.0,40,80,46
,1.0,1,Pcs,1.0,200.0,41,80,46
,1.0,1,Pcs,1.0,30.0,42,80,46
,1.0,1,Pcs,1.0,500.0,43,80,46
,1.0,1,Pcs,1.0,11.0,45,80,46
,1.0,1,Pcs,1.0,500.0,47,80,46
,1.0,1,Pcs,1.0,200.0,48,80,46
,1.0,1,Pcs,1.0,500.0,49,80,46
,1.0,1,Pcs,1.0,25.0,50,80,46
,1.0,1,Pcs,1.0,100.0,51,80,46
,1.0,1,Pcs,1.0,100.0,52,80,46
,1.0,1,Pcs,1.0,50.0,54,80,46
,1.0,1,Pcs,1.0,100.0,59,80,46
,1.0,1,Pcs,1.0,240.0,63,80,46
,1.0,1,Pcs,1.0,500.0,64,80,46
,1.0,1,Pcs,1.0,400.0,66,80,46
,1.0,1,Pcs,1.0,500.0,69,80,46
,1.0,1,Pcs,1.0,500.0,70,80,46
,1.0,1,Pcs,1.0,80.0,71,80,46
,1.0,1,Pcs,1.0,500.0,72,80,46
,1.0,1,Pcs,1.0,80.0,73,80,46
,1.0,1,Pcs,1.0,500.0,74,80,46
,1.0,1,Pcs,1.0,90.0,75,80,46
,1.0,1,Pcs,1.0,60.0,76,80,46
,1.0,1,Pcs,1.0,500.0,77,80,46
,1.0,1,Pcs,1.0,45.0,78,80,46
,1.0,1,Pcs,1.0,30.0,79,80,46
,1.0,1,Pcs,1.0,500.0,80,80,46
,1.0,1,Pcs,1.0,80.0,82,80,46
,1.0,1,Pcs,1.0,15.0,83,80,46
,1.0,1,Pcs,1.0,500.0,84,80,46
,1.0,1,Pcs,1.0,300.0,89,80,46
,1.0,1,Pcs,1.0,500.0,90,80,46
,1.0,1,Pcs,1.0,120.0,91,80,46
,1.0,1,Pcs,1.0,500.0,92,80,46
,1.0,1,Pcs,1.0,100.0,93,80,46
,1.0,1,Pcs,1.0,500.0,94,80,46
,1.0,1,Pcs,1.0,140.0,95,80,46
,1.0,1,Pcs,1.0,500.0,97,80,46
,1.0,1,Pcs,1.0,136.0,98,80,46
