set,plant,capacity_type,item_code
26,64,Pcs,471
51,64,Pcs,471
116,27,Point,471
24,3,Pcs,474
1,3,Pcs,474
180,3,Pcs,474
115,3,Point,474
27,123,Pcs,474
127,123,Point,474
25,27,Pcs,474
116,27,Point,474
24,3,Pcs,480
46,3,Pcs,480
111,3,Pcs,480
115,3,Point,480
25,27,Pcs,480
26,64,Pcs,480
47,64,Pcs,480
24,3,Pcs,491
115,3,Point,491
25,27,Pcs,491
26,64,Pcs,491
183,64,Pcs,491
120,64,Point,491
116,27,Point,491
24,3,Pcs,498
175,3,Pcs,498
27,123,Pcs,498
127,123,Point,498
25,27,Pcs,498
26,64,Pcs,498
39,64,Pcs,498
120,64,Point,498
125,64,Point,498
116,27,Point,498
24,3,Pcs,504
148,3,Pcs,504
115,3,Point,504
27,123,Pcs,504
82,123,Pcs,504
127,123,Point,504
25,27,Pcs,504
149,27,Pcs,504
116,27,Point,504
24,3,Pcs,505
43,3,Pcs,505
115,3,Point,505
27,123,Pcs,505
44,123,Pcs,505
167,123,Pcs,505
127,123,Point,505
25,27,Pcs,505
166,27,Pcs,505
118,46,Point,505
116,27,Point,505
24,3,Pcs,506
87,3,Pcs,506
115,3,Point,506
27,123,Pcs,506
88,123,Pcs,506
127,123,Point,506
25,27,Pcs,506
116,27,Point,506
24,3,Pcs,507
40,3,Pcs,507
161,3,Pcs,507
115,3,Point,507
27,123,Pcs,507
42,123,Pcs,507
165,123,Pcs,507
127,123,Point,507
25,27,Pcs,507
162,27,Pcs,507
26,64,Pcs,507
41,64,Pcs,507
163,64,Pcs,507
120,64,Point,507
125,64,Point,507
116,27,Point,507
24,3,Pcs,509
83,3,Pcs,509
154,3,Pcs,509
115,3,Point,509
27,123,Pcs,509
84,123,Pcs,509
156,123,Pcs,509
127,123,Point,509
25,27,Pcs,509
155,27,Pcs,509
26,64,Pcs,509
120,64,Point,509
125,64,Point,509
116,27,Point,509
24,3,Pcs,529
191,3,Pcs,529
115,3,Point,529
27,123,Pcs,529
127,123,Point,529
25,27,Pcs,529
168,27,Pcs,529
116,27,Point,529
24,3,Pcs,551
25,27,Pcs,551
26,64,Pcs,551
187,64,Pcs,551
120,64,Point,551
125,64,Point,551
24,3,Pcs,560
85,3,Pcs,560
151,3,Pcs,560
115,3,Point,560
27,123,Pcs,560
86,123,Pcs,560
153,123,Pcs,560
25,27,Pcs,560
152,27,Pcs,560
26,64,Pcs,560
24,3,Pcs,570
115,3,Point,570
27,123,Pcs,570
127,123,Point,570
25,27,Pcs,570
26,64,Pcs,570
157,64,Pcs,570
120,64,Point,570
125,64,Point,570
31,3,Pcs,574
115,3,Point,574
34,123,Pcs,574
127,123,Point,574
32,27,Pcs,574
33,64,Pcs,574
81,64,Pcs,574
120,64,Point,574
125,64,Point,574
116,27,Point,574
160,64,Pcs,574
159,64,Pcs,574
31,3,Pcs,573
115,3,Point,573
34,123,Pcs,573
127,123,Point,573
32,27,Pcs,573
33,64,Pcs,573
81,64,Pcs,573
120,64,Point,573
125,64,Point,573
116,27,Point,573
160,64,Pcs,573
159,64,Pcs,573
4,46,Pcs,534
118,46,Point,534
5,61,Pcs,534
124,61,Point,534
4,46,Pcs,537
118,46,Point,537
5,61,Pcs,537
124,61,Point,537
4,46,Pcs,539
118,46,Point,539
5,61,Pcs,539
124,61,Point,539
4,46,Pcs,533
118,46,Point,533
5,61,Pcs,533
124,61,Point,533
4,46,Pcs,536
118,46,Point,536
5,61,Pcs,536
124,61,Point,536
4,46,Pcs,538
118,46,Point,538
5,61,Pcs,538
124,61,Point,538
4,46,Pcs,575
118,46,Point,575
5,61,Pcs,575
124,61,Point,575
6,46,Pcs,439
195,46,Pcs,493
118,46,Point,493
195,46,Pcs,494
118,46,Point,494
20,60,Pcs,540
123,60,Point,540
124,61,Point,540
123,60,Point,581
124,61,Point,581
123,60,Point,555
124,61,Point,555
123,60,Point,558
124,61,Point,558
123,60,Point,563
124,61,Point,563
123,60,Point,580
124,61,Point,580
123,60,Point,583
124,61,Point,583
27,123,Pcs,434
204,123,Pcs,434
127,123,Point,434
26,64,Pcs,434
203,64,Pcs,434
120,64,Point,434
125,64,Point,434
25,27,Pcs,435
26,64,Pcs,435
203,64,Pcs,435
120,64,Point,435
125,64,Point,435
116,27,Point,435
25,27,Pcs,531
26,64,Pcs,531
192,64,Pcs,531
120,64,Point,531
116,27,Point,531
37,27,Pcs,501
116,27,Point,501
35,10,Pcs,501
37,27,Pcs,550
38,64,Pcs,550
143,64,Pcs,550
120,64,Point,550
122,64,Point,550
116,27,Point,550
35,10,Pcs,550
37,27,Pcs,466
38,64,Pcs,466
7,64,Pcs,466
120,64,Point,466
122,64,Point,466
116,27,Point,466
37,27,Pcs,467
38,64,Pcs,467
0,64,Pcs,467
120,64,Point,467
116,27,Point,467
35,10,Pcs,467
37,27,Pcs,497
38,64,Pcs,497
35,10,Pcs,497
37,27,Pcs,500
116,27,Point,500
35,10,Pcs,500
37,27,Pcs,503
38,64,Pcs,503
144,64,Pcs,503
116,27,Point,503
35,10,Pcs,503
37,27,Pcs,514
38,64,Pcs,514
120,64,Point,514
122,64,Point,514
116,27,Point,514
37,27,Pcs,515
38,64,Pcs,515
120,64,Point,515
122,64,Point,515
116,27,Point,515
37,27,Pcs,516
38,64,Pcs,516
120,64,Point,516
122,64,Point,516
116,27,Point,516
35,10,Pcs,516
37,27,Pcs,517
38,64,Pcs,517
143,64,Pcs,517
116,27,Point,517
35,10,Pcs,517
37,27,Pcs,519
38,64,Pcs,519
140,64,Pcs,519
116,27,Point,519
37,27,Pcs,544
38,64,Pcs,544
139,64,Pcs,544
120,64,Point,544
122,64,Point,544
35,10,Pcs,544
37,27,Pcs,545
38,64,Pcs,545
140,64,Pcs,545
120,64,Point,545
122,64,Point,545
116,27,Point,545
35,10,Pcs,545
37,27,Pcs,548
38,64,Pcs,548
146,64,Pcs,548
120,64,Point,548
122,64,Point,548
116,27,Point,548
35,10,Pcs,548
37,27,Pcs,549
38,64,Pcs,549
143,64,Pcs,549
120,64,Point,549
122,64,Point,549
116,27,Point,549
35,10,Pcs,549
26,64,Pcs,436
47,64,Pcs,436
120,64,Point,436
125,64,Point,436
26,64,Pcs,479
200,64,Pcs,479
120,64,Point,479
125,64,Point,479
38,64,Pcs,453
120,64,Point,453
122,64,Point,453
38,64,Pcs,454
96,64,Pcs,454
120,64,Point,454
122,64,Point,454
38,64,Pcs,455
38,64,Pcs,456
38,64,Pcs,460
120,64,Point,460
122,64,Point,460
38,64,Pcs,476
38,64,Pcs,489
78,64,Pcs,489
120,64,Point,489
122,64,Point,489
38,64,Pcs,502
120,64,Point,502
122,64,Point,502
38,64,Pcs,512
120,64,Point,512
122,64,Point,512
38,64,Pcs,553
120,64,Point,553
122,64,Point,553
38,64,Pcs,554
120,64,Point,554
122,64,Point,554
38,64,Pcs,564
120,64,Point,564
138,156,Pcs,447
128,156,Point,447
137,41,Pcs,447
101,156,Pcs,450
138,156,Pcs,450
128,156,Point,450
137,41,Pcs,450
138,156,Pcs,451
128,156,Point,451
137,41,Pcs,451
100,156,Pcs,462
138,156,Pcs,462
128,156,Point,462
137,41,Pcs,462
135,156,Pcs,524
128,156,Point,524
133,41,Pcs,524
117,41,Point,524
134,72,Pcs,524
136,169,Pcs,524
124,61,Point,557
124,61,Point,582
134,72,Pcs,543
136,169,Pcs,543
130,169,Point,543
197,126,Pcs,47
196,50,Pcs,47
197,126,Pcs,47
196,50,Pcs,47
196,50,Pcs,46
196,50,Pcs,46
