plant,orig_production_cost,lot_size,fixed_days_supply,lead_time,component_holding_cost,production_cost,min_production,max_production,item_code
137,0.0,1.0,3,23.0,0.0,0.0,100.0,6000.0,4103
54,0.0,1.0,3,30.0,0.0,0.0,100.0,6000.0,4104
137,0.0,1.0,3,30.0,0.0,0.0,100.0,6000.0,4104
196,0.0,1.0,1,23.0,0.0,0.0,100.0,5000.0,4109
53,0.0,1.0,1,23.0,0.0,0.0,100.0,5000.0,4109
196,0.0,1.0,3,23.0,0.0,0.0,100.0,10000.0,4110
53,0.0,1.0,3,23.0,0.0,0.0,100.0,10000.0,4110
196,0.0,1.0,3,30.0,0.0,0.0,100.0,10000.0,4113
53,0.0,1.0,3,30.0,0.0,0.0,100.0,10000.0,4113
196,0.0,1.0,1,7.0,0.0,0.0,100.0,5000.0,4114
53,0.0,1.0,1,23.0,0.0,0.0,100.0,5000.0,4114
54,0.0,1.0,3,23.0,0.0,0.0,100.0,5000.0,4118
55,0.0,10.0,1,7.0,0.0,0.0,100.0,5000.0,4121
54,0.0,1.0,3,21.0,0.0,0.0,100.0,6000.0,4120
53,0.0,10.0,1,7.0,0.0,0.0,100.0,6000.0,4124
55,0.0,10.0,1,7.0,0.0,0.0,100.0,6000.0,4124
55,0.0,1.0,3,7.0,0.0,0.0,100.0,6000.0,4126
138,0.0,1.0,3,7.0,0.0,0.0,100.0,6000.0,4126
55,0.0,10.0,3,7.0,0.0,0.0,100.0,6000.0,4128
55,0.0,1.0,3,7.0,0.0,0.0,100.0,6000.0,4134
54,0.0,1.0,3,23.0,0.0,0.0,100.0,7000.0,4140
196,0.0,1.0,3,21.0,0.0,0.0,100.0,10000.0,4141
53,0.0,1.0,3,21.0,0.0,0.0,100.0,10000.0,4141
54,0.0,1.0,1,30.0,0.0,0.0,100.0,6000.0,4116
54,0.0,1.0,3,23.0,0.0,0.0,100.0,10000.0,4144
54,0.0,1.0,3,23.0,0.0,0.0,100.0,7000.0,4146
64,0.0,1.0,7,2.0,0.0,0.0,1.0,100.0,39
64,0.0,1.0,3,2.0,0.0,0.0,10.0,50.0,40
64,0.0,1.0,7,2.0,0.0,0.0,3.0,100.0,42
71,0.0,1.0,7,2.0,0.0,0.0,1.0,300.0,76
64,0.0,1.0,14,3.0,0.0,0.0,1.0,120.0,77
64,0.0,1.0,7,3.0,0.0,0.0,10.0,120.0,78
64,0.0,1.0,7,3.0,0.0,0.0,1.0,10.0,89
64,0.0,1.0,7,7.0,0.0,0.0,1.0,10.0,90
41,54.6912,40.0,3,5.0,0.0,54.6912,40.0,1200.0,91
46,0.0,1.0,3,3.0,0.0,0.0,7.0,1500.0,101
46,0.0,1.0,3,2.0,0.0,0.0,1.0,1000.0,107
64,0.0,1.0,3,2.0,0.0,0.0,1.0,20.0,118
64,0.0,1.0,7,3.0,0.0,0.0,1.0,10.0,133
64,0.0,1.0,7,3.0,0.0,0.0,1.0,100.0,137
64,0.0,1.0,7,2.0,0.0,0.0,1.0,80.0,139
64,0.0,1.0,7,3.0,0.0,0.0,1.0,50.0,146
64,0.0,1.0,7,3.0,0.0,0.0,1.0,50.0,147
64,0.0,1.0,7,3.0,0.0,0.0,1.0,50.0,155
71,0.0,1.0,7,7.0,0.0,0.0,1.0,50.0,155
64,0.0,1.0,7,7.0,0.0,0.0,1.0,50.0,156
64,0.0,1.0,14,3.0,0.0,0.0,1.0,60.0,161
71,0.0,1.0,14,3.0,0.0,0.0,1.0,60.0,161
64,0.0,1.0,14,7.0,0.0,0.0,1.0,20.0,175
64,0.0,1.0,14,3.0,0.0,0.0,5.0,50.0,179
72,0.0,1.0,14,7.0,0.0,0.0,1.0,100.0,182
64,0.0,1.0,7,4.0,0.0,0.0,1.0,50.0,193
64,0.0,1.0,7,3.0,0.0,0.0,1.0,50.0,195
64,0.0,1.0,7,5.0,0.0,0.0,1.0,50.0,196
64,0.0,1.0,14,3.0,0.0,0.0,1.0,100.0,219
64,0.0,1.0,14,5.0,0.0,0.0,1.0,100.0,220
64,0.0,1.0,14,3.0,0.0,0.0,1.0,100.0,222
64,0.0,1.0,14,3.0,0.0,0.0,1.0,100.0,223
64,0.0,1.0,14,3.0,0.0,0.0,1.0,100.0,224
17,0.0,372.0,1,3.0,0.0,0.0,3720.0,3720.0,236
13,0.0,372.0,1,3.0,0.0,0.0,2232.0,2976.0,236
64,0.0,1.0,7,3.0,0.0,0.0,1.0,20.0,237
64,0.0,1.0,7,3.0,0.0,0.0,1.0,20.0,239
64,0.0,1.0,14,4.0,0.0,0.0,2.0,30.0,247
64,0.0,1.0,7,3.0,0.0,0.0,1.0,30.0,249
64,0.0,1.0,14,3.0,0.0,0.0,1.0,6.0,276
64,0.0,1.0,14,4.0,0.0,0.0,1.0,20.0,278
64,0.0,1.0,14,7.0,0.0,0.0,1.0,20.0,280
64,0.0,1.0,14,3.0,0.0,0.0,1.0,6.0,282
64,0.0,1.0,14,7.0,0.0,0.0,1.0,100.0,288
60,0.0,1.0,14,3.0,0.0,0.0,1.0,100.0,292
64,0.0,1.0,3,2.0,0.0,0.0,300.0,400.0,587
10,0.0,1.0,3,2.0,0.0,0.0,50.0,200.0,587
10,0.0,1.0,3,2.0,0.0,0.0,80.0,100.0,586
64,0.0,1.0,3,3.0,0.0,0.0,100.0,100.0,592
64,241.11,1.0,5,3.0,0.0,241.11,36.0,43.0,593
64,20.1,4.0,3,4.0,0.0,20.1,400.0,400.0,597
10,20.1,4.0,3,4.0,0.0,20.1,900.0,900.0,597
10,25.17,3.0,14,4.0,0.0,25.17,900.0,900.0,595
61,0.0,1.0,7,2.0,0.0,0.0,12.0,12.0,611
60,0.0,1.0,7,2.0,0.0,0.0,1.0,52.0,612
61,0.0,1.0,7,2.0,0.0,0.0,1.0,52.0,612
61,0.0,1.0,7,3.0,0.0,0.0,1.0,52.0,615
64,0.0,1.0,7,2.0,0.0,0.0,1.0,200.0,616
64,0.0,1.0,7,3.0,0.0,0.0,1.0,30.0,618
64,0.0,1.0,14,3.0,0.0,0.0,1.0,200.0,632
71,0.0,1.0,14,3.0,0.0,0.0,1.0,200.0,632
72,0.0,1.0,10,7.0,0.0,0.0,50.0,500.0,888
156,40.8339,8.0,3,5.0,0.0,40.8339,8.0,504.0,97
169,103.41,5.0,14,10.0,0.0,103.41,20.0,200.0,160
64,0.0,1.0,7,3.0,0.0,0.0,1.0,50.0,260
64,0.0,1.0,7,3.0,0.0,0.0,1.0,50.0,262
64,0.0,1.0,14,3.0,0.0,0.0,1.0,50.0,264
64,0.0,1.0,7,3.0,0.0,0.0,1.0,7.0,266
64,0.0,1.0,7,2.0,0.0,0.0,1.0,400.0,268
64,15.36,2.0,5,3.0,0.0,15.36,10.0,50.0,585
50,0.0,1.0,3,16.0,0.0,0.0,50000.0,100000.0,47
126,0.0,1.0,3,7.0,0.0,0.0,50000.0,100000.0,47
50,0.0,1.0,3,16.0,0.0,0.0,50000.0,100000.0,47
126,0.0,1.0,3,7.0,0.0,0.0,50000.0,100000.0,47
17,0.0,1.0,14,4.0,0.0,0.0,1.0,60.0,149
123,5.19,8.0,7,3.0,0.0,5.19,48.0,256.0,434
64,5.19,8.0,7,3.0,0.0,5.19,48.0,256.0,434
64,4.98,2.0,7,2.0,0.0,4.98,30.0,100.0,435
64,2.4,8.0,3,7.0,0.0,2.4,80.0,560.0,457
3,2.13,12.0,3,4.0,0.0,2.13,600.0,600.0,468
64,13.8,2.0,3,3.0,0.0,13.8,100.0,200.0,470
3,15.66,4.0,5,3.0,0.0,15.66,4.0,320.0,474
64,5.64,2.0,3,3.0,0.0,5.64,20.0,100.0,475
123,1.05,12.0,3,3.0,0.0,1.05,600.0,1500.0,478
3,47.07,4.0,3,3.0,0.0,47.07,5000.0,5000.0,480
64,5.49,2.0,1,7.0,0.0,5.49,2.0,120.0,483
3,42.57,2.0,3,4.0,0.0,42.57,100.0,280.0,487
3,2.85,6.0,3,4.0,0.0,2.85,60.0,240.0,490
64,18.81,2.0,3,4.0,0.0,18.81,1000.0,1000.0,498
10,30.72,2.0,7,4.0,0.0,30.72,100.0,150.0,500
64,45.78,2.0,3,3.0,0.0,45.78,10.0,400.0,503
123,5.61,2.0,3,3.0,0.0,5.61,700.0,1000.0,504
123,5.28,2.0,3,3.0,0.0,5.28,600.0,1000.0,505
123,3.72,4.0,3,3.0,0.0,3.72,500.0,1200.0,506
123,14.85,2.0,3,2.0,0.0,14.85,300.0,1200.0,507
3,14.85,2.0,3,4.0,0.0,14.85,300.0,1200.0,507
123,3.6,4.0,3,2.0,0.0,3.6,500.0,600.0,509
10,39.81,2.0,3,1.0,0.0,39.81,50.0,200.0,517
3,177.06,1.0,3,5.0,0.0,177.06,20.0,100000.0,523
3,6.96,2.0,3,4.0,0.0,6.96,2000.0,2100.0,529
64,6.15,2.0,3,3.0,0.0,6.15,100.0,500.0,531
64,3.66,14.0,3,7.0,0.0,3.66,98.0,294.0,541
169,28.26195,200.0,3,7.0,0.0,28.26195,200.0,200.0,543
10,2.04,18.0,14,3.0,0.0,2.04,36.0,162.0,548
163,0.0,1.0,7,21.0,0.0,0.0,1400.0,1470.0,568
213,0.0,1.0,7,14.0,0.0,0.0,1400.0,1470.0,568
64,278.82,1.0,3,3.0,0.0,278.82,1.0,160.0,573
64,278.82,1.0,3,3.0,0.0,278.82,1.0,160.0,573
64,27.45,4.0,14,7.0,0.0,27.45,4.0,400.0,436
64,2.58,10.0,3,3.0,0.0,2.58,40.0,600.0,454
64,45.78,1.0,7,4.0,0.0,45.78,48.0,500.0,467
64,139.53,1.0,14,3.0,0.0,139.53,2.0,40.0,479
64,185.37,1.0,5,5.0,0.0,185.37,1.0,240.0,489
64,1.29,20.0,3,3.0,0.0,1.29,180.0,200.0,491
64,2.22,18.0,7,2.0,0.0,2.22,72.0,900.0,502
64,1.41,20.0,7,2.0,0.0,1.41,100.0,400.0,512
3,168.93,10.0,3,4.0,0.0,168.93,50.0,160.0,528
10,8.97,2.0,5,4.0,0.0,8.97,30.0,144.0,544
10,17.4,2.0,5,4.0,0.0,17.4,50.0,200.0,545
10,45.39,2.0,3,4.0,0.0,45.39,150.0,300.0,549
3,2.94,10.0,5,7.0,0.0,2.94,1800.0,2000.0,560
50,0.0,1.0,1,24.0,0.0,0.0,100000.0,100000.0,46
50,0.0,1.0,1,24.0,0.0,0.0,100000.0,100000.0,46
64,0.0,1.0,14,3.0,0.0,0.0,1.0,10000.0,174
60,0.0,1.0,14,3.0,0.0,0.0,1.0,100.0,178
72,0.0,1.0,14,7.0,0.0,0.0,1.0,100.0,178
60,0.0,1.0,14,3.0,0.0,0.0,1.0,100.0,291
50,0.0,1.0,3,16.0,0.0,0.0,50000.0,100000.0,47
126,0.0,1.0,3,7.0,0.0,0.0,50000.0,100000.0,47
50,0.0,1.0,1,16.0,0.0,0.0,100000.0,100000.0,54
126,0.0,1.0,1,30.0,0.0,0.0,100000.0,100000.0,54
50,0.0,1.0,7,21.0,0.0,0.0,25000.0,25000.0,55
126,0.0,1.0,7,24.0,0.0,0.0,25000.0,25000.0,55
17,0.6903,10.0,3,3.0,0.0,0.6903,100.0,300.0,69
118,0.6903,10.0,3,3.0,0.0,0.6903,100.0,300.0,69
17,0.0,5.0,7,3.0,0.0,0.0,30.0,180.0,71
119,0.0,1.0,7,3.0,0.0,0.0,600.0,600.0,71
119,0.0,1.0,7,7.0,0.0,0.0,1.0,300.0,73
17,0.0,5.0,7,3.0,0.0,0.0,200.0,200.0,73
46,0.0,1.0,7,4.0,0.0,0.0,1.0,400.0,148
17,0.0,1.0,14,4.0,0.0,0.0,1.0,60.0,149
228,0.0,1.0,7,35.0,0.0,0.0,1.0,1000000.0,638
180,0.0,1.0,7,30.0,0.0,0.0,1.0,1000000.0,638
227,0.0,1.0,7,35.0,0.0,0.0,1.0,1000000.0,638
228,0.0,1.0,7,35.0,0.0,0.0,1.0,1000000.0,639
228,0.0,1.0,1,35.0,0.0,0.0,1.0,1000000.0,640
228,0.0,1.0,7,35.0,0.0,0.0,1.0,1000000.0,641
228,0.0,1.0,7,35.0,0.0,0.0,1.0,1000000.0,642
117,0.0,1.0,5,10.0,0.0,0.0,1.0,200.0,766
226,0.0,1.0,5,10.0,0.0,0.0,1.0,200.0,766
226,0.0,1.0,10,10.0,0.0,0.0,1.0,300.0,780
226,0.0,1.0,10,10.0,0.0,0.0,1.0,300.0,782
226,0.0,1.0,10,10.0,0.0,0.0,1.0,300.0,784
117,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,862
117,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,864
217,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,864
220,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,864
117,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,867
217,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,867
220,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,867
117,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,870
217,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,870
220,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,870
221,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,870
226,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,870
117,0.0,1.0,10,5.0,0.0,0.0,50.0,500.0,895
117,0.0,1.0,10,5.0,0.0,0.0,50.0,500.0,897
217,0.0,4.0,10,5.0,0.0,0.0,40.0,400.0,899
220,0.0,4.0,10,5.0,0.0,0.0,40.0,400.0,899
55,0.0,10.0,7,7.0,0.0,0.0,100.0,2000.0,4173
64,0.0,1.0,7,3.0,0.0,0.0,1.0,50.0,225
3,11.37,2.0,56,3.0,0.0,11.37,20.0,40.0,584
123,11.37,20.0,56,3.0,0.0,11.37,20.0,400.0,584
64,0.0,1.0,5,3.0,0.0,0.0,10.0,200.0,589
61,0.0,1.0,7,3.0,0.0,0.0,1.0,52.0,613
17,0.0,5.0,7,3.0,0.0,0.0,30.0,180.0,72
119,0.0,1.0,7,3.0,0.0,0.0,600.0,600.0,72
119,0.0,1.0,7,7.0,0.0,0.0,1.0,300.0,74
17,0.0,5.0,7,3.0,0.0,0.0,200.0,200.0,74
64,0.0,1.0,14,4.0,0.0,0.0,1.0,50.0,210
13,0.0,1.0,14,2.0,0.0,0.0,200.0,200.0,218
64,0.0,1.0,14,2.0,0.0,0.0,200.0,200.0,218
64,0.0,1.0,7,3.0,0.0,0.0,5.0,10.0,255
13,0.0,1.0,3,3.0,0.0,0.0,500.0,500.0,295
117,0.0,1.0,5,10.0,0.0,0.0,1.0,200.0,767
226,0.0,1.0,5,10.0,0.0,0.0,1.0,200.0,767
226,0.0,1.0,10,10.0,0.0,0.0,1.0,300.0,775
226,0.0,1.0,10,10.0,0.0,0.0,1.0,300.0,781
226,0.0,1.0,10,10.0,0.0,0.0,1.0,300.0,783
226,0.0,1.0,10,10.0,0.0,0.0,1.0,300.0,785
117,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,863
117,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,865
217,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,865
220,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,865
117,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,868
217,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,868
220,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,868
117,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,871
217,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,871
220,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,871
221,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,871
226,0.0,2.0,10,5.0,0.0,0.0,200.0,2000.0,871
117,0.0,1.0,10,5.0,0.0,0.0,50.0,500.0,896
117,0.0,1.0,10,5.0,0.0,0.0,50.0,500.0,898
217,0.0,4.0,10,5.0,0.0,0.0,40.0,400.0,900
220,0.0,4.0,10,5.0,0.0,0.0,40.0,400.0,900
217,0.0,10.0,10,5.0,0.0,0.0,60.0,300.0,902
46,0.0,1.0,7,4.0,0.0,0.0,1.0,1000.0,104
46,0.0,1.0,5,3.0,0.0,0.0,100.0,850.0,106
64,0.0,1.0,14,3.0,0.0,0.0,1.0,100.0,184
17,0.0,1.0,7,4.0,0.0,0.0,1.0,50.0,186
64,0.0,1.0,7,4.0,0.0,0.0,1.0,50.0,190
64,0.0,1.0,7,4.0,0.0,0.0,1.0,50.0,194
64,0.0,1.0,7,3.0,0.0,0.0,1.0,30.0,250
64,0.0,1.0,7,2.0,0.0,0.0,1.0,400.0,271
64,0.0,1.0,14,3.0,0.0,0.0,1.0,20.0,275
64,0.0,1.0,14,3.0,0.0,0.0,1.0,50.0,287
64,241.11,1.0,5,3.0,0.0,241.11,36.0,43.0,594
64,20.1,4.0,3,4.0,0.0,20.1,400.0,400.0,598
10,20.1,4.0,3,4.0,0.0,20.1,900.0,900.0,598
10,25.17,3.0,14,4.0,0.0,25.17,900.0,900.0,596
61,0.0,1.0,7,3.0,0.0,0.0,1.0,52.0,604
61,0.0,1.0,7,3.0,0.0,0.0,1.0,52.0,608
64,0.0,1.0,7,2.0,0.0,0.0,1.0,200.0,617
72,0.0,1.0,10,7.0,0.0,0.0,50.0,500.0,889
46,0.0,4.0,3,3.0,0.0,0.0,32.0,848.0,117
64,0.0,1.0,7,2.0,0.0,0.0,1.0,400.0,269
117,0.0,1.0,5,10.0,0.0,0.0,1.0,200.0,765
226,0.0,1.0,5,10.0,0.0,0.0,1.0,200.0,765
226,0.0,1.0,10,10.0,0.0,0.0,1.0,300.0,790
226,0.0,1.0,10,10.0,0.0,0.0,1.0,300.0,792
226,0.0,1.0,10,10.0,0.0,0.0,1.0,300.0,794
226,0.0,1.0,10,10.0,0.0,0.0,1.0,300.0,796
226,0.0,1.0,10,10.0,0.0,0.0,1.0,300.0,798
117,0.0,8.0,10,5.0,0.0,0.0,40.0,400.0,877
117,0.0,8.0,10,5.0,0.0,0.0,40.0,400.0,879
220,0.0,8.0,10,5.0,0.0,0.0,40.0,400.0,879
117,0.0,2.0,10,5.0,0.0,0.0,50.0,500.0,881
117,0.0,12.0,10,5.0,0.0,0.0,60.0,600.0,883
220,0.0,12.0,10,5.0,0.0,0.0,60.0,600.0,883
117,0.0,2.0,10,5.0,0.0,0.0,50.0,500.0,886
217,0.0,2.0,10,5.0,0.0,0.0,50.0,500.0,886
117,0.0,2.0,10,5.0,0.0,0.0,50.0,500.0,906
50,0.0,2880.0,1,29.0,0.0,0.0,25920.0,72000.0,44
126,0.0,2880.0,1,30.0,0.0,0.0,25920.0,72000.0,44
50,0.0,1.0,1,24.0,0.0,0.0,100000.0,100000.0,46
180,0.0,1.0,7,30.0,0.0,0.0,1.0,1000000.0,637
227,0.0,1.0,7,35.0,0.0,0.0,1.0,1000000.0,637
228,0.0,1.0,7,35.0,0.0,0.0,1.0,1000000.0,637
226,0.0,1.0,10,10.0,0.0,0.0,1.0,300.0,793
226,0.0,1.0,10,10.0,0.0,0.0,1.0,300.0,795
226,0.0,1.0,10,10.0,0.0,0.0,1.0,300.0,797
117,0.0,8.0,10,5.0,0.0,0.0,40.0,400.0,876
117,0.0,8.0,10,5.0,0.0,0.0,40.0,400.0,878
220,0.0,8.0,10,5.0,0.0,0.0,40.0,400.0,878
117,0.0,2.0,10,5.0,0.0,0.0,50.0,500.0,880
117,0.0,12.0,10,5.0,0.0,0.0,60.0,600.0,882
220,0.0,12.0,10,5.0,0.0,0.0,60.0,600.0,882
117,0.0,2.0,10,5.0,0.0,0.0,50.0,500.0,885
217,0.0,2.0,10,5.0,0.0,0.0,50.0,500.0,885
117,0.0,2.0,10,5.0,0.0,0.0,50.0,500.0,905
50,0.0,1.0,3,16.0,0.0,0.0,50000.0,100000.0,47
126,0.0,1.0,3,7.0,0.0,0.0,50000.0,100000.0,47
50,0.0,1.0,1,24.0,0.0,0.0,100000.0,100000.0,46
156,0.66,400.0,1,3.0,0.0,0.66,400.0,8000.0,447
156,0.84,560.0,1,3.0,0.0,0.84,560.0,7280.0,450
156,1.35,2100.0,3,3.0,0.0,1.35,2100.0,4200.0,451
64,15.99,4.0,3,7.0,0.0,15.99,4.0,1000.0,459
64,15.99,4.0,3,7.0,0.0,15.99,4.0,1000.0,459
156,3.36,250.0,3,3.0,0.0,3.36,250.0,5000.0,462
64,16.77,2.0,3,5.0,0.0,16.77,20.0,340.0,471
64,214.95,1.0,3,5.0,0.0,214.95,1.0,200.0,514
46,16.71,4.0,3,4.0,0.0,16.71,52.0,1000.0,533
3,47.07,2.0,3,3.0,0.0,47.07,50.0,152.0,542
3,33.99,4.0,3,3.0,0.0,33.99,100.0,200.0,570
64,33.99,4.0,3,3.0,0.0,33.99,100.0,200.0,570
64,61.86,2.0,7,4.0,0.0,61.86,10.0,150.0,453
64,15.36,2.0,14,7.0,0.0,15.36,2.0,300.0,455
64,0.0,12.0,14,7.0,0.0,0.0,12.0,360.0,456
123,8.43,2.0,56,3.0,0.0,8.43,100.0,160.0,458
64,42.12,2.0,14,7.0,0.0,42.12,12.0,200.0,460
64,33.54,2.0,7,7.0,0.0,33.54,2.0,300.0,466
64,0.0,10.0,14,7.0,0.0,0.0,10.0,200.0,476
10,0.0,4.0,3,3.0,0.0,0.0,60.0,300.0,497
64,0.93,4.0,5,3.0,0.0,0.93,4.0,600.0,515
64,13.65,2.0,3,1.0,0.0,13.65,180.0,300.0,516
64,17.4,2.0,5,7.0,0.0,17.4,2.0,150.0,519
41,11.91195,6.0,3,4.0,0.0,11.91195,6.0,2400.0,524
46,19.05,4.0,5,7.0,0.0,19.05,200.0,1000.0,536
46,17.94,4.0,5,2.0,0.0,17.94,200.0,1000.0,538
61,0.87,48.0,3,2.0,0.0,0.87,96.0,240.0,540
64,50.01,2.0,56,2.0,0.0,50.01,2.0,100.0,551
64,17.52,2.0,3,2.0,0.0,17.52,100.0,200.0,553
61,40.38,2.0,3,2.0,0.0,40.38,50.0,100.0,555
61,267.18,1.0,7,4.0,0.0,267.18,4.0,10.0,557
61,16.89,8.0,3,3.0,0.0,16.89,24.0,200.0,563
64,0.0,4.0,3,2.0,0.0,0.0,48.0,120.0,564
60,19.08,8.0,7,4.0,0.0,19.08,8.0,32.0,567
61,19.08,8.0,7,4.0,0.0,19.08,8.0,32.0,567
46,20.22,4.0,7,5.0,0.0,20.22,4.0,800.0,575
61,266.22,1.0,7,2.0,0.0,266.22,6.0,10.0,580
61,24.66,8.0,7,3.0,0.0,24.66,32.0,128.0,582
61,27.51,6.0,7,3.0,0.0,27.51,6.0,90.0,583
3,42.57,2.0,3,4.0,0.0,42.57,100.0,280.0,488
64,18.81,2.0,3,4.0,0.0,18.81,1000.0,1000.0,499
10,30.72,2.0,7,4.0,0.0,30.72,100.0,150.0,501
64,278.82,1.0,3,3.0,0.0,278.82,1.0,160.0,574
64,278.82,1.0,3,3.0,0.0,278.82,1.0,160.0,574
46,19.05,4.0,5,7.0,0.0,19.05,200.0,1000.0,537
46,17.94,4.0,5,2.0,0.0,17.94,200.0,1000.0,539
10,45.39,2.0,3,4.0,0.0,45.39,150.0,300.0,550
61,266.22,1.0,7,2.0,0.0,266.22,6.0,10.0,581
123,9.39,2.0,3,3.0,0.0,9.39,46.0,200.0,463
64,0.9,4.0,3,2.0,0.0,0.9,52.0,200.0,554
61,7.77,8.0,3,2.0,0.0,7.77,104.0,400.0,558
