qty,plant,assembly,component
2.0,55,4173,3026
4.0,169,160,3026
16.0,55,4173,2914
12.0,64,594,2914
12.0,64,593,2914
8.0,46,575,2914
2.0,64,570,2914
2.0,3,570,2914
2.0,213,568,2914
2.0,163,568,2914
8.0,46,539,2914
8.0,46,538,2914
8.0,46,537,2914
8.0,46,536,2914
8.0,46,533,2914
8.0,123,507,2914
8.0,3,507,2914
2.0,55,4173,2480
2.0,196,4141,2480
2.0,53,4141,2480
2.0,196,4114,2480
2.0,53,4114,2480
2.0,196,4113,2480
2.0,53,4113,2480
2.0,196,4110,2480
2.0,53,4110,2480
2.0,196,4109,2480
2.0,53,4109,2480
2.0,196,4097,2480
2.0,53,4097,2480
1.0,55,4173,2424
2.0,55,4173,2394
2.0,54,4146,4092
2.0,54,4144,4092
2.0,54,4140,4092
2.0,55,4134,4092
2.0,55,4128,4092
2.0,55,4124,4092
2.0,53,4124,4092
2.0,55,4121,4092
2.0,54,4120,4092
2.0,54,4118,4092
2.0,54,4116,4092
2.0,54,4146,4091
2.0,54,4144,4091
2.0,54,4140,4091
2.0,55,4134,4091
2.0,55,4128,4091
2.0,55,4124,4091
2.0,53,4124,4091
2.0,55,4121,4091
2.0,54,4120,4091
2.0,54,4118,4091
2.0,54,4116,4091
2.0,54,4146,4089
2.0,54,4144,4089
2.0,54,4140,4089
2.0,55,4134,4089
2.0,55,4128,4089
2.0,55,4124,4089
2.0,53,4124,4089
2.0,55,4121,4089
2.0,54,4120,4089
2.0,54,4118,4089
2.0,54,4116,4089
1.0,54,4146,3972
1.0,138,4126,3972
1.0,55,4126,3972
1.0,137,4104,3972
1.0,54,4104,3972
1.0,137,4103,3972
1.0,54,4103,3972
1.0,54,4146,3941
1.0,54,4140,3941
1.0,55,4134,3941
1.0,55,4128,3941
1.0,55,4121,3941
1.0,54,4120,3941
1.0,54,4116,3941
1.0,54,4146,3872
1.0,54,4144,3872
1.0,54,4140,3872
1.0,55,4134,3872
1.0,55,4128,3872
1.0,55,4124,3872
1.0,53,4124,3872
1.0,55,4121,3872
1.0,54,4120,3872
1.0,54,4118,3872
1.0,54,4116,3872
1.0,137,4103,3872
1.0,54,4103,3872
1.0,54,4146,3846
1.0,54,4144,3846
1.0,54,4140,3846
1.0,55,4134,3846
1.0,55,4128,3846
1.0,55,4124,3846
1.0,53,4124,3846
1.0,55,4121,3846
1.0,54,4120,3846
1.0,54,4118,3846
1.0,54,4116,3846
1.0,54,4146,2482
1.0,54,4144,2482
1.0,54,4140,2482
1.0,55,4134,2482
1.0,55,4128,2482
1.0,138,4126,2482
1.0,55,4126,2482
1.0,55,4124,2482
1.0,53,4124,2482
1.0,55,4121,2482
1.0,54,4120,2482
1.0,54,4118,2482
1.0,54,4116,2482
1.0,137,4104,2482
1.0,54,4104,2482
1.0,137,4103,2482
1.0,54,4103,2482
1.0,54,4146,2477
1.0,54,4144,2477
1.0,196,4141,2477
1.0,53,4141,2477
1.0,54,4140,2477
1.0,55,4134,2477
1.0,55,4128,2477
1.0,138,4126,2477
1.0,55,4126,2477
1.0,55,4124,2477
1.0,53,4124,2477
1.0,55,4121,2477
1.0,54,4120,2477
1.0,54,4118,2477
1.0,54,4116,2477
1.0,196,4114,2477
1.0,53,4114,2477
1.0,196,4113,2477
1.0,53,4113,2477
1.0,196,4110,2477
1.0,53,4110,2477
1.0,196,4109,2477
1.0,53,4109,2477
1.0,137,4104,2477
1.0,54,4104,2477
1.0,137,4103,2477
1.0,54,4103,2477
1.0,196,4097,2477
1.0,53,4097,2477
1.0,123,584,2477
1.0,3,584,2477
1.0,61,583,2477
1.0,61,582,2477
1.0,64,574,2477
1.0,64,574,2477
1.0,64,573,2477
1.0,64,573,2477
1.0,64,471,2477
1.0,54,4146,24
1.0,55,4134,24
1.0,54,4118,24
1.0,54,4144,4079
1.0,196,4141,4079
1.0,53,4141,4079
1.0,54,4140,4079
1.0,55,4134,4079
1.0,55,4128,4079
1.0,55,4124,4079
1.0,53,4124,4079
1.0,55,4121,4079
1.0,54,4120,4079
1.0,54,4118,4079
1.0,54,4116,4079
1.0,196,4114,4079
1.0,53,4114,4079
1.0,196,4113,4079
1.0,53,4113,4079
1.0,196,4110,4079
1.0,53,4110,4079
1.0,196,4109,4079
1.0,53,4109,4079
1.0,196,4097,4079
1.0,53,4097,4079
1.0,54,4144,3929
1.0,196,4141,3929
1.0,53,4141,3929
1.0,55,4124,3929
1.0,53,4124,3929
1.0,54,4118,3929
1.0,196,4114,3929
1.0,53,4114,3929
1.0,196,4113,3929
1.0,53,4113,3929
1.0,196,4110,3929
1.0,53,4110,3929
1.0,196,4109,3929
1.0,53,4109,3929
1.0,137,4103,3929
1.0,54,4103,3929
1.0,196,4097,3929
1.0,53,4097,3929
1.0,46,575,3929
1.0,46,539,3929
1.0,46,538,3929
1.0,46,537,3929
1.0,46,536,3929
1.0,46,533,3929
1.0,54,4144,3783
1.0,55,4124,3783
1.0,53,4124,3783
1.0,54,4118,3783
1.0,54,4144,3513
1.0,138,4126,3513
1.0,55,4126,3513
1.0,55,4124,3513
1.0,53,4124,3513
1.0,54,4118,3513
1.0,137,4104,3513
1.0,54,4104,3513
1.0,137,4103,3513
1.0,54,4103,3513
1.0,54,4144,23
1.0,55,4124,23
1.0,53,4124,23
1.0,55,4121,23
1.0,54,4120,23
2.0,196,4141,4094
2.0,53,4141,4094
2.0,196,4114,4094
2.0,53,4114,4094
2.0,196,4113,4094
2.0,53,4113,4094
2.0,196,4110,4094
2.0,53,4110,4094
2.0,196,4109,4094
2.0,53,4109,4094
2.0,196,4097,4094
2.0,53,4097,4094
1.0,196,4141,3858
1.0,53,4141,3858
1.0,196,4114,3858
1.0,53,4114,3858
1.0,196,4113,3858
1.0,53,4113,3858
1.0,196,4110,3858
1.0,53,4110,3858
1.0,196,4109,3858
1.0,53,4109,3858
1.0,196,4097,3858
1.0,53,4097,3858
1.0,196,4141,3845
1.0,53,4141,3845
1.0,196,4114,3845
1.0,53,4114,3845
1.0,196,4113,3845
1.0,53,4113,3845
1.0,196,4110,3845
1.0,53,4110,3845
1.0,196,4109,3845
1.0,53,4109,3845
1.0,196,4097,3845
1.0,53,4097,3845
1.0,196,4141,3844
1.0,53,4141,3844
1.0,196,4114,3844
1.0,53,4114,3844
1.0,196,4113,3844
1.0,53,4113,3844
1.0,196,4110,3844
1.0,53,4110,3844
1.0,196,4109,3844
1.0,53,4109,3844
1.0,196,4097,3844
1.0,53,4097,3844
2.0,196,4141,2484
2.0,53,4141,2484
2.0,196,4114,2484
2.0,53,4114,2484
2.0,196,4113,2484
2.0,53,4113,2484
2.0,196,4110,2484
2.0,53,4110,2484
2.0,196,4109,2484
2.0,53,4109,2484
2.0,196,4097,2484
2.0,53,4097,2484
2.0,196,4141,2210
2.0,53,4141,2210
2.0,196,4114,2210
2.0,53,4114,2210
2.0,196,4113,2210
2.0,53,4113,2210
2.0,196,4110,2210
2.0,53,4110,2210
2.0,196,4109,2210
2.0,53,4109,2210
2.0,196,4097,2210
2.0,53,4097,2210
15.0,196,4141,2209
15.0,53,4141,2209
15.0,196,4114,2209
15.0,53,4114,2209
15.0,196,4113,2209
15.0,53,4113,2209
15.0,196,4110,2209
15.0,53,4110,2209
15.0,196,4109,2209
15.0,53,4109,2209
15.0,196,4097,2209
15.0,53,4097,2209
4.0,196,4141,2207
4.0,53,4141,2207
4.0,196,4114,2207
4.0,53,4114,2207
4.0,196,4113,2207
4.0,53,4113,2207
4.0,196,4110,2207
4.0,53,4110,2207
4.0,196,4109,2207
4.0,53,4109,2207
4.0,196,4097,2207
4.0,53,4097,2207
4.0,196,4141,2204
4.0,53,4141,2204
4.0,196,4114,2204
4.0,53,4114,2204
4.0,196,4113,2204
4.0,53,4113,2204
4.0,196,4110,2204
4.0,53,4110,2204
4.0,196,4109,2204
4.0,53,4109,2204
4.0,196,4097,2204
4.0,53,4097,2204
16.0,196,4141,2163
16.0,53,4141,2163
16.0,196,4114,2163
16.0,53,4114,2163
16.0,196,4113,2163
16.0,53,4113,2163
16.0,196,4110,2163
16.0,53,4110,2163
16.0,196,4109,2163
16.0,53,4109,2163
16.0,196,4097,2163
16.0,53,4097,2163
2.0,196,4141,2162
2.0,53,4141,2162
2.0,196,4114,2162
2.0,53,4114,2162
2.0,196,4113,2162
2.0,53,4113,2162
2.0,196,4110,2162
2.0,53,4110,2162
2.0,196,4109,2162
2.0,53,4109,2162
2.0,196,4097,2162
2.0,53,4097,2162
29.0,196,4141,2161
29.0,53,4141,2161
29.0,196,4114,2161
29.0,53,4114,2161
29.0,196,4113,2161
29.0,53,4113,2161
29.0,196,4110,2161
29.0,53,4110,2161
29.0,196,4109,2161
29.0,53,4109,2161
29.0,196,4097,2161
29.0,53,4097,2161
1.0,196,4141,2156
1.0,53,4141,2156
1.0,196,4114,2156
1.0,53,4114,2156
1.0,196,4113,2156
1.0,53,4113,2156
1.0,196,4110,2156
1.0,53,4110,2156
1.0,196,4109,2156
1.0,53,4109,2156
1.0,196,4097,2156
1.0,53,4097,2156
1.0,196,4141,2153
1.0,53,4141,2153
1.0,196,4114,2153
1.0,53,4114,2153
1.0,196,4113,2153
1.0,53,4113,2153
1.0,196,4110,2153
1.0,53,4110,2153
1.0,196,4109,2153
1.0,53,4109,2153
1.0,196,4097,2153
1.0,53,4097,2153
1.0,196,4141,2146
1.0,53,4141,2146
1.0,196,4114,2146
1.0,53,4114,2146
1.0,196,4113,2146
1.0,53,4113,2146
1.0,196,4110,2146
1.0,53,4110,2146
1.0,196,4109,2146
1.0,53,4109,2146
1.0,196,4097,2146
1.0,53,4097,2146
4.0,64,598,2146
4.0,10,598,2146
4.0,64,597,2146
4.0,10,597,2146
4.0,10,596,2146
4.0,10,595,2146
51.0,64,436,2146
7.0,196,4141,2140
7.0,53,4141,2140
7.0,196,4114,2140
7.0,53,4114,2140
7.0,196,4113,2140
7.0,53,4113,2140
7.0,196,4110,2140
7.0,53,4110,2140
7.0,196,4109,2140
7.0,53,4109,2140
7.0,196,4097,2140
7.0,53,4097,2140
19.0,196,4141,2128
19.0,53,4141,2128
19.0,196,4114,2128
19.0,53,4114,2128
19.0,196,4113,2128
19.0,53,4113,2128
19.0,196,4110,2128
19.0,53,4110,2128
19.0,196,4109,2128
19.0,53,4109,2128
19.0,196,4097,2128
19.0,53,4097,2128
3.0,196,4141,2120
3.0,53,4141,2120
3.0,196,4114,2120
3.0,53,4114,2120
3.0,196,4113,2120
3.0,53,4113,2120
3.0,196,4110,2120
3.0,53,4110,2120
3.0,196,4109,2120
3.0,53,4109,2120
3.0,196,4097,2120
3.0,53,4097,2120
5.0,196,4141,2110
5.0,53,4141,2110
5.0,196,4114,2110
5.0,53,4114,2110
5.0,196,4113,2110
5.0,53,4113,2110
5.0,196,4110,2110
5.0,53,4110,2110
5.0,196,4109,2110
5.0,53,4109,2110
5.0,196,4097,2110
5.0,53,4097,2110
56.0,196,4141,2098
56.0,53,4141,2098
56.0,196,4114,2098
56.0,53,4114,2098
56.0,196,4113,2098
56.0,53,4113,2098
56.0,196,4110,2098
56.0,53,4110,2098
56.0,196,4109,2098
56.0,53,4109,2098
56.0,196,4097,2098
56.0,53,4097,2098
73.0,64,436,2098
7.0,196,4141,2085
7.0,53,4141,2085
7.0,196,4114,2085
7.0,53,4114,2085
7.0,196,4113,2085
7.0,53,4113,2085
7.0,196,4110,2085
7.0,53,4110,2085
7.0,196,4109,2085
7.0,53,4109,2085
7.0,196,4097,2085
7.0,53,4097,2085
3.0,196,4141,2083
3.0,53,4141,2083
3.0,196,4114,2083
3.0,53,4114,2083
3.0,196,4113,2083
3.0,53,4113,2083
3.0,196,4110,2083
3.0,53,4110,2083
3.0,196,4109,2083
3.0,53,4109,2083
3.0,196,4097,2083
3.0,53,4097,2083
1.0,196,4141,2002
1.0,53,4141,2002
1.0,196,4114,2002
1.0,53,4114,2002
1.0,196,4113,2002
1.0,53,4113,2002
1.0,196,4110,2002
1.0,53,4110,2002
1.0,196,4109,2002
1.0,53,4109,2002
1.0,196,4097,2002
1.0,53,4097,2002
3.0,46,575,2002
1.0,46,539,2002
1.0,46,538,2002
3.0,46,537,2002
3.0,46,536,2002
2.0,46,533,2002
4.0,196,4141,1995
4.0,53,4141,1995
4.0,196,4114,1995
4.0,53,4114,1995
4.0,196,4113,1995
4.0,53,4113,1995
4.0,196,4110,1995
4.0,53,4110,1995
4.0,196,4109,1995
4.0,53,4109,1995
4.0,196,4097,1995
4.0,53,4097,1995
1.0,196,4141,1979
1.0,53,4141,1979
1.0,196,4114,1979
1.0,53,4114,1979
1.0,196,4113,1979
1.0,53,4113,1979
1.0,196,4110,1979
1.0,53,4110,1979
1.0,196,4109,1979
1.0,53,4109,1979
1.0,196,4097,1979
1.0,53,4097,1979
2.0,196,4141,1972
2.0,53,4141,1972
2.0,196,4114,1972
2.0,53,4114,1972
2.0,196,4113,1972
2.0,53,4113,1972
2.0,196,4110,1972
2.0,53,4110,1972
2.0,196,4109,1972
2.0,53,4109,1972
2.0,196,4097,1972
2.0,53,4097,1972
6.0,196,4141,1967
6.0,53,4141,1967
6.0,196,4114,1967
6.0,53,4114,1967
6.0,196,4113,1967
6.0,53,4113,1967
6.0,196,4110,1967
6.0,53,4110,1967
6.0,196,4109,1967
6.0,53,4109,1967
6.0,196,4097,1967
6.0,53,4097,1967
4.0,196,4141,1958
4.0,53,4141,1958
4.0,196,4114,1958
4.0,53,4114,1958
4.0,196,4113,1958
4.0,53,4113,1958
4.0,196,4110,1958
4.0,53,4110,1958
4.0,196,4109,1958
4.0,53,4109,1958
4.0,196,4097,1958
4.0,53,4097,1958
32.0,196,4141,1953
32.0,53,4141,1953
32.0,196,4114,1953
32.0,53,4114,1953
32.0,196,4113,1953
32.0,53,4113,1953
32.0,196,4110,1953
32.0,53,4110,1953
32.0,196,4109,1953
32.0,53,4109,1953
32.0,196,4097,1953
32.0,53,4097,1953
6.0,123,505,1953
6.0,123,504,1953
1.0,196,4141,1947
1.0,53,4141,1947
1.0,196,4114,1947
1.0,53,4114,1947
1.0,196,4113,1947
1.0,53,4113,1947
1.0,196,4110,1947
1.0,53,4110,1947
1.0,196,4109,1947
1.0,53,4109,1947
1.0,196,4097,1947
1.0,53,4097,1947
1.0,64,598,1947
1.0,10,598,1947
1.0,64,597,1947
1.0,10,597,1947
1.0,10,596,1947
1.0,10,595,1947
1.0,196,4141,1943
1.0,53,4141,1943
1.0,196,4114,1943
1.0,53,4114,1943
1.0,196,4113,1943
1.0,53,4113,1943
1.0,196,4110,1943
1.0,53,4110,1943
1.0,196,4109,1943
1.0,53,4109,1943
1.0,196,4097,1943
1.0,53,4097,1943
7.0,226,871,1943
7.0,221,871,1943
7.0,220,871,1943
7.0,217,871,1943
7.0,117,871,1943
7.0,226,870,1943
7.0,221,870,1943
7.0,220,870,1943
7.0,217,870,1943
7.0,117,870,1943
5.0,220,868,1943
5.0,217,868,1943
5.0,117,868,1943
5.0,220,867,1943
5.0,217,867,1943
5.0,117,867,1943
4.0,64,598,1943
4.0,10,598,1943
4.0,64,597,1943
4.0,10,597,1943
4.0,10,596,1943
4.0,10,595,1943
69.0,64,594,1943
69.0,64,593,1943
7.0,123,584,1943
7.0,3,584,1943
4.0,61,583,1943
3.0,61,582,1943
129.0,61,581,1943
129.0,61,580,1943
126.0,64,574,1943
126.0,64,574,1943
126.0,64,573,1943
126.0,64,573,1943
9.0,61,567,1943
9.0,60,567,1943
8.0,61,563,1943
5.0,61,558,1943
129.0,61,557,1943
34.0,64,553,1943
6.0,169,543,1943
3.0,123,506,1943
12.0,123,505,1943
11.0,123,504,1943
7.0,64,499,1943
7.0,64,498,1943
5.0,64,471,1943
7.0,64,436,1943
15.0,123,434,1943
15.0,64,434,1943
10.0,169,162,1943
3.0,169,162,1943
67.0,169,160,1943
58.0,169,160,1943
16.0,169,160,1943
7.0,169,120,1943
2.0,169,120,1943
7.0,41,120,1943
2.0,41,120,1943
10.0,169,119,1943
3.0,169,119,1943
10.0,167,119,1943
3.0,167,119,1943
10.0,72,119,1943
3.0,72,119,1943
10.0,41,119,1943
3.0,41,119,1943
17.0,167,109,1943
2.0,167,109,1943
17.0,156,109,1943
2.0,156,109,1943
28.0,196,4141,1929
28.0,53,4141,1929
28.0,196,4114,1929
28.0,53,4114,1929
28.0,196,4113,1929
28.0,53,4113,1929
28.0,196,4110,1929
28.0,53,4110,1929
28.0,196,4109,1929
28.0,53,4109,1929
28.0,196,4097,1929
28.0,53,4097,1929
6.0,196,4141,1876
6.0,53,4141,1876
6.0,196,4114,1876
6.0,53,4114,1876
6.0,196,4113,1876
6.0,53,4113,1876
6.0,196,4110,1876
6.0,53,4110,1876
6.0,196,4109,1876
6.0,53,4109,1876
6.0,196,4097,1876
6.0,53,4097,1876
3.0,64,594,1876
3.0,64,593,1876
1.0,61,583,1876
17.0,61,581,1876
17.0,61,580,1876
62.0,64,574,1876
62.0,64,574,1876
62.0,64,573,1876
62.0,64,573,1876
6.0,64,570,1876
6.0,3,570,1876
3.0,3,560,1876
2.0,61,558,1876
17.0,61,557,1876
10.0,61,555,1876
4.0,169,543,1876
19.0,169,162,1876
9.0,169,162,1876
7.0,169,162,1876
6.0,169,120,1876
6.0,169,120,1876
4.0,169,120,1876
6.0,41,120,1876
6.0,41,120,1876
4.0,41,120,1876
9.0,169,119,1876
7.0,169,119,1876
6.0,169,119,1876
9.0,167,119,1876
7.0,167,119,1876
6.0,167,119,1876
9.0,72,119,1876
7.0,72,119,1876
6.0,72,119,1876
9.0,41,119,1876
7.0,41,119,1876
6.0,41,119,1876
9.0,167,109,1876
9.0,156,109,1876
4.0,196,4141,1843
4.0,53,4141,1843
4.0,196,4114,1843
4.0,53,4114,1843
4.0,196,4113,1843
4.0,53,4113,1843
4.0,196,4110,1843
4.0,53,4110,1843
4.0,196,4109,1843
4.0,53,4109,1843
4.0,196,4097,1843
4.0,53,4097,1843
1.0,196,4141,20
1.0,53,4141,20
1.0,54,4116,20
1.0,196,4110,20
1.0,53,4110,20
1.0,196,4097,20
1.0,53,4097,20
1.0,54,4140,27
1.0,196,4114,27
1.0,53,4114,27
1.0,196,4113,27
1.0,53,4113,27
1.0,196,4109,27
1.0,53,4109,27
1.0,55,4128,26
2.0,138,4126,4088
2.0,55,4126,4088
2.0,137,4104,4088
2.0,54,4104,4088
2.0,137,4103,4088
2.0,54,4103,4088
1.0,138,4126,3863
1.0,55,4126,3863
1.0,137,4104,3863
1.0,54,4104,3863
1.0,138,4126,3843
1.0,55,4126,3843
1.0,137,4104,3843
1.0,54,4104,3843
1.0,137,4103,3843
1.0,54,4103,3843
2.0,138,4126,2483
2.0,55,4126,2483
2.0,137,4104,2483
2.0,54,4104,2483
2.0,137,4103,2483
2.0,54,4103,2483
1.0,138,4126,21
1.0,55,4126,21
1.0,137,4104,21
1.0,54,4104,21
1.0,137,4103,21
1.0,54,4103,21
1.0,117,906,4072
1.0,117,905,4072
5.0,64,594,4072
5.0,64,593,4072
8.0,61,581,4072
8.0,61,580,4072
13.0,64,574,4072
13.0,64,574,4072
13.0,64,573,4072
13.0,64,573,4072
1.0,64,570,4072
1.0,3,570,4072
5.0,10,550,4072
5.0,10,549,4072
6.0,3,523,4072
5.0,10,517,4072
1.0,64,516,4072
1.0,117,906,4063
1.0,117,905,4063
1.0,217,886,4063
1.0,117,886,4063
1.0,217,885,4063
1.0,117,885,4063
5.0,64,594,4063
5.0,64,593,4063
4.0,61,581,4063
4.0,61,580,4063
4.0,64,574,4063
4.0,64,574,4063
4.0,64,573,4063
4.0,64,573,4063
3.0,213,568,4063
3.0,163,568,4063
4.0,61,557,4063
1.0,64,551,4063
1.0,3,542,4063
1.0,64,531,4063
1.0,3,529,4063
1.0,3,528,4063
4.0,64,514,4063
1.0,123,506,4063
1.0,123,505,4063
1.0,123,504,4063
2.0,64,503,4063
1.0,3,490,4063
1.0,3,488,4063
1.0,3,487,4063
1.0,64,483,4063
1.0,64,475,4063
1.0,3,474,4063
2.0,64,467,4063
1.0,64,435,4063
1.0,123,434,4063
1.0,64,434,4063
1.0,117,906,4012
1.0,117,905,4012
1.0,3,542,4012
1.0,117,906,4004
1.0,117,905,4004
1.0,117,906,3893
1.0,117,905,3893
1.0,117,896,3893
1.0,117,895,3893
1.0,217,886,3893
1.0,117,886,3893
1.0,217,885,3893
1.0,117,885,3893
1.0,3,488,3893
1.0,3,487,3893
1.0,64,479,3893
1.0,117,906,3715
1.0,117,905,3715
1.0,217,886,3715
1.0,117,886,3715
1.0,217,885,3715
1.0,117,885,3715
2.0,64,598,3715
2.0,10,598,3715
2.0,64,597,3715
2.0,10,597,3715
2.0,10,596,3715
2.0,10,595,3715
1.0,64,503,3715
1.0,3,488,3715
1.0,3,487,3715
1.0,64,470,3715
1.0,64,467,3715
1.0,123,463,3715
1.0,123,458,3715
1.0,117,906,3664
1.0,117,905,3664
2.0,72,889,3664
2.0,72,888,3664
2.0,64,594,3664
2.0,64,593,3664
4.0,64,574,3664
4.0,64,574,3664
4.0,64,573,3664
4.0,64,573,3664
1.0,64,570,3664
1.0,3,570,3664
2.0,213,568,3664
1.0,213,568,3664
2.0,163,568,3664
1.0,163,568,3664
1.0,64,553,3664
1.0,10,550,3664
1.0,10,549,3664
2.0,3,523,3664
1.0,64,516,3664
3.0,64,514,3664
2.0,117,906,3293
2.0,117,905,3293
2.0,220,900,3293
2.0,217,900,3293
2.0,220,899,3293
2.0,217,899,3293
2.0,3,542,3293
2.0,117,906,3282
2.0,117,905,3282
2.0,117,896,3282
2.0,117,895,3282
2.0,217,886,3282
2.0,117,886,3282
2.0,217,885,3282
2.0,117,885,3282
4.0,226,871,3282
4.0,221,871,3282
4.0,220,871,3282
4.0,217,871,3282
4.0,117,871,3282
4.0,226,870,3282
4.0,221,870,3282
4.0,220,870,3282
4.0,217,870,3282
4.0,117,870,3282
4.0,220,868,3282
4.0,217,868,3282
4.0,117,868,3282
4.0,220,867,3282
4.0,217,867,3282
4.0,117,867,3282
2.0,220,865,3282
2.0,217,865,3282
2.0,117,865,3282
2.0,220,864,3282
2.0,217,864,3282
2.0,117,864,3282
2.0,123,584,3282
2.0,3,584,3282
2.0,61,555,3282
2.0,64,551,3282
2.0,3,542,3282
4.0,64,503,3282
4.0,64,499,3282
4.0,64,498,3282
2.0,3,488,3282
2.0,3,487,3282
2.0,3,480,3282
2.0,64,471,3282
2.0,64,470,3282
4.0,64,467,3282
2.0,64,460,3282
2.0,64,436,3282
1.0,117,906,3218
1.0,117,905,3218
1.0,217,886,3218
1.0,117,886,3218
1.0,217,885,3218
1.0,117,885,3218
1.0,64,551,3218
1.0,3,542,3218
1.0,3,488,3218
1.0,3,487,3218
3.0,117,906,3097
3.0,117,905,3097
1.0,64,435,3097
3.0,117,906,3010
3.0,117,905,3010
9.0,226,871,3010
9.0,221,871,3010
9.0,220,871,3010
9.0,217,871,3010
9.0,117,871,3010
9.0,226,870,3010
9.0,221,870,3010
9.0,220,870,3010
9.0,217,870,3010
9.0,117,870,3010
6.0,220,868,3010
6.0,217,868,3010
6.0,117,868,3010
6.0,220,867,3010
6.0,217,867,3010
6.0,117,867,3010
5.0,64,598,3010
5.0,10,598,3010
5.0,64,597,3010
5.0,10,597,3010
5.0,10,596,3010
5.0,10,595,3010
33.0,64,594,3010
33.0,64,593,3010
1.0,123,584,3010
1.0,3,584,3010
12.0,61,583,3010
7.0,61,582,3010
51.0,61,581,3010
51.0,61,580,3010
53.0,64,574,3010
53.0,64,574,3010
53.0,64,573,3010
53.0,64,573,3010
13.0,64,570,3010
13.0,3,570,3010
58.0,213,568,3010
13.0,213,568,3010
58.0,163,568,3010
13.0,163,568,3010
8.0,61,567,3010
8.0,60,567,3010
7.0,61,563,3010
1.0,3,560,3010
2.0,61,558,3010
51.0,61,557,3010
5.0,61,555,3010
8.0,64,551,3010
22.0,10,550,3010
22.0,10,549,3010
1.0,10,548,3010
1.0,169,543,3010
58.0,3,528,3010
69.0,3,523,3010
19.0,10,517,3010
1.0,64,516,3010
29.0,64,514,3010
14.0,123,507,3010
14.0,3,507,3010
1.0,123,506,3010
1.0,123,505,3010
1.0,123,504,3010
3.0,64,503,3010
3.0,64,502,3010
9.0,64,499,3010
9.0,64,498,3010
4.0,64,471,3010
1.0,64,470,3010
3.0,64,467,3010
