plant,proportion,start_date,end_date,cumulate_production,inclusive,item_code
46,100.0,23,27,0,1,539
61,0.0,23,27,0,1,539
46,100.0,35,41,0,1,539
61,0.0,35,41,0,1,539
46,100.0,84,90,0,1,539
61,0.0,84,90,0,1,539
46,100.0,28,34,0,1,539
61,0.0,28,34,0,1,539
46,100.0,91,119,0,1,539
61,0.0,91,119,0,1,539
46,100.0,56,62,0,1,539
61,0.0,56,62,0,1,539
46,100.0,42,48,0,1,539
61,0.0,42,48,0,1,539
46,100.0,77,83,0,1,539
61,0.0,77,83,0,1,539
46,100.0,63,69,0,1,539
61,0.0,63,69,0,1,539
64,100.0,42,48,0,1,210
64,100.0,63,69,0,1,210
64,100.0,70,76,0,1,210
64,100.0,91,119,0,1,210
64,100.0,77,83,0,1,210
64,100.0,35,41,0,1,210
64,100.0,49,55,0,1,210
64,100.0,23,27,0,1,210
64,100.0,28,34,0,1,210
64,100.0,56,62,0,1,210
64,100.0,84,90,0,1,210
64,100.0,77,83,0,1,271
64,100.0,70,76,0,1,271
64,100.0,28,34,0,1,271
64,100.0,84,90,0,1,271
64,100.0,23,27,4,1,271
64,100.0,56,62,0,1,271
64,100.0,35,41,0,1,271
64,100.0,42,48,0,1,271
64,100.0,63,69,0,1,271
64,100.0,91,119,0,1,271
64,100.0,49,55,0,1,271
61,100.0,84,90,0,1,581
61,100.0,63,69,0,1,581
61,100.0,91,119,0,1,581
61,100.0,56,62,0,1,581
61,100.0,77,83,0,1,581
61,100.0,49,55,0,1,581
61,100.0,23,27,0,1,581
61,100.0,35,41,0,1,581
61,100.0,42,48,0,1,581
61,100.0,28,34,0,1,581
61,100.0,70,76,0,1,581
64,100.0,63,69,0,1,594
64,100.0,42,48,0,1,594
64,100.0,28,34,0,1,594
64,100.0,91,119,0,1,594
64,100.0,84,90,0,1,594
64,100.0,70,76,0,1,594
64,100.0,77,83,0,1,594
64,100.0,35,41,0,1,594
64,100.0,56,62,0,1,594
64,100.0,49,55,0,1,594
64,100.0,23,27,0,1,594
61,0.0,56,62,0,1,104
46,100.0,56,62,0,1,104
61,0.0,77,83,0,1,104
46,100.0,77,83,0,1,104
61,0.0,42,48,0,1,104
46,100.0,42,48,0,1,104
61,0.0,70,76,0,1,104
46,100.0,70,76,0,1,104
61,0.0,23,27,0,1,104
46,100.0,23,27,80,1,104
61,0.0,84,90,0,1,104
46,100.0,84,90,0,1,104
61,0.0,49,55,0,1,104
46,100.0,49,55,0,1,104
61,0.0,28,34,0,1,104
46,100.0,28,34,0,1,104
61,0.0,35,41,0,1,104
46,100.0,35,41,0,1,104
61,0.0,91,119,0,1,104
46,100.0,91,119,0,1,104
61,0.0,63,69,0,1,104
46,100.0,63,69,0,1,104
64,100.0,56,62,0,1,194
64,100.0,28,34,0,1,194
64,100.0,84,90,0,1,194
64,100.0,63,69,0,1,194
64,100.0,35,41,0,1,194
64,100.0,91,119,0,1,194
64,100.0,49,55,0,1,194
64,100.0,77,83,0,1,194
64,100.0,42,48,0,1,194
64,100.0,23,27,3,1,194
64,100.0,70,76,0,1,194
10,100.0,35,41,0,1,596
10,100.0,42,48,0,1,596
10,100.0,49,55,0,1,596
10,100.0,56,62,0,1,596
10,100.0,84,90,0,1,596
10,100.0,23,27,0,1,596
10,100.0,91,119,0,1,596
10,100.0,63,69,0,1,596
10,100.0,70,76,0,1,596
10,100.0,77,83,0,1,596
10,100.0,28,34,0,1,596
64,100.0,49,55,0,1,617
64,100.0,56,62,0,1,617
64,100.0,77,83,0,1,617
64,100.0,91,119,0,1,617
64,100.0,70,76,0,1,617
64,100.0,42,48,0,1,617
64,100.0,28,34,0,1,617
64,100.0,63,69,0,1,617
64,100.0,35,41,0,1,617
64,100.0,84,90,0,1,617
64,100.0,23,27,9,1,617
10,50.0,42,48,0,1,598
64,50.0,42,48,0,1,598
10,50.0,56,62,0,1,598
64,50.0,56,62,0,1,598
10,70.0,77,83,0,1,598
64,30.0,77,83,0,1,598
10,70.0,63,69,0,1,598
64,30.0,63,69,0,1,598
10,70.0,28,34,0,1,598
64,30.0,28,34,2000,1,598
10,70.0,23,27,0,1,598
64,30.0,23,27,2020,1,598
10,70.0,91,119,0,1,598
64,30.0,91,119,0,1,598
10,70.0,70,76,0,1,598
64,30.0,70,76,0,1,598
10,50.0,35,41,0,1,598
64,50.0,35,41,0,1,598
10,50.0,49,55,0,1,598
64,50.0,49,55,0,1,598
10,70.0,84,90,0,1,598
64,30.0,84,90,0,1,598
64,100.0,63,69,0,1,174
64,100.0,42,48,0,1,174
64,100.0,49,55,0,1,174
64,100.0,23,27,0,1,174
64,100.0,28,34,0,1,174
64,100.0,70,76,0,1,174
64,100.0,35,41,0,1,174
64,100.0,84,90,0,1,174
64,100.0,91,119,0,1,174
64,100.0,77,83,0,1,174
64,100.0,56,62,0,1,174
72,100.0,77,83,0,1,178
72,100.0,49,55,0,1,178
72,100.0,56,62,0,1,178
72,100.0,35,41,0,1,178
72,100.0,91,119,0,1,178
72,100.0,28,34,0,1,178
72,100.0,42,48,0,1,178
72,100.0,23,27,0,1,178
72,100.0,70,76,0,1,178
72,100.0,84,90,0,1,178
72,100.0,63,69,0,1,178
61,0.0,84,90,0,1,106
46,100.0,84,90,0,1,106
61,0.0,49,55,0,1,106
46,100.0,49,55,0,1,106
61,0.0,23,27,0,1,106
46,100.0,23,27,78,1,106
61,0.0,28,34,0,1,106
46,100.0,28,34,0,1,106
61,0.0,56,62,0,1,106
46,100.0,56,62,0,1,106
61,0.0,42,48,0,1,106
46,100.0,42,48,0,1,106
61,0.0,91,119,0,1,106
46,100.0,91,119,0,1,106
61,0.0,63,69,0,1,106
46,100.0,63,69,0,1,106
61,0.0,70,76,0,1,106
46,100.0,70,76,0,1,106
61,0.0,35,41,0,1,106
46,100.0,35,41,0,1,106
61,0.0,77,83,0,1,106
46,100.0,77,83,0,1,106
17,100.0,91,119,0,1,186
17,100.0,77,83,0,1,186
17,100.0,35,41,0,1,186
17,100.0,63,69,0,1,186
17,100.0,23,27,0,1,186
17,100.0,56,62,0,1,186
17,100.0,42,48,0,1,186
17,100.0,84,90,0,1,186
17,100.0,49,55,0,1,186
17,100.0,70,76,0,1,186
17,100.0,28,34,0,1,186
46,100.0,63,69,0,1,117
46,100.0,84,90,0,1,117
46,100.0,35,41,0,1,117
46,100.0,23,27,0,1,117
46,100.0,56,62,0,1,117
46,100.0,77,83,0,1,117
46,100.0,70,76,0,1,117
46,100.0,28,34,0,1,117
46,100.0,42,48,0,1,117
46,100.0,91,119,0,1,117
46,100.0,49,55,0,1,117
64,100.0,70,76,0,1,255
64,100.0,77,83,0,1,255
64,100.0,56,62,0,1,255
64,100.0,23,27,10,1,255
64,100.0,42,48,0,1,255
64,100.0,35,41,0,1,255
64,100.0,91,119,0,1,255
64,100.0,63,69,0,1,255
64,100.0,28,34,0,1,255
64,100.0,84,90,0,1,255
64,100.0,49,55,0,1,255
61,100.0,63,69,0,1,604
61,100.0,77,83,0,1,604
61,100.0,91,119,0,1,604
61,100.0,42,48,0,1,604
61,100.0,28,34,0,1,604
61,100.0,23,27,0,1,604
61,100.0,35,41,0,1,604
61,100.0,49,55,0,1,604
61,100.0,84,90,0,1,604
61,100.0,56,62,0,1,604
61,100.0,70,76,0,1,604
64,100.0,49,55,0,1,190
64,100.0,70,76,0,1,190
64,100.0,23,27,0,1,190
64,100.0,63,69,0,1,190
64,100.0,42,48,0,1,190
64,100.0,28,34,0,1,190
64,100.0,56,62,0,1,190
64,100.0,84,90,0,1,190
64,100.0,91,119,0,1,190
64,100.0,77,83,0,1,190
64,100.0,35,41,0,1,190
64,100.0,77,83,0,1,275
64,100.0,49,55,0,1,275
64,100.0,42,48,0,1,275
64,100.0,91,119,0,1,275
64,100.0,84,90,0,1,275
64,100.0,23,27,0,1,275
64,100.0,63,69,0,1,275
64,100.0,70,76,0,1,275
64,100.0,35,41,0,1,275
64,100.0,56,62,0,1,275
64,100.0,28,34,0,1,275
64,100.0,77,83,0,1,269
64,100.0,23,27,4,1,269
64,100.0,49,55,0,1,269
64,100.0,35,41,0,1,269
64,100.0,42,48,0,1,269
64,100.0,28,34,0,1,269
64,100.0,91,119,0,1,269
64,100.0,70,76,0,1,269
64,100.0,84,90,0,1,269
64,100.0,63,69,0,1,269
64,100.0,56,62,0,1,269
64,100.0,23,27,0,1,184
64,100.0,63,69,0,1,184
64,100.0,77,83,0,1,184
64,100.0,84,90,0,1,184
64,100.0,35,41,0,1,184
64,100.0,70,76,0,1,184
64,100.0,28,34,0,1,184
64,100.0,91,119,0,1,184
64,100.0,56,62,0,1,184
64,100.0,49,55,0,1,184
64,100.0,42,48,0,1,184
61,0.0,56,62,0,1,107
46,100.0,56,62,0,1,107
61,0.0,77,83,0,1,107
46,100.0,77,83,0,1,107
61,0.0,49,55,0,1,107
46,100.0,49,55,0,1,107
61,0.0,23,27,0,1,107
46,100.0,23,27,0,1,107
61,0.0,91,119,0,1,107
46,100.0,91,119,0,1,107
61,0.0,28,34,0,1,107
46,100.0,28,34,6,1,107
61,0.0,42,48,0,1,107
46,100.0,42,48,0,1,107
61,0.0,84,90,0,1,107
46,100.0,84,90,0,1,107
61,0.0,35,41,0,1,107
46,100.0,35,41,0,1,107
61,0.0,70,76,0,1,107
46,100.0,70,76,0,1,107
61,0.0,63,69,0,1,107
46,100.0,63,69,0,1,107
17,0.0,70,76,0,1,127
13,100.0,70,76,0,1,127
17,0.0,77,83,0,1,127
13,100.0,77,83,0,1,127
17,0.0,63,69,0,1,127
13,100.0,63,69,0,1,127
17,0.0,28,34,0,1,127
13,100.0,28,34,0,1,127
17,0.0,56,62,0,1,127
13,100.0,56,62,0,1,127
17,0.0,42,48,0,1,127
13,100.0,42,48,0,1,127
17,0.0,91,119,0,1,127
13,100.0,91,119,0,1,127
17,0.0,49,55,0,1,127
13,100.0,49,55,0,1,127
17,0.0,84,90,0,1,127
13,100.0,84,90,0,1,127
17,0.0,23,27,0,1,127
13,100.0,23,27,20,1,127
17,0.0,35,41,0,1,127
13,100.0,35,41,0,1,127
61,0.0,70,76,0,1,536
46,100.0,70,76,0,1,536
61,0.0,84,90,0,1,536
46,100.0,84,90,0,1,536
61,0.0,77,83,0,1,536
46,100.0,77,83,0,1,536
61,0.0,49,55,0,1,536
46,100.0,49,55,0,1,536
61,0.0,91,119,0,1,536
46,100.0,91,119,0,1,536
61,0.0,35,41,0,1,536
46,100.0,35,41,0,1,536
61,0.0,23,27,0,1,536
46,100.0,23,27,0,1,536
61,0.0,63,69,0,1,536
46,100.0,63,69,0,1,536
61,0.0,42,48,0,1,536
46,100.0,42,48,0,1,536
61,0.0,28,34,0,1,536
46,100.0,28,34,0,1,536
61,0.0,56,62,0,1,536
46,100.0,56,62,0,1,536
64,100.0,84,90,0,1,211
64,100.0,63,69,0,1,211
64,100.0,28,34,0,1,211
64,100.0,56,62,0,1,211
64,100.0,35,41,0,1,211
64,100.0,42,48,0,1,211
64,100.0,91,119,0,1,211
64,100.0,49,55,0,1,211
64,100.0,70,76,0,1,211
64,100.0,77,83,0,1,211
64,100.0,23,27,0,1,211
13,50.0,63,69,0,1,217
64,50.0,63,69,0,1,217
13,50.0,35,41,0,1,217
64,50.0,35,41,0,1,217
13,50.0,70,76,0,1,217
64,50.0,70,76,0,1,217
13,50.0,84,90,0,1,217
64,50.0,84,90,0,1,217
13,50.0,49,55,0,1,217
64,50.0,49,55,0,1,217
13,50.0,42,48,0,1,217
64,50.0,42,48,0,1,217
13,50.0,56,62,0,1,217
64,50.0,56,62,0,1,217
13,50.0,91,119,0,1,217
64,50.0,91,119,0,1,217
13,50.0,28,34,0,1,217
64,50.0,28,34,0,1,217
13,50.0,23,27,0,1,217
64,50.0,23,27,0,1,217
13,50.0,77,83,0,1,217
64,50.0,77,83,0,1,217
64,100.0,84,90,0,1,249
45,0.0,84,90,0,1,249
64,100.0,35,41,0,1,249
45,0.0,35,41,0,1,249
64,100.0,23,27,18,1,249
45,0.0,23,27,0,1,249
64,100.0,49,55,0,1,249
45,0.0,49,55,0,1,249
64,100.0,70,76,0,1,249
45,0.0,70,76,0,1,249
64,100.0,42,48,0,1,249
45,0.0,42,48,0,1,249
64,100.0,28,34,6,1,249
45,0.0,28,34,0,1,249
64,100.0,91,119,0,1,249
45,0.0,91,119,0,1,249
64,100.0,63,69,0,1,249
45,0.0,63,69,0,1,249
64,100.0,77,83,0,1,249
45,0.0,77,83,0,1,249
64,100.0,56,62,0,1,249
45,0.0,56,62,0,1,249
169,0.0,56,62,0,1,95
72,100.0,56,62,0,1,95
167,0.0,56,62,0,1,95
41,0.0,56,62,0,1,95
156,0.0,56,62,0,1,95
86,0.0,56,62,0,1,95
169,0.0,49,55,0,1,95
72,100.0,49,55,0,1,95
167,0.0,49,55,0,1,95
41,0.0,49,55,0,1,95
156,0.0,49,55,0,1,95
86,0.0,49,55,0,1,95
169,0.0,23,27,0,1,95
72,100.0,23,27,0,1,95
167,0.0,23,27,0,1,95
41,0.0,23,27,0,1,95
156,0.0,23,27,0,1,95
86,0.0,23,27,0,1,95
169,0.0,70,76,0,1,95
72,100.0,70,76,0,1,95
167,0.0,70,76,0,1,95
41,0.0,70,76,0,1,95
156,0.0,70,76,0,1,95
86,0.0,70,76,0,1,95
169,0.0,42,48,0,1,95
72,100.0,42,48,0,1,95
167,0.0,42,48,0,1,95
41,0.0,42,48,0,1,95
156,0.0,42,48,0,1,95
86,0.0,42,48,0,1,95
169,0.0,28,34,0,1,95
72,100.0,28,34,0,1,95
167,0.0,28,34,0,1,95
41,0.0,28,34,0,1,95
156,0.0,28,34,0,1,95
86,0.0,28,34,0,1,95
169,0.0,84,90,0,1,95
72,100.0,84,90,0,1,95
167,0.0,84,90,0,1,95
41,0.0,84,90,0,1,95
156,0.0,84,90,0,1,95
86,0.0,84,90,0,1,95
169,0.0,63,69,0,1,95
72,100.0,63,69,0,1,95
167,0.0,63,69,0,1,95
41,0.0,63,69,0,1,95
156,0.0,63,69,0,1,95
86,0.0,63,69,0,1,95
169,0.0,91,119,0,1,95
72,100.0,91,119,0,1,95
167,0.0,91,119,0,1,95
41,0.0,91,119,0,1,95
156,0.0,91,119,0,1,95
86,0.0,91,119,0,1,95
169,0.0,77,83,0,1,95
72,100.0,77,83,0,1,95
167,0.0,77,83,0,1,95
41,0.0,77,83,0,1,95
156,0.0,77,83,0,1,95
86,0.0,77,83,0,1,95
169,0.0,35,41,0,1,95
72,100.0,35,41,0,1,95
167,0.0,35,41,0,1,95
41,0.0,35,41,0,1,95
156,0.0,35,41,0,1,95
86,0.0,35,41,0,1,95
169,100.0,91,119,0,1,162
169,100.0,23,27,100,1,162
169,100.0,63,69,0,1,162
169,100.0,49,55,0,1,162
169,100.0,70,76,0,1,162
169,100.0,84,90,0,1,162
169,100.0,42,48,0,1,162
169,100.0,28,34,0,1,162
169,100.0,77,83,0,1,162
169,100.0,56,62,0,1,162
169,100.0,35,41,0,1,162
41,30.0,77,83,0,1,120
169,70.0,77,83,0,1,120
156,0.0,77,83,0,1,120
41,30.0,91,119,0,1,120
169,70.0,91,119,0,1,120
156,0.0,91,119,0,1,120
41,30.0,63,69,0,1,120
169,70.0,63,69,0,1,120
156,0.0,63,69,0,1,120
41,30.0,42,48,0,1,120
169,70.0,42,48,0,1,120
156,0.0,42,48,0,1,120
41,70.0,28,34,1200,1,120
169,30.0,28,34,1200,1,120
156,0.0,28,34,0,1,120
41,30.0,84,90,0,1,120
169,70.0,84,90,0,1,120
156,0.0,84,90,0,1,120
41,30.0,35,41,0,1,120
169,70.0,35,41,0,1,120
156,0.0,35,41,0,1,120
41,30.0,49,55,0,1,120
169,70.0,49,55,0,1,120
156,0.0,49,55,0,1,120
41,30.0,56,62,0,1,120
169,70.0,56,62,0,1,120
156,0.0,56,62,0,1,120
41,30.0,70,76,0,1,120
169,70.0,70,76,0,1,120
156,0.0,70,76,0,1,120
41,70.0,23,27,3200,1,120
169,30.0,23,27,800,1,120
156,0.0,23,27,0,1,120
64,100.0,84,90,0,1,137
64,100.0,77,83,0,1,137
64,100.0,35,41,0,1,137
64,100.0,56,62,0,1,137
64,100.0,70,76,0,1,137
64,100.0,63,69,0,1,137
64,100.0,23,27,4,1,137
64,100.0,28,34,0,1,137
64,100.0,91,119,0,1,137
64,100.0,49,55,0,1,137
64,100.0,42,48,0,1,137
61,100.0,49,55,0,1,583
61,100.0,91,119,0,1,583
61,100.0,84,90,0,1,583
61,100.0,63,69,0,1,583
61,100.0,35,41,0,1,583
61,100.0,42,48,0,1,583
61,100.0,56,62,0,1,583
61,100.0,77,83,0,1,583
61,100.0,23,27,0,1,583
61,100.0,28,34,0,1,583
61,100.0,70,76,0,1,583
72,100.0,23,27,0,1,888
72,100.0,56,62,0,1,888
72,100.0,35,41,0,1,888
72,100.0,84,90,0,1,888
72,100.0,63,69,0,1,888
72,100.0,91,119,0,1,888
72,100.0,42,48,0,1,888
72,100.0,49,55,0,1,888
72,100.0,28,34,0,1,888
72,100.0,70,76,0,1,888
72,100.0,77,83,0,1,888
64,100.0,56,62,0,1,278
64,100.0,70,76,0,1,278
64,100.0,28,34,0,1,278
64,100.0,49,55,0,1,278
64,100.0,35,41,0,1,278
64,100.0,42,48,0,1,278
64,100.0,23,27,0,1,278
64,100.0,77,83,0,1,278
64,100.0,63,69,0,1,278
64,100.0,84,90,0,1,278
64,100.0,91,119,0,1,278
71,100.0,70,76,0,1,76
71,100.0,42,48,0,1,76
71,100.0,56,62,0,1,76
71,100.0,84,90,0,1,76
71,100.0,23,27,0,1,76
71,100.0,28,34,0,1,76
71,100.0,49,55,0,1,76
71,100.0,35,41,0,1,76
71,100.0,91,119,0,1,76
71,100.0,77,83,0,1,76
71,100.0,63,69,0,1,76
156,80.0,70,76,0,1,109
167,20.0,70,76,0,1,109
156,80.0,84,90,0,1,109
167,20.0,84,90,0,1,109
156,80.0,91,119,0,1,109
167,20.0,91,119,0,1,109
156,0.0,56,62,0,1,109
167,100.0,56,62,0,1,109
156,0.0,28,34,0,1,109
167,100.0,28,34,296,1,109
156,80.0,77,83,0,1,109
167,20.0,77,83,0,1,109
156,0.0,35,41,0,1,109
167,100.0,35,41,200,1,109
156,0.0,23,27,0,1,109
167,100.0,23,27,264,1,109
156,80.0,63,69,0,1,109
167,20.0,63,69,0,1,109
156,0.0,49,55,0,1,109
167,100.0,49,55,0,1,109
156,0.0,42,48,0,1,109
167,100.0,42,48,200,1,109
64,100.0,77,83,0,1,239
64,100.0,49,55,0,1,239
64,100.0,28,34,0,1,239
64,100.0,63,69,0,1,239
64,100.0,35,41,0,1,239
64,100.0,42,48,0,1,239
64,100.0,91,119,0,1,239
64,100.0,23,27,9,1,239
64,100.0,84,90,0,1,239
64,100.0,70,76,0,1,239
64,100.0,56,62,0,1,239
50,90.0,28,34,0,1,53
126,10.0,28,34,0,1,53
50,90.0,23,27,120317,1,53
126,10.0,23,27,0,1,53
50,90.0,84,90,0,1,53
126,10.0,84,90,0,1,53
50,90.0,77,83,0,1,53
126,10.0,77,83,0,1,53
50,90.0,70,76,0,1,53
126,10.0,70,76,0,1,53
50,90.0,42,48,0,1,53
126,10.0,42,48,0,1,53
50,90.0,91,119,0,1,53
126,10.0,91,119,0,1,53
50,90.0,56,62,0,1,53
126,10.0,56,62,0,1,53
50,90.0,49,55,0,1,53
126,10.0,49,55,0,1,53
50,90.0,63,69,0,1,53
126,10.0,63,69,0,1,53
50,90.0,35,41,0,1,53
126,10.0,35,41,0,1,53
64,100.0,70,76,0,1,223
64,100.0,23,27,74,1,223
64,100.0,56,62,0,1,223
64,100.0,77,83,0,1,223
64,100.0,91,119,0,1,223
64,100.0,28,34,0,1,223
64,100.0,49,55,0,1,223
64,100.0,42,48,0,1,223
64,100.0,63,69,0,1,223
64,100.0,35,41,0,1,223
64,100.0,84,90,0,1,223
13,100.0,84,90,0,1,294
13,100.0,35,41,0,1,294
13,100.0,23,27,0,1,294
13,100.0,63,69,0,1,294
13,100.0,28,34,0,1,294
13,100.0,56,62,0,1,294
13,100.0,42,48,0,1,294
13,100.0,91,119,0,1,294
13,100.0,70,76,0,1,294
13,100.0,49,55,0,1,294
13,100.0,77,83,0,1,294
17,70.0,77,83,0,1,79
13,30.0,77,83,0,1,79
17,70.0,35,41,0,1,79
13,30.0,35,41,0,1,79
17,70.0,49,55,0,1,79
13,30.0,49,55,0,1,79
17,70.0,91,119,0,1,79
13,30.0,91,119,0,1,79
17,70.0,28,34,0,1,79
13,30.0,28,34,0,1,79
17,70.0,84,90,0,1,79
13,30.0,84,90,0,1,79
17,70.0,23,27,0,1,79
13,30.0,23,27,2000,1,79
17,70.0,70,76,0,1,79
13,30.0,70,76,0,1,79
17,70.0,42,48,0,1,79
13,30.0,42,48,0,1,79
17,70.0,63,69,0,1,79
13,30.0,63,69,0,1,79
17,70.0,56,62,0,1,79
13,30.0,56,62,0,1,79
64,100.0,77,83,0,1,585
64,100.0,70,76,0,1,585
64,100.0,35,41,0,1,585
64,100.0,91,119,0,1,585
64,100.0,84,90,0,1,585
64,100.0,28,34,0,1,585
64,100.0,56,62,0,1,585
64,100.0,42,48,0,1,585
64,100.0,49,55,0,1,585
64,100.0,23,27,0,1,585
64,100.0,63,69,0,1,585
64,100.0,77,83,0,1,237
64,100.0,49,55,0,1,237
64,100.0,35,41,0,1,237
64,100.0,63,69,0,1,237
64,100.0,91,119,0,1,237
64,100.0,28,34,0,1,237
64,100.0,70,76,0,1,237
64,100.0,56,62,0,1,237
64,100.0,42,48,0,1,237
64,100.0,84,90,0,1,237
64,100.0,23,27,2,1,237
50,90.0,91,119,0,1,47
126,10.0,91,119,0,1,47
50,100.0,49,55,0,1,47
126,0.0,49,55,0,1,47
50,100.0,28,34,30671,1,47
126,0.0,28,34,0,1,47
50,100.0,42,48,0,1,47
126,0.0,42,48,0,1,47
50,90.0,56,62,0,1,47
126,10.0,56,62,0,1,47
50,90.0,84,90,0,1,47
126,10.0,84,90,0,1,47
50,90.0,63,69,0,1,47
126,10.0,63,69,0,1,47
50,100.0,23,27,287531,1,47
126,0.0,23,27,0,1,47
50,90.0,70,76,0,1,47
126,10.0,70,76,0,1,47
50,100.0,35,41,0,1,47
126,0.0,35,41,0,1,47
50,90.0,77,83,0,1,47
126,10.0,77,83,0,1,47
64,0.0,77,83,0,1,584
3,20.0,77,83,0,1,584
123,80.0,77,83,0,1,584
64,0.0,42,48,0,1,584
3,20.0,42,48,0,1,584
123,80.0,42,48,0,1,584
64,0.0,63,69,0,1,584
3,20.0,63,69,0,1,584
123,80.0,63,69,0,1,584
64,0.0,35,41,0,1,584
3,20.0,35,41,0,1,584
123,80.0,35,41,0,1,584
64,0.0,70,76,0,1,584
3,20.0,70,76,0,1,584
123,80.0,70,76,0,1,584
64,0.0,56,62,0,1,584
3,20.0,56,62,0,1,584
123,80.0,56,62,0,1,584
64,0.0,84,90,0,1,584
3,20.0,84,90,0,1,584
123,80.0,84,90,0,1,584
64,0.0,28,34,0,1,584
3,20.0,28,34,18,1,584
123,80.0,28,34,40,1,584
64,0.0,91,119,0,1,584
3,20.0,91,119,0,1,584
123,80.0,91,119,0,1,584
64,0.0,49,55,0,1,584
3,20.0,49,55,0,1,584
123,80.0,49,55,0,1,584
64,0.0,23,27,0,1,584
3,20.0,23,27,0,1,584
123,80.0,23,27,120,1,584
64,0.0,23,27,0,1,586
10,100.0,23,27,0,1,586
64,0.0,49,55,0,1,586
10,100.0,49,55,0,1,586
64,0.0,28,34,0,1,586
10,100.0,28,34,0,1,586
64,0.0,70,76,0,1,586
10,100.0,70,76,0,1,586
64,0.0,77,83,0,1,586
10,100.0,77,83,0,1,586
64,0.0,91,119,0,1,586
10,100.0,91,119,0,1,586
64,0.0,63,69,0,1,586
10,100.0,63,69,0,1,586
64,0.0,42,48,0,1,586
10,100.0,42,48,0,1,586
64,0.0,84,90,0,1,586
10,100.0,84,90,0,1,586
64,0.0,56,62,0,1,586
10,100.0,56,62,0,1,586
64,0.0,35,41,0,1,586
10,100.0,35,41,0,1,586
64,100.0,23,27,9,1,282
64,100.0,70,76,0,1,282
64,100.0,91,119,0,1,282
64,100.0,49,55,0,1,282
64,100.0,77,83,0,1,282
64,100.0,28,34,0,1,282
64,100.0,56,62,0,1,282
64,100.0,35,41,0,1,282
64,100.0,63,69,0,1,282
64,100.0,84,90,0,1,282
64,100.0,42,48,0,1,282
13,0.0,56,62,0,1,247
64,100.0,56,62,0,1,247
13,0.0,42,48,0,1,247
64,100.0,42,48,0,1,247
13,0.0,35,41,0,1,247
64,100.0,35,41,0,1,247
13,0.0,23,27,0,1,247
64,100.0,23,27,0,1,247
13,0.0,77,83,0,1,247
64,100.0,77,83,0,1,247
13,0.0,28,34,0,1,247
64,100.0,28,34,0,1,247
