plant,line,orig_plant,item_code
64,,64,225
71,,71,236
17,,17,236
13,,13,236
14,,14,236
64,,64,237
71,,71,237
64,,64,239
71,,71,239
64,,64,245
71,,71,245
80,,80,245
9,,9,245
14,,14,245
27,,27,245
45,,45,245
64,,64,247
71,,71,247
80,,80,247
13,,13,247
27,,27,247
44,,44,247
64,,64,249
71,,71,249
80,,80,249
9,,9,249
14,,14,249
27,,27,249
45,,45,249
60,,60,257
64,,64,257
71,,71,257
80,,80,257
9,,9,257
14,,14,257
27,,27,257
44,,44,257
45,,45,257
64,,64,270
71,,71,270
64,,64,274
64,,64,276
64,,64,278
71,,71,278
64,,64,280
64,,64,282
64,,64,286
64,,64,288
60,,60,290
60,,60,292
61,,61,446
64,,64,479
71,,71,479
60,,60,493
46,,46,493
60,,60,494
46,,46,494
61,,61,536
46,,46,536
61,,61,538
46,,46,538
60,,60,557
61,,61,557
60,,60,559
54,,54,559
137,,137,559
60,,60,565
54,,54,565
55,,55,565
137,,137,565
138,,138,565
60,,60,567
61,,61,567
60,,60,580
61,,61,580
61,,61,582
60,,60,583
61,,61,583
64,,64,584
71,,71,584
3,,3,584
123,,123,584
27,,27,584
114,,114,584
209,,209,584
64,,64,587
71,,71,587
10,,10,587
27,,27,587
64,,64,586
10,,10,586
27,,27,586
64,,64,589
64,,64,592
71,,71,592
10,,10,592
64,,64,593
71,,71,593
27,,27,593
64,,64,597
71,,71,597
10,,10,597
14,,14,597
27,,27,597
64,,64,595
10,,10,595
27,,27,595
60,,60,603
61,,61,603
61,,61,607
60,,60,611
61,,61,611
60,,60,612
61,,61,612
61,,61,613
61,,61,614
61,,61,615
64,,64,616
71,,71,616
64,,64,618
71,,71,618
64,,64,630
71,,71,630
80,,80,630
64,,64,632
71,,71,632
72,,72,888
117,,117,888
220,,220,888
16,,16,72
113,,113,72
17,,17,72
119,,119,72
118,,118,72
16,,16,74
113,,113,74
119,,119,74
118,,118,74
17,,17,74
8,,8,129
9,,9,129
10,,10,129
64,,64,129
71,,71,129
13,,13,129
14,,14,129
17,,17,129
17,,17,150
64,,64,150
71,,71,150
80,,80,150
17,,17,152
64,,64,152
17,,17,154
64,,64,154
13,,13,167
60,,60,167
64,,64,167
71,,71,167
217,,217,167
226,,226,167
17,,17,210
64,,64,210
17,,17,212
64,,64,212
17,,17,214
64,,64,214
17,,17,208
64,,64,208
13,,13,218
64,,64,218
44,,44,255
64,,64,255
79,,79,255
80,,80,255
13,,13,295
27,,27,295
64,,64,295
46,,46,534
61,,61,534
117,,117,767
226,,226,767
226,,226,775
226,,226,781
226,,226,783
226,,226,785
226,,226,800
117,,117,863
117,,117,865
217,,217,865
220,,220,865
117,,117,868
217,,217,868
220,,220,868
117,,117,871
217,,217,871
220,,220,871
221,,221,871
226,,226,871
117,,117,896
117,,117,898
217,,217,900
220,,220,900
217,,217,902
54,,54,4105
137,,137,4105
54,,54,4119
53,,53,4125
55,,55,4125
54,,54,4125
55,,55,4127
138,,138,4127
54,,54,4127
137,,137,4127
196,,196,4133
54,,54,4133
54,,54,4145
61,,61,102
46,,46,102
61,,61,104
46,,46,104
61,,61,106
46,,46,106
61,,61,108
46,,46,108
60,,60,122
64,,64,122
71,,71,122
80,,80,122
17,,17,122
64,,64,135
71,,71,135
64,,64,158
71,,71,158
64,,64,174
64,,64,176
71,,71,176
60,,60,178
72,,72,178
64,,64,180
71,,71,180
72,,72,180
64,,64,184
64,,64,186
80,,80,186
17,,17,186
64,,64,190
80,,80,190
17,,17,190
64,,64,194
71,,71,194
80,,80,194
60,,60,199
64,,64,199
60,,60,201
64,,64,201
64,,64,221
78,,78,221
64,,64,238
71,,71,238
64,,64,240
71,,71,240
64,,64,250
71,,71,250
80,,80,250
9,,9,250
14,,14,250
27,,27,250
45,,45,250
64,,64,271
71,,71,271
64,,64,275
64,,64,277
64,,64,279
71,,71,279
64,,64,281
64,,64,283
64,,64,287
64,,64,289
60,,60,291
60,,60,293
61,,61,537
46,,46,537
61,,61,539
46,,46,539
60,,60,566
54,,54,566
55,,55,566
137,,137,566
138,,138,566
60,,60,581
61,,61,581
64,,64,594
71,,71,594
27,,27,594
64,,64,598
71,,71,598
10,,10,598
14,,14,598
27,,27,598
64,,64,596
10,,10,596
27,,27,596
60,,60,604
61,,61,604
61,,61,608
64,,64,617
71,,71,617
64,,64,619
71,,71,619
64,,64,631
71,,71,631
80,,80,631
64,,64,633
71,,71,633
72,,72,889
117,,117,889
220,,220,889
46,,46,117
64,,64,261
71,,71,261
64,,64,263
71,,71,263
64,,64,265
71,,71,265
64,,64,267
71,,71,267
64,,64,269
71,,71,269
117,,117,765
226,,226,765
226,,226,790
226,,226,792
226,,226,794
226,,226,796
226,,226,798
117,,117,877
117,,117,879
220,,220,879
117,,117,881
117,,117,883
220,,220,883
117,,117,886
217,,217,886
117,,117,906
50,,50,44
126,,126,44
50,,50,46
156,,156,97
46,,46,116
169,,169,160
170,,170,160
46,,46,206
64,,64,260
71,,71,260
64,,64,262
71,,71,262
64,,64,264
71,,71,264
64,,64,266
71,,71,266
64,,64,268
71,,71,268
46,,46,439
64,,64,585
71,,71,585
180,,180,637
227,,227,637
228,,228,637
117,,117,764
226,,226,764
226,,226,789
226,,226,791
226,,226,793
226,,226,795
226,,226,797
117,,117,876
117,,117,878
220,,220,878
117,,117,880
117,,117,882
220,,220,882
117,,117,885
217,,217,885
117,,117,905
50,,50,47
126,,126,47
64,,64,182
72,,72,182
64,,64,174
60,,60,178
72,,72,178
60,,60,291
50,,50,46
50,,50,47
126,,126,47
50,,50,47
126,,126,47
17,,17,149
64,,64,149
71,,71,149
80,,80,149
123,,123,434
64,,64,434
71,,71,434
27,,27,435
64,,64,435
71,,71,435
41,,41,447
156,,156,447
169,,169,447
72,,72,447
41,,41,450
156,,156,450
169,,169,450
72,,72,450
41,,41,451
156,,156,451
169,,169,451
72,,72,451
3,,3,457
10,,10,457
27,,27,457
114,,114,457
155,,155,457
209,,209,457
64,,64,457
3,,3,459
27,,27,459
64,,64,459
3,,3,459
27,,27,459
64,,64,459
41,,41,462
156,,156,462
169,,169,462
72,,72,462
3,,3,468
27,,27,468
114,,114,468
123,,123,468
3,,3,470
27,,27,470
114,,114,470
155,,155,470
64,,64,470
71,,71,470
3,,3,471
27,,27,471
64,,64,471
71,,71,471
114,,114,471
155,,155,471
3,,3,474
27,,27,474
114,,114,474
123,,123,474
209,,209,474
71,,71,474
3,,3,475
27,,27,475
114,,114,475
155,,155,475
64,,64,475
3,,3,478
27,,27,478
114,,114,478
71,,71,478
123,,123,478
209,,209,478
3,,3,480
27,,27,480
64,,64,480
71,,71,480
3,,3,483
27,,27,483
114,,114,483
123,,123,483
185,,185,483
209,,209,483
64,,64,483
71,,71,483
3,,3,487
27,,27,487
64,,64,487
71,,71,487
114,,114,487
209,,209,487
3,,3,490
27,,27,490
114,,114,490
123,,123,490
155,,155,490
209,,209,490
3,,3,498
27,,27,498
114,,114,498
123,,123,498
155,,155,498
64,,64,498
71,,71,498
10,,10,500
14,,14,500
27,,27,500
10,,10,503
27,,27,503
64,,64,503
71,,71,503
123,,123,504
71,,71,504
3,,3,504
27,,27,504
3,,3,505
27,,27,505
46,,46,505
123,,123,505
71,,71,505
3,,3,506
27,,27,506
123,,123,506
71,,71,506
123,,123,507
64,,64,507
71,,71,507
3,,3,507
27,,27,507
46,,46,507
3,,3,509
27,,27,509
123,,123,509
64,,64,509
71,,71,509
27,,27,514
64,,64,514
10,,10,517
13,,13,517
14,,14,517
27,,27,517
64,,64,517
123,,123,523
64,,64,523
71,,71,523
3,,3,523
27,,27,523
114,,114,523
3,,3,529
71,,71,529
27,,27,529
114,,114,529
123,,123,529
27,,27,531
114,,114,531
64,,64,531
71,,71,531
46,,46,533
61,,61,533
3,,3,541
27,,27,541
64,,64,541
71,,71,541
114,,114,541
3,,3,542
64,,64,542
71,,71,542
27,,27,542
114,,114,542
169,,169,543
72,,72,543
27,,27,548
64,,64,548
8,,8,548
9,,9,548
10,,10,548
13,,13,548
14,,14,548
163,,163,568
213,,213,568
3,,3,570
27,,27,570
123,,123,570
64,,64,570
71,,71,570
3,,3,573
27,,27,573
64,207.0,64,573
64,7.0,64,573
123,,123,573
71,,71,573
64,,64,436
64,,64,453
71,,71,453
64,,64,454
71,,71,454
44,,44,454
64,,64,455
71,,71,455
64,,64,456
71,,71,458
3,,3,458
27,,27,458
114,,114,458
123,,123,458
155,,155,458
64,,64,460
64,,64,466
71,,71,466
27,,27,466
64,,64,467
71,,71,467
10,,10,467
27,,27,467
64,,64,476
64,,64,479
71,,71,479
64,,64,489
64,,64,491
71,,71,491
3,,3,491
27,,27,491
114,,114,491
60,,60,493
46,,46,493
60,,60,494
46,,46,494
64,,64,497
10,,10,497
27,,27,497
64,,64,502
71,,71,502
64,,64,512
71,,71,512
64,,64,515
71,,71,515
27,,27,515
64,,64,516
10,,10,516
27,,27,516
64,,64,519
27,,27,519
72,,72,524
41,,41,524
156,,156,524
169,,169,524
64,,64,528
71,,71,528
3,,3,528
27,,27,528
114,,114,528
123,,123,528
61,,61,536
46,,46,536
61,,61,538
46,,46,538
60,,60,540
61,,61,540
64,,64,544
71,,71,544
10,,10,544
27,,27,544
64,,64,545
71,,71,545
10,,10,545
14,,14,545
27,,27,545
64,,64,549
10,,10,549
27,,27,549
64,,64,551
71,,71,551
3,,3,551
27,,27,551
114,,114,551
64,,64,553
71,,71,553
60,,60,555
61,,61,555
60,,60,557
61,,61,557
64,,64,560
3,,3,560
27,,27,560
123,,123,560
60,,60,563
61,,61,563
64,,64,564
71,,71,564
60,,60,567
61,,61,567
61,,61,575
46,,46,575
60,,60,580
61,,61,580
61,,61,582
60,,60,583
61,,61,583
3,,3,488
27,,27,488
64,,64,488
71,,71,488
114,,114,488
209,,209,488
3,,3,499
27,,27,499
114,,114,499
123,,123,499
155,,155,499
64,,64,499
71,,71,499
10,,10,501
14,,14,501
27,,27,501
46,,46,534
61,,61,534
3,,3,574
27,,27,574
64,207.0,64,574
64,7.0,64,574
123,,123,574
71,,71,574
61,,61,537
46,,46,537
61,,61,539
46,,46,539
64,,64,550
10,,10,550
27,,27,550
60,,60,581
61,,61,581
50,,50,46
50,,50,46
46,,46,439
3,,3,463
27,,27,463
114,,114,463
123,,123,463
155,,155,463
64,,64,554
71,,71,554
60,,60,558
61,,61,558
